id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
event_darkhero_06_e_1,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_1,False,SchoolCorridor_n,2,20,1.0,sfx_scn_run,bgm_story_weare,Red,,,,,,,,,
event_darkhero_06_e_2,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_2,False,,20,20,1.0,,,Red,,,,,,,,,
event_darkhero_06_e_3,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_3,False,black,20,20,1.0,,,Red,trony,2,idle,,,,,,
event_darkhero_06_e_4,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_4,False,,20,20,1.0,,,Red,,2,idle,,,,,,
event_darkhero_06_e_5,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_5,False,,20,200,1.0,,,Red,,2,idle,,,,,,
event_darkhero_06_e_6,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_6,False,,200,200,1.0,,,Red,,2,idle,,,,,,
event_darkhero_06_e_7,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_7,False,,200,200,1.0,,,Red,,2,idle,,,,,,
event_darkhero_06_e_8,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_8,False,,200,200,1.0,,,Red,,2,idle,,,,,,
event_darkhero_06_e_9,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_9,False,,200,200,1.0,,,Red,,2,idle,,,,,,
event_darkhero_06_e_10,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_10,False,,200,200,1.0,,,Red,,2,idle,,,,,,
event_darkhero_06_e_11,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_11,False,,200,200,1.0,,,Red,,2,idle,,,,,,
event_darkhero_06_e_12,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_12,False,SchoolCorridor_n,200,2,1.0,,,,,2,idle,,,,,,
event_darkhero_06_e_13,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_13,False,,2,2,1.0,,,,,2,idle,,,,,,
event_darkhero_06_e_14,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_14,False,,2,2,1.0,,none,,,2,idle,,,,,,
event_darkhero_06_e_15,40047,event_darkhero_06_e,Narration,trony,Locale_SubScenario:event_darkhero_06_e_15,False,none,2,2,1.0,,,,,2,idle,trony,,,,,
event_darkhero_06_e_16,40047,event_darkhero_06_e,Narration,,Locale_SubScenario:event_darkhero_06_e_16,False,,darkhero_01,darkhero_01,1.0,,bgm_story_impression,,darkhero_event,1,idle,,,,,,
event_darkhero_06_e_17,40047,event_darkhero_06_e,Speech,,Locale_SubScenario:event_darkhero_06_e_17,False,,darkhero_01,darkhero_01,1.0,,,,,1,idle,,trony,,,,
event_darkhero_06_e_18,40047,event_darkhero_06_e,Speech,,Locale_SubScenario:event_darkhero_06_e_18,False,,darkhero_01,darkhero_02,2.0,,,,,1,idle,,elegg,,,,
event_darkhero_06_e_19,40047,event_darkhero_06_e,Speech,,Locale_SubScenario:event_darkhero_06_e_19,False,,darkhero_02,darkhero_02,1.0,,,,,1,idle,,elegg,,,,
event_darkhero_06_e_20,40047,event_darkhero_06_e,Speech,,Locale_SubScenario:event_darkhero_06_e_20,False,,darkhero_02,darkhero_02,1.0,,,,,1,idle,,trony,,,,
event_darkhero_06_e_21,40047,event_darkhero_06_e,Narration,,Locale_SubScenario:event_darkhero_06_e_21,False,,darkhero_02,darkhero_02,1.0,,,,,1,idle,,,,,,
event_darkhero_06_e_22,40047,event_darkhero_06_e,Speech,,Locale_SubScenario:event_darkhero_06_e_22,False,,darkhero_02,darkhero_02,1.0,,,,,1,idle,,trony,,,,
event_darkhero_06_e_23,40047,event_darkhero_06_e,Speech,,Locale_SubScenario:event_darkhero_06_e_23,False,,darkhero_02,darkhero_02,1.0,,,,,1,idle,,trony,,,,
event_darkhero_06_e_24,40047,event_darkhero_06_e,Speech,,Locale_SubScenario:event_darkhero_06_e_24,False,,darkhero_02,darkhero_02,1.0,,,,,1,idle,,elegg,,,,
event_darkhero_06_e_25,40047,event_darkhero_06_e,Speech,,Locale_SubScenario:event_darkhero_06_e_25,False,,darkhero_02,darkhero_02,1.0,,,,,1,idle,,elegg,,,,
event_darkhero_06_e_26,40047,event_darkhero_06_e,Speech,,Locale_SubScenario:event_darkhero_06_e_26,False,,darkhero_02,darkhero_02,1.0,,,,,1,idle,,elegg,,,,
event_darkhero_06_e_27,40047,event_darkhero_06_e,Speech,,Locale_SubScenario:event_darkhero_06_e_27,False,,darkhero_02,darkhero_02,1.0,,,,,1,idle,,trony,,,,
event_darkhero_06_e_28,40047,event_darkhero_06_e,Speech,,Locale_SubScenario:event_darkhero_06_e_28,False,,darkhero_02,darkhero_02,1.0,,,,,1,idle,,trony,,,,
event_darkhero_06_e_29,40047,event_darkhero_06_e,Speech,,Locale_SubScenario:event_darkhero_06_e_29,False,,darkhero_02,darkhero_02,1.0,,,,,1,idle,,elegg,,,,
event_darkhero_06_e_30,40047,event_darkhero_06_e,Speech,,Locale_SubScenario:event_darkhero_06_e_30,False,,darkhero_02,darkhero_02,1.0,,,,,1,idle,,trony,,,,
