id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,play_sound,fade
snowfall_speech_npc_day15_04_1,80903,snowfall_speech_npc_day15_04,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_04_1,True,angelina,3,idle,anne,1,idle,rupee_w,13,idle_02,BigHotSpring_n,12,12,1.0,amb_so_hotspring_3,event_bgm_neverland_hugme_night,,
snowfall_speech_npc_day15_04_2,80903,snowfall_speech_npc_day15_04,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_04_2,True,,3,idle,,1,idle,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_3,80903,snowfall_speech_npc_day15_04,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_04_3,True,,3,idle,,1,idle,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_4,80903,snowfall_speech_npc_day15_04,Speech,rupee_w,rupee_w,Locale_SubScenario:snowfall_speech_npc_day15_04_4,True,,3,idle,,1,idle,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_5,80903,snowfall_speech_npc_day15_04,Speech,rupee_w,rupee_w,Locale_SubScenario:snowfall_speech_npc_day15_04_5,True,,3,idle,,1,idle,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_6,80903,snowfall_speech_npc_day15_04,Speech,rupee_w,rupee_w,Locale_SubScenario:snowfall_speech_npc_day15_04_6,True,,3,idle,,1,idle,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_7,80903,snowfall_speech_npc_day15_04,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_04_7,True,,3,idle,,1,idle,,13,idle_02,,12,2,1.0,,,,
snowfall_speech_npc_day15_04_8,80903,snowfall_speech_npc_day15_04,Narration,,,Locale_SubScenario:snowfall_speech_npc_day15_04_8,False,,3,idle,,1,idle,,13,idle_02,,black,black,1.0,,,sfx_scn_intowater,
snowfall_speech_npc_day15_04_9,80903,snowfall_speech_npc_day15_04,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_04_9,True,,3,smile,,1,idle,,13,idle_02,,30,30,1.0,,,,
snowfall_speech_npc_day15_04_10,80903,snowfall_speech_npc_day15_04,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_04_10,True,,3,smile,,1,idle,,13,idle_02,,30,30,1.0,,,,
snowfall_speech_npc_day15_04_11,80903,snowfall_speech_npc_day15_04,Speech,rupee_w,rupee_w,Locale_SubScenario:snowfall_speech_npc_day15_04_11,True,,3,smile,,1,idle,,13,idle_02,,L_130,L_130,1.0,,,,
snowfall_speech_npc_day15_04_12,80903,snowfall_speech_npc_day15_04,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_04_12,True,,3,smile,,1,idle,,13,idle_02,,30,30,1.0,,,,
snowfall_speech_npc_day15_04_13,80903,snowfall_speech_npc_day15_04,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_04_13,True,,3,smile,,1,idle,,13,idle_02,,30,30,1.0,,,,
snowfall_speech_npc_day15_04_14,80903,snowfall_speech_npc_day15_04,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_04_14,True,,3,smile,,1,idle,,13,idle_02,,30,30,1.0,,,,
snowfall_speech_npc_day15_04_15,80903,snowfall_speech_npc_day15_04,Speech,rupee_w,rupee_w,Locale_SubScenario:snowfall_speech_npc_day15_04_15,True,,3,smile,,1,idle,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_16,80903,snowfall_speech_npc_day15_04,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_04_16,True,,3,smile,,1,idle,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_17,80903,snowfall_speech_npc_day15_04,Narration,,,Locale_SubScenario:snowfall_speech_npc_day15_04_17,False,,3,smile,,1,idle,,13,idle_02,,black,black,1.0,,,sfx_scn_intowater,
snowfall_speech_npc_day15_04_18,80903,snowfall_speech_npc_day15_04,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_04_18,True,,3,smile,,1,shy,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_19,80903,snowfall_speech_npc_day15_04,Speech,rupee_w,rupee_w,Locale_SubScenario:snowfall_speech_npc_day15_04_19,True,,3,smile,,1,shy,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_20,80903,snowfall_speech_npc_day15_04,Speech,rupee_w,rupee_w,Locale_SubScenario:snowfall_speech_npc_day15_04_20,True,,3,smile,,1,shy,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_21,80903,snowfall_speech_npc_day15_04,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_04_21,True,,3,smile,,1,shy,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_22,80903,snowfall_speech_npc_day15_04,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_04_22,True,,3,smile,,1,shy,,13,idle_02,,12,2,1.0,,,,
snowfall_speech_npc_day15_04_23,80903,snowfall_speech_npc_day15_04,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_04_23,True,,3,smile,,1,idle,,13,idle_02,,2,2,1.0,,,,
snowfall_speech_npc_day15_04_24,80903,snowfall_speech_npc_day15_04,Speech,rupee_w,rupee_w,Locale_SubScenario:snowfall_speech_npc_day15_04_24,True,,3,smile,,1,idle,,13,surprise,,2,12,1.0,,,,
snowfall_speech_npc_day15_04_25,80903,snowfall_speech_npc_day15_04,Speech,rupee_w,rupee_w,Locale_SubScenario:snowfall_speech_npc_day15_04_25,True,,3,smile,,1,idle,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_26,80903,snowfall_speech_npc_day15_04,Speech,rupee_w,rupee_w,Locale_SubScenario:snowfall_speech_npc_day15_04_26,True,,3,smile,,1,idle,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_27,80903,snowfall_speech_npc_day15_04,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_04_27,True,,3,smile,,1,surprise,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_28,80903,snowfall_speech_npc_day15_04,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_04_28,True,,3,smile,,1,surprise,,13,idle_02,,12,12,1.0,,,,
snowfall_speech_npc_day15_04_29,80903,snowfall_speech_npc_day15_04,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_04_29,True,,3,smile,,1,surprise,,13,idle_02,,30,30,1.0,,,,
snowfall_speech_npc_day15_04_30,80903,snowfall_speech_npc_day15_04,Speech,rupee_w,rupee_w,Locale_SubScenario:snowfall_speech_npc_day15_04_30,True,,3,smile,,1,surprise,,13,idle_02,,L_130,L_130,1.0,,,,
snowfall_speech_npc_day15_04_31,80903,snowfall_speech_npc_day15_04,Speech,rupee_w,rupee_w,Locale_SubScenario:snowfall_speech_npc_day15_04_31,True,,3,smile,,1,surprise,,13,idle_02,,L_130,L_130,1.0,,,,
snowfall_speech_npc_day15_04_32,80903,snowfall_speech_npc_day15_04,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_04_32,True,,3,smile,,1,idle,,13,idle_02,,L_130,XS_10,1.0,,,,
snowfall_speech_npc_day15_04_33,80903,snowfall_speech_npc_day15_04,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_04_33,True,,3,smile,,1,delight,,13,idle_02,,XS_10,XS_10,1.0,,,,
snowfall_speech_npc_day15_04_34,80903,snowfall_speech_npc_day15_04,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_04_34,True,,3,smile,,1,idle,,13,shy,,XS_10,XS_10,1.0,,,,black
snowfall_speech_npc_day15_04_35,80903,snowfall_speech_npc_day15_04,Speech,anne,anne,Locale_SubScenario:snowfall_speech_npc_day15_04_35,True,,3,smile,,1,idle,,13,shy,,XS_10,XS_10,1.0,,,,
snowfall_speech_npc_day15_04_36,80903,snowfall_speech_npc_day15_04,Speech,rupee_w,rupee_w,Locale_SubScenario:snowfall_speech_npc_day15_04_36,True,,3,smile,,1,idle,,13,shy,,XS_10,L_130,1.0,,,,
snowfall_speech_npc_day15_04_37,80903,snowfall_speech_npc_day15_04,Speech,angelina,angelina,Locale_SubScenario:snowfall_speech_npc_day15_04_37,True,,3,smile,,1,idle,,13,shy,,2,2,1.0,,,,
