id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,set_camera_shake,characters/2/hide_char_id
event_schooloflock_06_e_1,40028,event_schooloflock_06_e,Monologue,Locale_SubScenario:event_schooloflock_06_e_1,False,Stage,5,1,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,,
event_schooloflock_06_e_2,40028,event_schooloflock_06_e,Monologue,Locale_SubScenario:event_schooloflock_06_e_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,
event_schooloflock_06_e_3,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_3,True,,1,XS_10,1.0,,ether,ether,ether,1,idle,marciana,15,think,,,,,,,,
event_schooloflock_06_e_4,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_4,True,,XS_10,XS_10,1.0,,ether,ether,,1,idle,,15,think,,,,,,,,
event_schooloflock_06_e_5,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_5,True,,XS_10,XS_10,1.0,,ether,ether,,1,idle,,15,think,,,,,,,,
event_schooloflock_06_e_6,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_6,True,,XS_10,XS_10,1.0,,ether,ether,,1,idle,,15,think,,,,,,,,
event_schooloflock_06_e_7,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_7,True,,XS_10,XS_10,1.0,,ether,ether,,1,idle,,15,think,,,,,,,,
event_schooloflock_06_e_8,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_8,True,,XS_10,XS_10,1.0,,ether,ether,,1,idle,,15,think,,,,,,,,
event_schooloflock_06_e_9,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_9,True,,XS_10,XS_10,1.0,,ether,ether,,1,idle,,15,think,,,,,,,,
event_schooloflock_06_e_10,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_10,True,,XS_10,1,1.0,,ether,ether,,1,idle,,15,think,,,,,,,,
event_schooloflock_06_e_11,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_11,True,,1,1,1.0,,ether,ether,,1,idle,,15,think,,,,,,,,
event_schooloflock_06_e_12,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_12,False,,1,15,1.0,,marciana,marciana,,1,idle,,15,think,,,,,,,,
event_schooloflock_06_e_13,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_13,True,,15,15,1.0,,marciana,marciana,,1,idle,,15,think,ether,,,,,,,
event_schooloflock_06_e_14,40028,event_schooloflock_06_e,Monologue,Locale_SubScenario:event_schooloflock_06_e_14,False,Classroom,1,1,1.0,,,,,,,,15,think,,marciana,,,,,,
event_schooloflock_06_e_15,40028,event_schooloflock_06_e,Monologue,Locale_SubScenario:event_schooloflock_06_e_15,False,,1,1,1.0,,,,,,,,,,,,,,,,,
event_schooloflock_06_e_16,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_16,True,,1,2,1.0,,rei,rei,rei,1,delight,ein,3,surprise,,,,,,,,
event_schooloflock_06_e_17,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_17,True,,2,2,1.0,,ein,ein,,1,delight,,3,surprise,,,,,,,,
event_schooloflock_06_e_18,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_18,True,,2,2,1.0,,ein,ein,,1,delight,,3,surprise,,,,,,,,
event_schooloflock_06_e_19,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_19,True,,2,2,1.0,,rei,rei,,1,idle,,3,surprise,,,,,,,,
event_schooloflock_06_e_20,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_20,True,,2,2,1.0,,ein,ein,,1,idle,,3,delight,,,,,,,,
event_schooloflock_06_e_21,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_21,True,,2,2,1.0,,ein,ein,,1,idle,,3,delight,,,,,,,,
event_schooloflock_06_e_22,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_22,True,,2,12,1.0,,zwei,zwei,,1,idle,,3,delight,,,zwei,13,idle,,,
event_schooloflock_06_e_23,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_23,True,,12,12,1.0,,zwei,zwei,,1,idle,,3,delight,,,,13,good,,,
event_schooloflock_06_e_24,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_24,True,,12,12,1.0,,rei,rei,,1,delight,,3,delight,,,,13,good,,,
event_schooloflock_06_e_25,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_25,True,,12,12,1.0,,rei,rei,,1,surprise,,3,delight,,,,13,good,,,
event_schooloflock_06_e_26,40028,event_schooloflock_06_e,Monologue,Locale_SubScenario:event_schooloflock_06_e_26,False,,12,15,1.0,,,,,1,surprise,,3,delight,,,,13,good,,,
event_schooloflock_06_e_27,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_27,False,,15,15,1.0,,zwei,zwei,,1,surprise,,3,delight,,,,13,pain,,,
event_schooloflock_06_e_28,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_28,True,,2,2,1.0,,ein,ein,,1,surprise,,3,idle,,,,13,pain,,,
event_schooloflock_06_e_29,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_29,True,,2,2,1.0,,rei,rei,,1,surprise,,3,idle,,,,13,pain,,,
event_schooloflock_06_e_30,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_30,True,,2,2,1.0,,ein,ein,,1,surprise,,3,idle,,,,13,pain,,,
event_schooloflock_06_e_31,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_31,True,,130,130,1.0,,zwei,zwei,,1,surprise,,3,idle,,,,13,pain,,,
event_schooloflock_06_e_32,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_32,True,,130,130,1.0,,zwei,zwei,,1,surprise,,3,idle,,,,13,pain,,,
event_schooloflock_06_e_33,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_33,True,,30,30,1.0,,ein,ein,,1,surprise,,3,idle,,,,13,pain,,,
event_schooloflock_06_e_34,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_34,True,,130,130,1.0,,zwei,zwei,,1,surprise,,3,idle,,,,13,pain,,,
event_schooloflock_06_e_35,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_35,True,,XS_10,XS_10,1.0,,rei,rei,,1,no,,3,idle,,,,13,pain,,,
event_schooloflock_06_e_36,40028,event_schooloflock_06_e,Narration,Locale_SubScenario:event_schooloflock_06_e_36,False,,XS_10,XS_10,1.0,none,,,,1,no,,3,idle,,,,13,pain,sfx_scn_schoolbell,,
event_schooloflock_06_e_37,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_37,False,,130,130,1.0,,zwei,zwei,,1,no,,3,idle,,,,13,surprise,,Low_2,
event_schooloflock_06_e_38,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_38,False,,30,30,1.0,,ein,ein,,1,no,,3,angry,,,,13,surprise,,Low_2,
event_schooloflock_06_e_39,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_39,True,,XS_10,1,1.0,,rei,rei,,1,cry,,3,angry,,,,13,surprise,,Low_2,
event_schooloflock_06_e_40,40028,event_schooloflock_06_e,Narration,Locale_SubScenario:event_schooloflock_06_e_40,False,,1,15,1.0,bgm_story_orangepop,,,,1,cry,,3,angry,,,,13,surprise,,,
event_schooloflock_06_e_41,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_41,True,,15,15,1.0,,tercera,tercera,,1,cry,,3,surprise,,,,13,surprise,,,
event_schooloflock_06_e_42,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_42,False,,130,130,1.0,,zwei,zwei,,1,cry,,3,surprise,,,,13,good,,,
event_schooloflock_06_e_43,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_43,True,,30,30,1.0,,ein,ein,,1,cry,,3,surprise,,,,13,good,,,
event_schooloflock_06_e_44,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_44,True,,XS_10,XS_10,1.0,,rei,rei,,1,idle,,3,surprise,,,,13,good,,,
event_schooloflock_06_e_45,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_45,True,,XS_10,XS_10,1.0,,tercera,tercera,,1,idle,,3,surprise,,,,13,good,,,
event_schooloflock_06_e_46,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_46,True,,XS_10,XS_10,1.0,,tercera,tercera,,1,idle,,3,surprise,,,,13,good,,,
event_schooloflock_06_e_47,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_47,True,,XS_10,1,1.0,,rei,rei,,1,delight,,3,surprise,,,,13,good,,,
event_schooloflock_06_e_48,40028,event_schooloflock_06_e,Monologue,Locale_SubScenario:event_schooloflock_06_e_48,False,,1,1,1.0,,,,,1,delight,,3,surprise,,,,13,good,,,
event_schooloflock_06_e_49,40028,event_schooloflock_06_e,Monologue,Locale_SubScenario:event_schooloflock_06_e_49,False,,1,1,1.0,,,,,1,delight,,3,surprise,,,,13,good,,,
event_schooloflock_06_e_50,40028,event_schooloflock_06_e,Monologue,Locale_SubScenario:event_schooloflock_06_e_50,False,,1,1,1.0,,,,,1,delight,,3,surprise,,,,13,good,,,
event_schooloflock_06_e_51,40028,event_schooloflock_06_e,Narration,Locale_SubScenario:event_schooloflock_06_e_51,False,none,black,black,1.0,none,,,,1,delight,,3,surprise,rei,ein,,13,good,sfx_scn_pendrag,,zwei
event_schooloflock_06_e_52,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_52,True,,schooloflock_event_02,schooloflock_event_03,2.0,,marciana,marciana,schooloflock_event,1,idle,,,,,,,,,,,
event_schooloflock_06_e_53,40028,event_schooloflock_06_e,Monologue,Locale_SubScenario:event_schooloflock_06_e_53,False,,schooloflock_event_03,schooloflock_event_03,1.0,,,,,1,idle,,,,,,,,,,,
event_schooloflock_06_e_54,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_54,True,,schooloflock_event_03,schooloflock_event_03,2.0,bgm_story_trauma,marciana,marciana,,1,idle,,,,,,,,,,,
event_schooloflock_06_e_55,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_55,True,,schooloflock_event_03,schooloflock_event_03,1.0,,marciana,marciana,,1,idle,,,,,,,,,,,
event_schooloflock_06_e_56,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_56,True,,schooloflock_event_03,schooloflock_event_03,1.0,,marciana,marciana,,1,idle,,,,,,,,,,,
event_schooloflock_06_e_57,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_57,True,,schooloflock_event_03,schooloflock_event_03,1.0,,marciana,marciana,,1,idle,,,,,,,,,,,
event_schooloflock_06_e_58,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_58,True,,schooloflock_event_03,schooloflock_event_01,2.0,,marciana,marciana,,1,idle,,,,,,,,,,,
event_schooloflock_06_e_59,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_59,True,,schooloflock_event_01,schooloflock_event_01,1.0,,marciana,marciana,,1,idle,,,,,,,,,,,
event_schooloflock_06_e_60,40028,event_schooloflock_06_e,Narration,Locale_SubScenario:event_schooloflock_06_e_60,False,,schooloflock_event_01,schooloflock_event_01,1.0,,,,,1,idle,,,,,,,,,sfx_scn_pendrag,,
event_schooloflock_06_e_61,40028,event_schooloflock_06_e,Monologue,Locale_SubScenario:event_schooloflock_06_e_61,False,,schooloflock_event_01,schooloflock_event_01,1.0,,,,,1,idle,,,,,,,,,,,
event_schooloflock_06_e_62,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_62,True,,schooloflock_event_01,schooloflock_event_01,1.0,,marciana,marciana,,1,idle,,,,,,,,,,,
event_schooloflock_06_e_63,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_63,True,,schooloflock_event_01,schooloflock_event_01,1.0,,marciana,marciana,,1,idle,,,,,,,,,,,
event_schooloflock_06_e_64,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_64,True,,schooloflock_event_01,schooloflock_event_01,1.0,,marciana,marciana,,1,idle,,,,,,,,,,,
event_schooloflock_06_e_65,40028,event_schooloflock_06_e,Speech,Locale_SubScenario:event_schooloflock_06_e_65,False,,schooloflock_event_01,schooloflock_event_01,1.0,,marciana,marciana,,1,idle,,,,,,,,,,,
event_schooloflock_06_e_66,40028,event_schooloflock_06_e,Narration,Locale_SubScenario:event_schooloflock_06_e_66,False,,black,black,1.0,,,,,1,idle,,,,,,,,,,,
event_schooloflock_06_e_67,40028,event_schooloflock_06_e,Monologue,Locale_SubScenario:event_schooloflock_06_e_67,False,,schooloflock_event_01,schooloflock_event_04,1.0,,,,,1,idle,,,,,,,,,,,
