id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound
event_ce02_1_03_s_1,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_1,True,rapi,1,idle,anis,3,worry,neon,5,idle,c1002_02,13,idle,b0006_02,15,idle,6000d_02,17,idle,TechIndoor_n,53,53,1.0,event_bgm_ce002_story_2,,
event_ce02_1_03_s_2,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_2,True,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,
event_ce02_1_03_s_3,40026,event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_3,True,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,
event_ce02_1_03_s_4,40026,event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_4,True,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,
event_ce02_1_03_s_5,40026,event_ce02_1_03_s,Choice,,,Locale_SubScenario:event_ce02_1_03_s_5,False,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,event_ce02_1_03_s_7,
event_ce02_1_03_s_6,40026,event_ce02_1_03_s,Choice,,,Locale_SubScenario:event_ce02_1_03_s_6,False,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,event_ce02_1_03_s_7,
event_ce02_1_03_s_7,40026,event_ce02_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_03_s_7,False,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,
event_ce02_1_03_s_8,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_8,True,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,30,30,1.0,,,
event_ce02_1_03_s_9,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_9,True,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,30,30,1.0,,,
event_ce02_1_03_s_10,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_10,True,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,30,3,1.0,,,
event_ce02_1_03_s_11,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_11,True,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,3,3,1.0,,,
event_ce02_1_03_s_12,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_12,True,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,3,3,1.0,,,
event_ce02_1_03_s_13,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_13,True,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,3,3,1.0,,,
event_ce02_1_03_s_14,40026,event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_14,True,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,3,53,1.0,,,
event_ce02_1_03_s_15,40026,event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_15,True,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,
event_ce02_1_03_s_16,40026,event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_16,True,,1,idle,,3,worry,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,
event_ce02_1_03_s_17,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_17,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,
event_ce02_1_03_s_18,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_18,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,
event_ce02_1_03_s_19,40026,event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_19,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,
event_ce02_1_03_s_20,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_20,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,
event_ce02_1_03_s_21,40026,event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_21,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,53,S_50,1.0,,,
event_ce02_1_03_s_22,40026,event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_22,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,S_50,S_50,1.0,,,
event_ce02_1_03_s_23,40026,event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_23,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,S_50,S_50,1.0,,,
event_ce02_1_03_s_24,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_24,True,,1,idle,,3,void,,5,idle,,13,idle,,15,idle,,17,idle,,S_50,30,1.0,,,
event_ce02_1_03_s_25,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_25,True,,1,idle,,3,void,,5,idle,,13,idle,,15,idle,,17,idle,,30,30,1.0,,,
event_ce02_1_03_s_26,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_26,True,,1,idle,,3,void,,5,idle,,13,idle,,15,idle,,17,idle,,30,30,1.0,,,
event_ce02_1_03_s_27,40026,event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_27,True,,1,idle,,3,void,,5,angry,,13,idle,,15,idle,,17,idle,,S_500,S_500,1.0,,,
event_ce02_1_03_s_28,40026,event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_28,True,,1,idle,,3,void,,5,angry,,13,idle,,15,idle,,17,idle,,S_500,S_500,1.0,,,
