id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/2/hide_char_id
event_miraclesnow2_06_e_1,40004,event_miraclesnow2_06_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_06_e_1,False,rupee_w,1,etc,angelina,3,angry,Backstreet_n,31,31,1.0,none,,,,,,,
event_miraclesnow2_06_e_2,40004,event_miraclesnow2_06_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_06_e_2,True,,1,etc,,3,angry,,31,31,1.0,,,,,,,,
event_miraclesnow2_06_e_3,40004,event_miraclesnow2_06_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_06_e_3,True,,1,etc,,3,angry,,31,31,1.0,,,,,,,,
event_miraclesnow2_06_e_4,40004,event_miraclesnow2_06_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_06_e_4,False,,1,etc,,3,surprise,,31,31,1.0,,,,,,,,
event_miraclesnow2_06_e_5,40004,event_miraclesnow2_06_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_06_e_5,True,,1,etc,,3,surprise,,31,31,1.0,,,,,,,,
event_miraclesnow2_06_e_6,40004,event_miraclesnow2_06_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_06_e_6,True,,1,etc,,3,worry,,31,31,1.0,,,,,,,,
event_miraclesnow2_06_e_7,40004,event_miraclesnow2_06_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_06_e_7,True,,1,etc,,3,worry,,31,31,1.0,,,,,,,,
event_miraclesnow2_06_e_8,40004,event_miraclesnow2_06_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_06_e_8,True,,1,etc,,3,worry,,31,31,1.0,,,,,,,,
event_miraclesnow2_06_e_9,40004,event_miraclesnow2_06_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_06_e_9,False,,1,etc,,3,worry,,31,31,1.0,,,,,,,,
event_miraclesnow2_06_e_10,40004,event_miraclesnow2_06_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_06_e_10,True,,1,etc,,3,worry,,31,31,1.0,bgm_story_inwonderland,,,,,,,
event_miraclesnow2_06_e_11,40004,event_miraclesnow2_06_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_06_e_11,True,,1,etc,,3,worry,,31,31,1.0,,,,,,,,
event_miraclesnow2_06_e_12,40004,event_miraclesnow2_06_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_06_e_12,True,,1,sad,,3,worry,,31,L_10,1.0,,,,,,,,
event_miraclesnow2_06_e_13,40004,event_miraclesnow2_06_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_06_e_13,True,,1,sad,,3,worry,,L_10,L_10,1.0,,,,,,,,
event_miraclesnow2_06_e_14,40004,event_miraclesnow2_06_e,Speech,angelina,angelina,Locale_SubScenario:event_miraclesnow2_06_e_14,True,,1,sad,,3,surprise,,30,30,1.0,,,,,,,,
event_miraclesnow2_06_e_15,40004,event_miraclesnow2_06_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_06_e_15,True,,1,sad,,3,surprise,,L_10,L_10,1.0,,,,,,,,
event_miraclesnow2_06_e_16,40004,event_miraclesnow2_06_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_06_e_16,True,,1,sad,,3,surprise,,L_10,L_10,1.0,,,,,,,,
event_miraclesnow2_06_e_17,40004,event_miraclesnow2_06_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_06_e_17,True,,1,sad,,3,surprise,,L_10,L_10,1.0,,,,,,,,
event_miraclesnow2_06_e_18,40004,event_miraclesnow2_06_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_06_e_18,True,,1,sad,,3,surprise,,L_10,L_100,1.0,,,,,,,,
event_miraclesnow2_06_e_19,40004,event_miraclesnow2_06_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_06_e_19,True,,1,sad,,3,surprise,,L_100,L_100,1.0,,,,,,,,
event_miraclesnow2_06_e_20,40004,event_miraclesnow2_06_e,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow2_06_e_20,True,,1,sad,,3,surprise,,L_100,L_100,1.0,,,,,,,,
