id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_nyanyaparadise_04_e_1,40022,event_nyanyaparadise_04_e,Speech,nero,nero,Locale_SubScenario:event_nyanyaparadise_04_e_1,True,Hospital,1,1,1.0,none,,,nero,1,idle,,,,,,,,
event_nyanyaparadise_04_e_2,40022,event_nyanyaparadise_04_e,Self,,,Locale_SubScenario:event_nyanyaparadise_04_e_2,False,,1,1,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_3,40022,event_nyanyaparadise_04_e,Monologue,,,Locale_SubScenario:event_nyanyaparadise_04_e_3,False,,1,L_10,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_4,40022,event_nyanyaparadise_04_e,Speech,nero,nero,Locale_SubScenario:event_nyanyaparadise_04_e_4,True,,L_10,L_10,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_5,40022,event_nyanyaparadise_04_e,Speech,nero,nero,Locale_SubScenario:event_nyanyaparadise_04_e_5,True,,L_10,L_10,1.0,bgm_story_weare,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_6,40022,event_nyanyaparadise_04_e,Self,,,Locale_SubScenario:event_nyanyaparadise_04_e_6,False,,L_10,L_10,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_7,40022,event_nyanyaparadise_04_e,Speech,nero,nero,Locale_SubScenario:event_nyanyaparadise_04_e_7,True,,L_10,L_10,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_8,40022,event_nyanyaparadise_04_e,Self,,,Locale_SubScenario:event_nyanyaparadise_04_e_8,False,,L_10,L_10,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_9,40022,event_nyanyaparadise_04_e,Speech,nero,nero,Locale_SubScenario:event_nyanyaparadise_04_e_9,True,,L_10,L_10,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_10,40022,event_nyanyaparadise_04_e,Speech,nero,nero,Locale_SubScenario:event_nyanyaparadise_04_e_10,True,,L_10,L_10,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_11,40022,event_nyanyaparadise_04_e,Self,,,Locale_SubScenario:event_nyanyaparadise_04_e_11,False,,L_10,L_10,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_12,40022,event_nyanyaparadise_04_e,Self,,,Locale_SubScenario:event_nyanyaparadise_04_e_12,False,,L_10,L_10,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_13,40022,event_nyanyaparadise_04_e,Speech,nero,nero,Locale_SubScenario:event_nyanyaparadise_04_e_13,True,,L_10,L_100,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_14,40022,event_nyanyaparadise_04_e,Speech,nero,nero,Locale_SubScenario:event_nyanyaparadise_04_e_14,True,,L_100,L_100,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_15,40022,event_nyanyaparadise_04_e,Speech,nero,nero,Locale_SubScenario:event_nyanyaparadise_04_e_15,True,,L_100,L_100,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_16,40022,event_nyanyaparadise_04_e,Self,,,Locale_SubScenario:event_nyanyaparadise_04_e_16,False,,L_100,L_100,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_17,40022,event_nyanyaparadise_04_e,Speech,nero,nero,Locale_SubScenario:event_nyanyaparadise_04_e_17,True,,L_100,L_10,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_18,40022,event_nyanyaparadise_04_e,Self,,,Locale_SubScenario:event_nyanyaparadise_04_e_18,False,,L_10,L_10,1.0,,,,,1,idle,,,,,,,,
event_nyanyaparadise_04_e_19,40022,event_nyanyaparadise_04_e,Speech,leona,leona,Locale_SubScenario:event_nyanyaparadise_04_e_19,True,SchoolCorridor,L_30,L_30,1.0,,black,,,1,idle,leona,3,sad,,biscuit,13,sad,
event_nyanyaparadise_04_e_20,40022,event_nyanyaparadise_04_e,Speech,biscuit,biscuit,Locale_SubScenario:event_nyanyaparadise_04_e_20,False,,XS_130,XS_130,1.0,,,,,1,idle,,3,sad,,,13,sad,
event_nyanyaparadise_04_e_21,40022,event_nyanyaparadise_04_e,Speech,biscuit,biscuit,Locale_SubScenario:event_nyanyaparadise_04_e_21,True,,XS_130,XS_130,1.0,,,,,1,idle,,3,sad,,,13,sad,
event_nyanyaparadise_04_e_22,40022,event_nyanyaparadise_04_e,Speech,leona,leona,Locale_SubScenario:event_nyanyaparadise_04_e_22,True,,L_30,L_30,1.0,,,,,1,idle,,3,sad,,,13,sad,
event_nyanyaparadise_04_e_23,40022,event_nyanyaparadise_04_e,Monologue,,,Locale_SubScenario:event_nyanyaparadise_04_e_23,False,,L_30,L_10,2.0,,,,,1,idle,,3,sad,,,13,sad,
event_nyanyaparadise_04_e_24,40022,event_nyanyaparadise_04_e,Speech,nero,nero,Locale_SubScenario:event_nyanyaparadise_04_e_24,True,,L_10,L_10,1.0,,,,,1,idle,,3,sad,,,13,sad,
event_nyanyaparadise_04_e_25,40022,event_nyanyaparadise_04_e,Speech,nero,nero,Locale_SubScenario:event_nyanyaparadise_04_e_25,True,,L_10,L_10,1.0,,,,,1,idle,,3,sad,,,13,sad,
