id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_background,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,fade
event_footstepwalkrun2_05_e_1,40066,event_footstepwalkrun2_05_e,Narration,Locale_MainScenario:event_footstepwalkrun2_05_e_1,False,rapi_m,1,idle,redhood,13,pain_1,black,black,1.0,bgm_story_monochrome,,,,,,,
event_footstepwalkrun2_05_e_2,40066,event_footstepwalkrun2_05_e,Narration,Locale_MainScenario:event_footstepwalkrun2_05_e_2,False,,1,idle,,13,pain_1,black,black,1.0,,,,,,,,
event_footstepwalkrun2_05_e_3,40066,event_footstepwalkrun2_05_e,Narration,Locale_MainScenario:event_footstepwalkrun2_05_e_3,False,,1,idle,,13,pain_1,black,black,1.0,,,,,,,,
event_footstepwalkrun2_05_e_4,40066,event_footstepwalkrun2_05_e,Narration,Locale_MainScenario:event_footstepwalkrun2_05_e_4,False,,1,idle,,13,pain_1,black,black,1.0,,,,,,,,
event_footstepwalkrun2_05_e_5,40066,event_footstepwalkrun2_05_e,Narration,Locale_MainScenario:event_footstepwalkrun2_05_e_5,False,,1,idle,,13,pain_1,black,black,1.0,,WasteLand_02_n,,,,,,
event_footstepwalkrun2_05_e_6,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_6,True,,1,idle,,13,pain_1,1300,1300,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_7,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_7,True,,1,idle,,13,pain_1,1300,130,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_8,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_8,True,,1,idle,,13,pain_1,130,113,1.0,,,rapi_m,rapi_m,,,,
event_footstepwalkrun2_05_e_9,40066,event_footstepwalkrun2_05_e,Narration,Locale_MainScenario:event_footstepwalkrun2_05_e_9,False,,1,idle,,13,pain_1,113,113,1.0,,,rapi_m,,,,,
event_footstepwalkrun2_05_e_10,40066,event_footstepwalkrun2_05_e,Narration,Locale_MainScenario:event_footstepwalkrun2_05_e_10,False,,1,idle,,13,pain_1,black,black,1.0,,,rapi_m,,,,,
event_footstepwalkrun2_05_e_11,40066,event_footstepwalkrun2_05_e,Narration,Locale_MainScenario:event_footstepwalkrun2_05_e_11,False,,1,idle,,13,pain_1,black,black,1.0,,EventScene_footstepwalkrun_04_1,,,rapi_m,redhood,,
event_footstepwalkrun2_05_e_12,40066,event_footstepwalkrun2_05_e,Narration,Locale_MainScenario:event_footstepwalkrun2_05_e_12,False,,,,,,,9,1,1.5,,,,,,,,
event_footstepwalkrun2_05_e_13,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_13,True,,,,,,,1,1,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_14,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_14,True,,,,,,,1,1,1.0,,,rapi_m,rapi_m,,,,
event_footstepwalkrun2_05_e_15,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_15,True,,,,,,,1,1,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_16,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_16,False,,,,,,,1,1,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_17,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_17,True,,,,,,,1,100,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_18,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_18,True,,,,,,,100,100,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_19,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_19,True,,,,,,,100,100,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_20,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_20,True,,,,,,,100,100,1.0,,,rapi_m,rapi_m,,,,
event_footstepwalkrun2_05_e_21,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_21,True,,,,,,,100,100,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_22,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_22,True,,,,,,,100,100,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_23,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_23,True,,,,,,,100,100,1.0,,,rapi_m,rapi_m,,,,
event_footstepwalkrun2_05_e_24,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_24,True,,,,,,,100,1,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_25,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_25,True,,,,,,,1,1,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_26,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_26,False,,,,,,,1,1,1.0,,,rapi_m,rapi_m,,,,
event_footstepwalkrun2_05_e_27,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_27,True,,,,,,,1,1,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_28,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_28,True,,,,,,,1,1,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_29,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_29,True,,,,,,,1,1,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_30,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_30,True,,,,,,,1,1,1.0,,,rapi_m,rapi_m,,,,
event_footstepwalkrun2_05_e_31,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_31,True,,,,,,,1,1,1.0,,,rapi_m,rapi_m,,,,
event_footstepwalkrun2_05_e_32,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_32,False,,,,,,,1,1,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_33,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_33,True,,,,,,,1,1,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_34,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_34,True,,,,,,,1,1,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_35,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_35,True,,,,,,,1,1,1.0,,,rapi_m,rapi_m,,,,
event_footstepwalkrun2_05_e_36,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_36,True,,,,,,,1,1,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_37,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_37,True,,,,,,,1,1,1.0,,,redhood,redhood,,,,
event_footstepwalkrun2_05_e_38,40066,event_footstepwalkrun2_05_e,Speech,Locale_MainScenario:event_footstepwalkrun2_05_e_38,True,,,,,,,1,1,1.0,,,rapi_m,rapi_m,,,,
