id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/6/hide_char_id,characters/7/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
event_neverland1_03_s_1,40034,event_neverland1_03_s,Speech,blanc,blanc,Locale_MainScenario:event_neverland1_03_s_1,True,ludmilla_w,1,idle,blanc,3,delight,noir,5,idle,emma,7,delight,HotSpringInnOut_d,L_30,L_30,1.0,none,,,,,,,,,,,,,,,,,,,,
event_neverland1_03_s_2,40034,event_neverland1_03_s,Speech,emma,emma,Locale_MainScenario:event_neverland1_03_s_2,True,,1,idle,,3,delight,,5,idle,,7,delight,,70,70,1.0,event_bgm_neverland_snowflakes_day,,,,,,,,,,,,,,,,,,,,
event_neverland1_03_s_3,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_3,True,,1,delight,,3,idle,,5,idle,,7,delight,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,
event_neverland1_03_s_4,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_4,True,,1,smile,,3,idle,,5,idle,,7,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,
event_neverland1_03_s_5,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_5,True,,1,idle,,3,idle,,5,idle,,7,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,
event_neverland1_03_s_6,40034,event_neverland1_03_s,Monologue,,,Locale_MainScenario:event_neverland1_03_s_6,False,,1,idle,,3,idle,,5,idle,,7,idle,BigHotSpring_d,black,black,1.0,,vesti,9,idle,signal,13,delight,,,,,,,,,,,,,,
event_neverland1_03_s_7,40034,event_neverland1_03_s,Speech,vesti,vesti,Locale_MainScenario:event_neverland1_03_s_7,True,,1,idle,,3,idle,,5,idle,,7,idle,,9,XS_90,0.7,,,9,shy,,13,delight,,,,,,,,,,,,,,
event_neverland1_03_s_8,40034,event_neverland1_03_s,Speech,signal,signal,Locale_MainScenario:event_neverland1_03_s_8,True,,1,idle,,3,idle,,5,idle,,7,idle,,13,XS_130,0.7,,,9,shy,,13,delight,delta,15,idle,,,,,,,,,,,
event_neverland1_03_s_9,40034,event_neverland1_03_s,Speech,blanc,blanc,Locale_MainScenario:event_neverland1_03_s_9,True,,1,idle,,3,idle,,5,idle,,7,idle,,L_30,L_30,0.7,,,9,shy,,13,delight,,15,idle,,,,,,,,,,,
event_neverland1_03_s_10,40034,event_neverland1_03_s,Monologue,,,Locale_MainScenario:event_neverland1_03_s_10,False,,1,idle,,3,idle,,5,idle,,7,idle,,black,black,1.0,,,9,idle,,13,delight,,15,idle,,,,,,,,,,,
