id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,speaker,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
event_ce006_3_03_e_1,40080,event_ce006_3_03_e,Narration,art,Locale_MainScenario:event_ce006_3_03_e_1,False,art,1,idle,none,black,black,1.0,sfx_scn_memorynoise,bgm_risk,Grey,,,,,,,,,,,,,,,,,,
event_ce006_3_03_e_2,40080,event_ce006_3_03_e,Speech,art,Locale_MainScenario:event_ce006_3_03_e_2,False,,1,idle,,black,black,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_03_e_3,40080,event_ce006_3_03_e,Speech,art,Locale_MainScenario:event_ce006_3_03_e_3,False,,1,idle,,1,10,1.3,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_03_e_4,40080,event_ce006_3_03_e,Speech,art,Locale_MainScenario:event_ce006_3_03_e_4,False,,1,idle,,10,10,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_03_e_5,40080,event_ce006_3_03_e,Speech,art,Locale_MainScenario:event_ce006_3_03_e_5,False,,1,idle,,10,10,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_03_e_6,40080,event_ce006_3_03_e,Speech,art,Locale_MainScenario:event_ce006_3_03_e_6,False,,1,idle,,black,black,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_03_e_7,40080,event_ce006_3_03_e,Speech,art,Locale_MainScenario:event_ce006_3_03_e_7,False,,1,idle,,black,black,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_03_e_8,40080,event_ce006_3_03_e,Speech,art,Locale_MainScenario:event_ce006_3_03_e_8,False,,1,idle,,black,black,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_03_e_9,40080,event_ce006_3_03_e,Speech,art,Locale_MainScenario:event_ce006_3_03_e_9,False,com,1,idle,Desert_03,black,black,1.0,,,Grey,com,art,,,,,,,,,,,,,,,,
event_ce006_3_03_e_10,40080,event_ce006_3_03_e,Speech,art,Locale_MainScenario:event_ce006_3_03_e_10,False,,1,idle,,1,10,1.3,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_03_e_11,40080,event_ce006_3_03_e,Speech,art,Locale_MainScenario:event_ce006_3_03_e_11,False,,1,idle,,10,10,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_03_e_12,40080,event_ce006_3_03_e,Speech,art,Locale_MainScenario:event_ce006_3_03_e_12,False,,1,idle,,10,10,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_03_e_13,40080,event_ce006_3_03_e,Speech,art,Locale_MainScenario:event_ce006_3_03_e_13,False,,1,idle,,10,10,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_03_e_14,40080,event_ce006_3_03_e,Speech,art,Locale_MainScenario:event_ce006_3_03_e_14,False,,1,idle,,10,10,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
