id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_darkhero_06_s_1,40047,event_darkhero_06_s,Monologue,trony,Locale_SubScenario:event_darkhero_06_s_1,False,SchoolCorridor_n,1,1,1.0,bgm_story_heynewbie,,,,,,trony,1,no,,exia_op,OP_leftup,delight,,,,,
event_darkhero_06_s_2,40047,event_darkhero_06_s,Speech,trony,Locale_SubScenario:event_darkhero_06_s_2,True,,1,1,1.0,,trony,,,,,,1,no,,,OP_leftup,delight,,,,,
event_darkhero_06_s_3,40047,event_darkhero_06_s,Speech,exia_op,Locale_SubScenario:event_darkhero_06_s_3,True,,1,1,1.0,,exia_op,,,,,,1,no,,,OP_leftup,delight,,,,,
event_darkhero_06_s_4,40047,event_darkhero_06_s,Monologue,trony,Locale_SubScenario:event_darkhero_06_s_4,False,,1,10,1.0,,,,,,,,1,no,,,OP_leftup,delight,,,,,
event_darkhero_06_s_5,40047,event_darkhero_06_s,Speech,trony,Locale_SubScenario:event_darkhero_06_s_5,True,,10,10,1.0,,trony,,,,,,1,no,,,OP_leftup,delight,,,,,
event_darkhero_06_s_6,40047,event_darkhero_06_s,Speech,exia_op,Locale_SubScenario:event_darkhero_06_s_6,True,,10,10,1.0,,exia_op,,,,,,1,no,,,OP_leftup,delight,,,,,
event_darkhero_06_s_7,40047,event_darkhero_06_s,Monologue,trony,Locale_SubScenario:event_darkhero_06_s_7,False,,10,10,1.0,,,,,,,,1,no,,,OP_leftup,delight,,,,,
event_darkhero_06_s_8,40047,event_darkhero_06_s,Narration,trony,Locale_SubScenario:event_darkhero_06_s_8,False,,10,10,1.0,,,sfx_scn_8bitexplosion,Low_2,,,,1,no,,,OP_leftup,delight,,,,,
event_darkhero_06_s_10,40047,event_darkhero_06_s,Monologue,trony,Locale_SubScenario:event_darkhero_06_s_10,False,,10,100,1.0,,,,,,,,1,no,,,OP_leftup,delight,,,,,
event_darkhero_06_s_11,40047,event_darkhero_06_s,Monologue,trony,Locale_SubScenario:event_darkhero_06_s_11,False,,100,100,1.0,,,,,,,,1,no,,,OP_leftup,delight,,,,,
event_darkhero_06_s_12,40047,event_darkhero_06_s,Monologue,trony,Locale_SubScenario:event_darkhero_06_s_12,False,,100,10,1.0,,,,,,,,1,no,,,OP_leftup,delight,,,,,
event_darkhero_06_s_13,40047,event_darkhero_06_s,Speech,trony,Locale_SubScenario:event_darkhero_06_s_13,True,,10,10,1.0,,trony,,,,,,1,idle,,,OP_leftup,delight,,,,,
event_darkhero_06_s_14,40047,event_darkhero_06_s,Speech,exia_op,Locale_SubScenario:event_darkhero_06_s_14,True,,10,10,1.0,,exia_op,,,,,,1,idle,,,OP_leftup,idle,,,,,
event_darkhero_06_s_15,40047,event_darkhero_06_s,Monologue,trony,Locale_SubScenario:event_darkhero_06_s_15,False,,10,160,1.0,,,,,,,,1,idle,,,OP_leftup,idle,,,,,
event_darkhero_06_s_16,40047,event_darkhero_06_s,Speech,exia_op,Locale_SubScenario:event_darkhero_06_s_16,True,,160,160,1.0,,exia_op,,,,,,1,idle,,,OP_leftup,idle,,,,,
event_darkhero_06_s_17,40047,event_darkhero_06_s,Speech,trony,Locale_SubScenario:event_darkhero_06_s_17,True,,160,160,1.0,,trony,,,,,,1,idle,,,OP_leftup,idle,,,,,
event_darkhero_06_s_18,40047,event_darkhero_06_s,Speech,exia_op,Locale_SubScenario:event_darkhero_06_s_18,True,,160,10,1.0,,exia_op,,,,,,1,idle,,,OP_leftup,idle,,,,,
event_darkhero_06_s_19,40047,event_darkhero_06_s,Monologue,exia_op,Locale_SubScenario:event_darkhero_06_s_19,False,,10,10,1.0,,,,,,,,1,idle,,,OP_leftup,idle,,,,,
event_darkhero_06_s_20,40047,event_darkhero_06_s,Monologue,exia_op,Locale_SubScenario:event_darkhero_06_s_20,False,,10,10,1.0,,,,,,,,1,idle,,,OP_leftup,idle,,,,,
event_darkhero_06_s_21,40047,event_darkhero_06_s,Monologue,exia_op,Locale_SubScenario:event_darkhero_06_s_21,False,,10,10,1.0,,,,,,,,1,idle,,,OP_leftup,idle,,,,,
event_darkhero_06_s_22,40047,event_darkhero_06_s,Speech,exia_op,Locale_SubScenario:event_darkhero_06_s_22,True,,10,10,1.0,,exia_op,,,,,,1,idle,,,OP_leftup,idle,,,,,
event_darkhero_06_s_23,40047,event_darkhero_06_s,Speech,exia_op,Locale_SubScenario:event_darkhero_06_s_23,True,,10,10,1.0,,exia_op,,,,,,1,idle,,,OP_leftup,idle,,,,,
