id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight,speaker,fade,play_movie,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
event_neverland2_06_e_1,40035,event_neverland2_06_e,Narration,Locale_MainScenario:event_neverland2_06_e_1,False,IceLand_n,black,black,1.0,sfx_scn_brokenrapture,none,,,,,,mica_w,1,no,,belorta,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland2_06_e_2,40035,event_neverland2_06_e,Narration,Locale_MainScenario:event_neverland2_06_e_2,False,,black,black,1.0,sfx_scn_rapturelanding,,Low_2,,,,,,1,no,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland2_06_e_3,40035,event_neverland2_06_e,Monologue,Locale_MainScenario:event_neverland2_06_e_3,False,,black,black,1.0,,,,,,,,,1,no,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland2_06_e_4,40035,event_neverland2_06_e,Speech,Locale_MainScenario:event_neverland2_06_e_4,True,,1,1,1.0,,bgm_story_weare,,mica_w,mica_w,,,,1,no,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland2_06_e_5,40035,event_neverland2_06_e,Speech,Locale_MainScenario:event_neverland2_06_e_5,True,,1,S_100,1.0,,,,mica_w,mica_w,,,,1,no,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland2_06_e_6,40035,event_neverland2_06_e,Monologue,Locale_MainScenario:event_neverland2_06_e_6,False,,S_100,S_100,1.0,,,,,,,,,1,no,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland2_06_e_7,40035,event_neverland2_06_e,Speech,Locale_MainScenario:event_neverland2_06_e_7,True,,S_100,S_100,1.0,,,,mica_w,mica_w,,,,1,no,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland2_06_e_8,40035,event_neverland2_06_e,Speech,Locale_MainScenario:event_neverland2_06_e_8,True,,S_100,S_10,1.0,,,,mica_w,mica_w,,,,1,no,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland2_06_e_9,40035,event_neverland2_06_e,Speech,Locale_MainScenario:event_neverland2_06_e_9,True,,S_10,XS_130,1.0,,,,belorta,belorta,,,,1,no,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland2_06_e_10,40035,event_neverland2_06_e,Speech,Locale_MainScenario:event_neverland2_06_e_10,True,,XS_130,XS_130,1.0,,,,belorta,belorta,,,,1,no,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,
