id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,speaker,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
snowfall_myroom_day5_s_1,80903,snowfall_myroom_day5_s,Narration,Locale_SubScenario:snowfall_myroom_day5_s_1,False,HotSpringInnIn_d,1,1,1.0,amb_so_inn_in_1,event_bgm_neverland_intermissionjam_day,,,,,,,
snowfall_myroom_day5_s_2,80903,snowfall_myroom_day5_s,Self,Locale_SubScenario:snowfall_myroom_day5_s_2,False,,1,1,1.0,,,,,,,,,
snowfall_myroom_day5_s_3,80903,snowfall_myroom_day5_s,Speech,Locale_SubScenario:snowfall_myroom_day5_s_3,True,,1,1,1.0,,,emma,,,,,,
snowfall_myroom_day5_s_4,80903,snowfall_myroom_day5_s,Self,Locale_SubScenario:snowfall_myroom_day5_s_4,False,,1,1,1.0,,,,,,,,,
snowfall_myroom_day5_s_5,80903,snowfall_myroom_day5_s,Narration,Locale_SubScenario:snowfall_myroom_day5_s_5,False,,1,10,1.0,,,,sfx_scn_slidingdoor,,,,,
snowfall_myroom_day5_s_6,80903,snowfall_myroom_day5_s,Speech,Locale_SubScenario:snowfall_myroom_day5_s_6,True,,10,10,1.0,,,emma,,emma,emma,1,idle,
snowfall_myroom_day5_s_7,80903,snowfall_myroom_day5_s,Speech,Locale_SubScenario:snowfall_myroom_day5_s_7,True,,10,10,1.0,,,emma,,emma,,1,idle,
snowfall_myroom_day5_s_8,80903,snowfall_myroom_day5_s,Self,Locale_SubScenario:snowfall_myroom_day5_s_8,False,,10,10,1.0,,,,,emma,,1,idle,
snowfall_myroom_day5_s_9,80903,snowfall_myroom_day5_s,Speech,Locale_SubScenario:snowfall_myroom_day5_s_9,True,,10,10,1.0,,,emma,,emma,,1,delight,
snowfall_myroom_day5_s_10,80903,snowfall_myroom_day5_s,Speech,Locale_SubScenario:snowfall_myroom_day5_s_10,True,,10,10,1.0,,,emma,,emma,,1,delight,
snowfall_myroom_day5_s_11,80903,snowfall_myroom_day5_s,Self,Locale_SubScenario:snowfall_myroom_day5_s_11,False,,10,10,1.0,,,,,emma,,1,delight,
snowfall_myroom_day5_s_12,80903,snowfall_myroom_day5_s,Speech,Locale_SubScenario:snowfall_myroom_day5_s_12,True,,10,10,1.0,,,emma,,emma,,1,idle,
snowfall_myroom_day5_s_13,80903,snowfall_myroom_day5_s,Speech,Locale_SubScenario:snowfall_myroom_day5_s_13,True,,10,10,1.0,,,emma,,emma,,1,idle,
snowfall_myroom_day5_s_14,80903,snowfall_myroom_day5_s,Self,Locale_SubScenario:snowfall_myroom_day5_s_14,False,,10,10,1.0,,,,,emma,,1,idle,
snowfall_myroom_day5_s_15,80903,snowfall_myroom_day5_s,Speech,Locale_SubScenario:snowfall_myroom_day5_s_15,True,,10,10,1.0,,,emma,,emma,,1,idle,
snowfall_myroom_day5_s_16,80903,snowfall_myroom_day5_s,Speech,Locale_SubScenario:snowfall_myroom_day5_s_16,True,,10,10,1.0,,,emma,,emma,,1,idle,
snowfall_myroom_day5_s_17,80903,snowfall_myroom_day5_s,Self,Locale_SubScenario:snowfall_myroom_day5_s_17,False,,10,10,1.0,,,,,emma,,1,idle,
snowfall_myroom_day5_s_18,80903,snowfall_myroom_day5_s,Speech,Locale_SubScenario:snowfall_myroom_day5_s_18,True,,10,10,1.0,,,emma,,emma,,1,idle,
snowfall_myroom_day5_s_19,80903,snowfall_myroom_day5_s,Speech,Locale_SubScenario:snowfall_myroom_day5_s_19,True,,10,10,1.0,,,emma,,emma,,1,idle,
snowfall_myroom_day5_s_20,80903,snowfall_myroom_day5_s,Self,Locale_SubScenario:snowfall_myroom_day5_s_20,False,,10,10,1.0,,,,,emma,,1,idle,
snowfall_myroom_day5_s_21,80903,snowfall_myroom_day5_s,Narration,Locale_SubScenario:snowfall_myroom_day5_s_21,False,,black,black,1.0,,,,,emma,,1,idle,emma
