id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,jump_target
event_BunnyX777_01_e_1,40014,event_BunnyX777_01_e,Monologue,Locale_SubScenario:event_BunnyX777_01_e_1,False,rouge,1,idle,CoinRushIndoor,black,black,1.0,bgm_story_epicjazzymoods,,,,
event_BunnyX777_01_e_2,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_2,True,,1,idle,,1,10,1.0,,rouge,rouge,,
event_BunnyX777_01_e_3,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_3,True,,1,idle,,10,10,1.0,,rouge,rouge,,
event_BunnyX777_01_e_4,40014,event_BunnyX777_01_e,Self,Locale_SubScenario:event_BunnyX777_01_e_4,False,,1,idle,,10,10,1.0,,,,,
event_BunnyX777_01_e_5,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_5,True,,1,idle,,10,100,1.0,,rouge,rouge,,
event_BunnyX777_01_e_6,40014,event_BunnyX777_01_e,Self,Locale_SubScenario:event_BunnyX777_01_e_6,False,,1,idle,,100,100,1.0,,,,,
event_BunnyX777_01_e_7,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_7,True,,1,surprise,,100,10,0.5,,rouge,rouge,,
event_BunnyX777_01_e_8,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_8,True,,1,surprise,,10,10,1.0,,rouge,rouge,,
event_BunnyX777_01_e_9,40014,event_BunnyX777_01_e,Self,Locale_SubScenario:event_BunnyX777_01_e_9,False,,1,surprise,,10,10,1.0,,,,,
event_BunnyX777_01_e_10,40014,event_BunnyX777_01_e,Self,Locale_SubScenario:event_BunnyX777_01_e_10,False,,1,surprise,,10,10,1.0,,,,,
event_BunnyX777_01_e_11,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_11,True,,1,idle,,10,1,1.0,,rouge,rouge,,
event_BunnyX777_01_e_12,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_12,True,,1,idle,,1,1,1.0,,rouge,rouge,,
event_BunnyX777_01_e_13,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_13,True,,1,idle,,1,1,1.0,,rouge,rouge,,
event_BunnyX777_01_e_14,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_14,True,,1,idle,,1,1,1.0,,rouge,rouge,,
event_BunnyX777_01_e_15,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_15,True,,1,idle,,1,1,1.0,,rouge,rouge,,
event_BunnyX777_01_e_16,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_16,True,,1,idle,,1,1,1.0,,rouge,rouge,,
event_BunnyX777_01_e_17,40014,event_BunnyX777_01_e,Self,Locale_SubScenario:event_BunnyX777_01_e_17,False,,1,idle,,1,1,1.0,,,,,
event_BunnyX777_01_e_18,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_18,True,,1,surprise,,1,10,1.0,,rouge,rouge,,
event_BunnyX777_01_e_19,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_19,True,,1,surprise,,10,10,1.0,,rouge,rouge,,
event_BunnyX777_01_e_20,40014,event_BunnyX777_01_e,Self,Locale_SubScenario:event_BunnyX777_01_e_20,False,,1,surprise,,10,10,1.0,,,,,
event_BunnyX777_01_e_21,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_21,True,,1,surprise,,10,100,1.0,,rouge,rouge,,
event_BunnyX777_01_e_22,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_22,True,,1,surprise,,100,100,1.0,,rouge,rouge,,
event_BunnyX777_01_e_23,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_23,True,,1,surprise,,100,100,1.0,,rouge,rouge,,
event_BunnyX777_01_e_24,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_24,True,,1,idle,,100,100,1.0,,rouge,rouge,,
event_BunnyX777_01_e_25,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_25,True,,1,idle,,100,100,1.0,,rouge,rouge,,
event_BunnyX777_01_e_26,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_26,True,,1,idle,,100,100,1.0,,rouge,rouge,,
event_BunnyX777_01_e_27,40014,event_BunnyX777_01_e,Self,Locale_SubScenario:event_BunnyX777_01_e_27,False,,1,idle,,100,100,1.0,,,,,
event_BunnyX777_01_e_28,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_28,True,,1,surprise,,100,10,0.5,,rouge,rouge,,
event_BunnyX777_01_e_29,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_29,True,,1,think,,10,10,1.0,,rouge,rouge,,
event_BunnyX777_01_e_30,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_30,True,,1,think,,10,10,1.0,,rouge,rouge,,
event_BunnyX777_01_e_31,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_31,True,,1,think,,10,1,1.0,,rouge,rouge,,
event_BunnyX777_01_e_32,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_32,True,,1,think,,1,1,1.0,,rouge,rouge,,
event_BunnyX777_01_e_33,40014,event_BunnyX777_01_e,Narration,Locale_SubScenario:event_BunnyX777_01_e_33,False,,1,think,,black,black,1.0,,,,sfx_scn_coin,
event_BunnyX777_01_e_34,40014,event_BunnyX777_01_e,Monologue,Locale_SubScenario:event_BunnyX777_01_e_34,False,,1,think,,black,black,1.0,,,,,
event_BunnyX777_01_e_35,40014,event_BunnyX777_01_e,Monologue,Locale_SubScenario:event_BunnyX777_01_e_35,False,,1,think,,black,black,1.0,,,,,
event_BunnyX777_01_e_36,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_36,True,,1,think,,1,1,1.0,,rouge,rouge,,
event_BunnyX777_01_e_37,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_37,True,,1,think,,1,1,1.0,,rouge,rouge,,
event_BunnyX777_01_e_38,40014,event_BunnyX777_01_e,Self,Locale_SubScenario:event_BunnyX777_01_e_38,False,,1,think,,1,1,1.0,,,,,
event_BunnyX777_01_e_39,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_39,True,,1,think,,1,10,1.0,,rouge,rouge,,
event_BunnyX777_01_e_40,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_40,True,,1,think,,10,10,1.0,,rouge,rouge,,
event_BunnyX777_01_e_41,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_41,True,,1,think,,10,10,1.0,,rouge,rouge,,
event_BunnyX777_01_e_42,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_42,True,,1,think,,10,10,1.0,,rouge,rouge,,
event_BunnyX777_01_e_43,40014,event_BunnyX777_01_e,Self,Locale_SubScenario:event_BunnyX777_01_e_43,False,,1,think,,10,10,1.0,,,,,
event_BunnyX777_01_e_44,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_44,True,,1,think,,10,10,1.0,,rouge,rouge,,
event_BunnyX777_01_e_45,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_45,True,,1,think,,10,10,1.0,,rouge,rouge,,
event_BunnyX777_01_e_46,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_46,True,,1,idle,,10,100,1.0,,rouge,rouge,,
event_BunnyX777_01_e_47,40014,event_BunnyX777_01_e,Speech,Locale_SubScenario:event_BunnyX777_01_e_47,True,,1,idle,,100,100,1.0,,rouge,rouge,,
