id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_overthehorizon_01_s_1,40081,event_overthehorizon_01_s,Narration,Locale_SubScenario:event_overthehorizon_01_s_1,False,CommanderRoom,black,black,1.0,bgm_story_breakaway,,,,,rapi,1,idle,anis,13,idle,neon,15,idle,,,,,,,,,,
event_overthehorizon_01_s_2,40081,event_overthehorizon_01_s,Self,Locale_SubScenario:event_overthehorizon_01_s_2,False,,100,100,1.0,,,,,,,1,idle,,13,idle,,15,idle,,,,,,,,,,
event_overthehorizon_01_s_3,40081,event_overthehorizon_01_s,Speech,Locale_SubScenario:event_overthehorizon_01_s_3,True,,100,10,1.0,,rapi,rapi,,,,1,idle,,13,idle,,15,idle,,,,,,,,,,
event_overthehorizon_01_s_4,40081,event_overthehorizon_01_s,Speech,Locale_SubScenario:event_overthehorizon_01_s_4,True,,10,10,1.0,,rapi,rapi,,,,1,idle,,13,idle,,15,idle,,,,,,,,,,
event_overthehorizon_01_s_5,40081,event_overthehorizon_01_s,Speech,Locale_SubScenario:event_overthehorizon_01_s_5,True,,10,10,1.0,,rapi,rapi,,,,1,idle,,13,idle,,15,idle,,,,,,,,,,
event_overthehorizon_01_s_6,40081,event_overthehorizon_01_s,Speech,Locale_SubScenario:event_overthehorizon_01_s_6,True,,10,10,1.0,,rapi,rapi,,,,1,idle,,13,idle,,15,idle,,,,,,,,,,
event_overthehorizon_01_s_7,40081,event_overthehorizon_01_s,Speech,Locale_SubScenario:event_overthehorizon_01_s_7,True,,10,10,1.0,,rapi,rapi,,,,1,idle,,13,idle,,15,idle,,,,,,,,,,
event_overthehorizon_01_s_8,40081,event_overthehorizon_01_s,Speech,Locale_SubScenario:event_overthehorizon_01_s_8,True,,10,10,1.0,,rapi,rapi,,,,1,idle,,13,idle,,15,idle,,,,,,,,,,
event_overthehorizon_01_s_9,40081,event_overthehorizon_01_s,Speech,Locale_SubScenario:event_overthehorizon_01_s_9,True,,10,10,1.0,,rapi,rapi,,,,1,idle,,13,idle,,15,idle,,,,,,,,,,
event_overthehorizon_01_s_10,40081,event_overthehorizon_01_s,Speech,Locale_SubScenario:event_overthehorizon_01_s_10,True,,10,10,1.0,,rapi,rapi,,,,1,idle,,13,idle,,15,idle,,,,,,,,,,
event_overthehorizon_01_s_11,40081,event_overthehorizon_01_s,Speech,Locale_SubScenario:event_overthehorizon_01_s_11,True,,10,10,1.0,,rapi,rapi,,,,1,idle,,13,idle,,15,idle,,,,,,,,,,
event_overthehorizon_01_s_12,40081,event_overthehorizon_01_s,Speech,Locale_SubScenario:event_overthehorizon_01_s_12,True,,10,113,1.0,,anis,anis,,,,1,idle,,13,idle,,15,idle,,,,,,,,,,
