id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_miraclesnow2_05_s_1,40004,event_miraclesnow2_05_s,Narration,Locale_SubScenario:event_miraclesnow2_05_s_1,False,Corridor,black,black,1.0,none,,,rian,17,special,,,,
event_miraclesnow2_05_s_2,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_2,True,,170,170,1.0,,rian,rian,,17,special,,,,
event_miraclesnow2_05_s_3,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_3,True,,170,170,1.0,,rian,rian,,17,special,,,,
event_miraclesnow2_05_s_4,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_4,True,,170,170,1.0,,rian,rian,,17,special,,,,
event_miraclesnow2_05_s_5,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_5,True,,170,170,1.0,,rian,rian,,17,special,,,,
event_miraclesnow2_05_s_6,40004,event_miraclesnow2_05_s,Monologue,Locale_SubScenario:event_miraclesnow2_05_s_6,False,,170,17,1.0,,,,,17,special,,,,
event_miraclesnow2_05_s_7,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_7,True,,17,17,1.0,,rian,rian,,17,idle,,,,
event_miraclesnow2_05_s_8,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_8,True,,17,17,1.0,,rian,rian,,17,delight,,,,
event_miraclesnow2_05_s_9,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_9,True,,17,170,1.0,,rian,rian,,17,delight,,,,
event_miraclesnow2_05_s_10,40004,event_miraclesnow2_05_s,Narration,Locale_SubScenario:event_miraclesnow2_05_s_10,False,Office,black,black,1.0,,,,,17,delight,rian,syuen,15,angry
event_miraclesnow2_05_s_11,40004,event_miraclesnow2_05_s,Self,Locale_SubScenario:event_miraclesnow2_05_s_11,False,,black,black,1.0,bgm_story_kneeldownfools,,,rupee_w,1,think,,,15,angry
event_miraclesnow2_05_s_12,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_12,True,,L_10,L_100,1.0,,rupee_w,rupee,,1,think,,,15,angry
event_miraclesnow2_05_s_13,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_13,True,,S_1500,S_1500,1.0,,syuen,syuen,,1,think,,,15,angry
event_miraclesnow2_05_s_14,40004,event_miraclesnow2_05_s,Monologue,Locale_SubScenario:event_miraclesnow2_05_s_14,False,,S_1500,S_130,1.0,,,,,1,think,,,13,angry
event_miraclesnow2_05_s_15,40004,event_miraclesnow2_05_s,Speech,Locale_SubScenario:event_miraclesnow2_05_s_15,True,,S_130,S_130,1.0,,syuen,syuen,,1,think,,,13,angry
