id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,speaker
re_event_ce02_3_04_s_1,40083,re_event_ce02_3_04_s,Monologue,Locale_SubScenario:event_ce02_3_04_s_1,False,p12,13,idle,ce_02_02,1,idle,Factory,black,black,1.0,event_bgm_ce002_story_2,,,,
re_event_ce02_3_04_s_2,40083,re_event_ce02_3_04_s,Monologue,Locale_SubScenario:event_ce02_3_04_s_2,False,,13,idle,,1,idle,,black,black,1.0,,,,,
re_event_ce02_3_04_s_3,40083,re_event_ce02_3_04_s,Narration,Locale_SubScenario:event_ce02_3_04_s_3,False,,13,idle,,1,idle,,5,5,1.0,,sfx_scn_gunfire,Low_2,,
re_event_ce02_3_04_s_4,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_4,True,,13,idle,,1,idle,,5,12,1.0,,,,p12,p12
re_event_ce02_3_04_s_5,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_5,True,,13,idle,,1,idle,,12,12,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_6,40083,re_event_ce02_3_04_s,Monologue,Locale_SubScenario:event_ce02_3_04_s_6,False,,13,idle,,1,idle,,12,12,1.0,,,,,
re_event_ce02_3_04_s_7,40083,re_event_ce02_3_04_s,Narration,Locale_SubScenario:event_ce02_3_04_s_7,False,,13,idle,,1,idle,,12,10,1.0,,sfx_scn_groundbreak,Low_2,,
re_event_ce02_3_04_s_8,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_8,True,,13,idle,,1,idle,,10,10,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_9,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_9,True,,13,idle,,1,idle,,10,12,1.0,,,,p12,p12
re_event_ce02_3_04_s_10,40083,re_event_ce02_3_04_s,Monologue,Locale_SubScenario:event_ce02_3_04_s_10,False,,13,idle,,1,idle,,black,black,1.0,,,,,
re_event_ce02_3_04_s_11,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_11,True,,13,idle,,1,idle,,12,12,1.0,,,,p12,p12
re_event_ce02_3_04_s_12,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_12,True,,13,idle,,1,angry,,12,12,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_13,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_13,True,,13,idle,,1,angry,,12,12,1.0,,,,p12,p12
re_event_ce02_3_04_s_14,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_14,True,,13,idle,,1,angry,CityForest_03_d,12,16,1.0,,,,p12,p12
re_event_ce02_3_04_s_15,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_15,True,,13,idle,,1,think,,16,16,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_16,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_16,True,,13,idle,,1,think,,16,16,1.0,,,,p12,p12
re_event_ce02_3_04_s_17,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_17,True,,13,idle,,1,think,,16,16,1.0,,,,p12,p12
re_event_ce02_3_04_s_18,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_18,True,,13,idle,,1,think,,16,16,1.0,,,,p12,p12
re_event_ce02_3_04_s_19,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_19,True,,13,idle,,1,think,,16,16,1.0,,,,p12,p12
re_event_ce02_3_04_s_20,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_20,False,,13,idle,,1,think,Factory,16,12,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_21,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_21,True,,13,idle,,1,idle,,12,12,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_22,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_22,True,,13,idle,,1,idle,,12,12,1.0,,,,p12,p12
re_event_ce02_3_04_s_23,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_23,True,,13,idle,,1,idle,,12,12,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_24,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_24,True,,13,idle,,1,idle,,12,12,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_25,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_25,True,,13,idle,,1,idle,,12,130,1.0,,,,p12,p12
re_event_ce02_3_04_s_26,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_26,True,,13,idle,,1,idle,,130,130,1.0,,,,p12,p12
re_event_ce02_3_04_s_27,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_27,True,,13,idle,,1,idle,,130,130,1.0,,,,p12,p12
re_event_ce02_3_04_s_28,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_28,True,,13,idle,,1,think,,10,10,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_29,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_29,True,,13,idle,,1,think,,130,13,1.0,,,,p12,p12
re_event_ce02_3_04_s_30,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_30,True,,13,idle,,1,think,,13,13,1.0,,,,p12,p12
re_event_ce02_3_04_s_31,40083,re_event_ce02_3_04_s,Monologue,Locale_SubScenario:event_ce02_3_04_s_31,False,,13,idle,,1,think,Factory_n,black,black,1.0,,,,,
re_event_ce02_3_04_s_32,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_32,True,,13,idle,,1,think,,12,12,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_33,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_33,True,,13,idle,,1,think,,12,12,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_34,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_34,True,,13,idle,,1,think,,12,12,1.0,,,,p12,p12
re_event_ce02_3_04_s_35,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_35,True,,13,idle,,1,think,,12,12,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_36,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_36,True,,13,idle,,1,think,,12,12,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_37,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_37,True,,13,idle,,1,think,,12,12,1.0,,,,p12,p12
re_event_ce02_3_04_s_38,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_38,True,,13,idle,,1,think,,12,10,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_39,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_39,True,,13,idle,,1,think,,10,10,1.0,,,,ce_02_02,ce_02_02
re_event_ce02_3_04_s_40,40083,re_event_ce02_3_04_s,Speech,Locale_SubScenario:event_ce02_3_04_s_40,True,,13,idle,,1,think,,130,130,1.0,,,,p12,p12
