id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,play_sound,characters/0/hide_char_id
d_nikke_alice_wonderlandbunny_05_1,d_nikke_alice_wonderlandbunny_05,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_1,True,alice_b,1,idle,tove,3,idle,ludmilla,13,idle,neve,5,idle,Office,S_30,S_30,1.0,bgm_frostpillar,,,,,,
d_nikke_alice_wonderlandbunny_05_2,d_nikke_alice_wonderlandbunny_05,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_2,True,,1,idle,,3,sad,,13,idle,,5,idle,,S_30,S_30,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_3,d_nikke_alice_wonderlandbunny_05,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_3,True,,1,idle,,3,sad,,13,idle,,5,idle,,S_30,S_30,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_4,d_nikke_alice_wonderlandbunny_05,Speech,neve,neve,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_4,True,,1,idle,,3,sad,,13,idle,,5,idle,,S_30,50,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_5,d_nikke_alice_wonderlandbunny_05,Speech,neve,neve,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_5,True,,1,idle,,3,sad,,13,idle,,5,idle,,50,50,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_6,d_nikke_alice_wonderlandbunny_05,Speech,alice_b,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_6,True,,1,idle,,3,sad,,13,idle,,5,idle,,50,XS_10,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_7,d_nikke_alice_wonderlandbunny_05,Narration,alice_b,,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_7,False,,1,idle,,3,sad,,13,idle,,5,idle,,XS_10,XS_10,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_8,d_nikke_alice_wonderlandbunny_05,Narration,,,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_8,False,,1,idle,,3,sad,,13,idle,,5,idle,,black,black,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_9,d_nikke_alice_wonderlandbunny_05,Narration,,,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_9,False,,1,idle,,3,sad,,13,idle,,5,idle,,black,black,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_10,d_nikke_alice_wonderlandbunny_05,Speech,alice_b,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_10,True,,1,idle,,3,sad,,13,idle,,5,idle,,XS_10,XS_10,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_11,d_nikke_alice_wonderlandbunny_05,Speech,alice_b,tove,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_11,False,,1,idle,,3,surprise,,13,idle,,5,idle,,XS_10,XS_10,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_12,d_nikke_alice_wonderlandbunny_05,Speech,alice_b,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_12,True,,1,idle,,3,surprise,,13,idle,,5,idle,,XS_10,XS_10,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_13,d_nikke_alice_wonderlandbunny_05,Speech,alice_b,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_13,True,,1,idle,,3,surprise,,13,idle,,5,idle,,XS_10,XS_10,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_14,d_nikke_alice_wonderlandbunny_05,Speech,alice_b,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_14,True,,1,delight,,3,surprise,,13,idle,,5,idle,,XS_10,XS_10,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_15,d_nikke_alice_wonderlandbunny_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_15,True,,1,delight,,3,surprise,,13,idle,,5,idle,,XS_10,12,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_16,d_nikke_alice_wonderlandbunny_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_16,True,,1,delight,,3,surprise,,13,idle,,5,idle,,12,12,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_17,d_nikke_alice_wonderlandbunny_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_17,True,,1,delight,,3,surprise,,13,idle,,5,idle,,12,12,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_18,d_nikke_alice_wonderlandbunny_05,Speech,alice_b,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_18,True,,1,idle,,3,surprise,,13,idle,,5,idle,,12,12,1.0,,,,,,,
d_nikke_alice_wonderlandbunny_05_19,d_nikke_alice_wonderlandbunny_05,Speech,alice_b,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_05_19,True,,1,idle,,3,surprise,,13,idle,,5,idle,,12,12,1.0,,,,,,,
