id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,set_camera_shake
d_nikke_guilty_04_1,d_nikke_guilty_04,Narration,Locale_NikkeEpisode:d_nikke_guilty_04_1,False,Hospital,1,1,1.0,sfx_scn_ultrasonic,none,Blur_Middle,,,,,,,,,,,,
d_nikke_guilty_04_2,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_2,True,,1,10,2.0,,,Blur_Low,rapi,rapi,rapi,1,idle,,,,,,,
d_nikke_guilty_04_3,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_3,False,,10,10,1.0,,,,rapi,,,1,idle,,,,,,,
d_nikke_guilty_04_4,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_4,True,,10,10,1.0,,bgm_risk,,rapi,rapi,,1,idle,,,,,,,
d_nikke_guilty_04_5,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_5,True,,10,10,1.0,,,,rapi,rapi,,1,idle,,,,,,,
d_nikke_guilty_04_6,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_6,False,,10,10,1.0,,,,rapi,,,1,idle,,,,,,,
d_nikke_guilty_04_7,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_7,True,,10,12,1.0,,,,mary,mary,,1,idle,mary,13,idle,,,,
d_nikke_guilty_04_8,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_8,True,,12,12,1.0,,,,mary,mary,,1,idle,,13,idle,,,,
d_nikke_guilty_04_9,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_9,True,,12,12,1.0,,,,mary,mary,,1,idle,,13,idle,,,,
d_nikke_guilty_04_10,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_10,False,,12,12,1.0,,,,mary,,,1,idle,,13,idle,,,,
d_nikke_guilty_04_11,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_11,True,,12,XS_130,1.0,,,,mary,mary,,1,idle,,13,idle,,,,
d_nikke_guilty_04_12,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_12,True,,XS_130,XS_130,1.0,,,,mary,mary,,1,idle,,13,idle,,,,
d_nikke_guilty_04_13,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_13,False,,XS_130,XS_130,1.0,,,,mary,,,1,idle,,13,idle,,,,
d_nikke_guilty_04_14,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_14,True,,XS_130,XS_130,1.0,,,,mary,mary,,1,idle,,13,idle,,,,
d_nikke_guilty_04_15,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_15,True,,XS_130,XS_130,1.0,,,,mary,mary,,1,idle,,13,idle,,,,
d_nikke_guilty_04_16,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_16,False,,XS_130,XS_130,1.0,,,,mary,,,1,idle,,13,idle,,,,
d_nikke_guilty_04_17,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_17,True,,XS_130,10,2.0,,,,rapi,rapi,,1,idle,,13,idle,,,,
d_nikke_guilty_04_18,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_18,True,,10,10,1.0,,,,rapi,rapi,,1,think,,13,idle,,,,
d_nikke_guilty_04_19,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_19,False,,10,10,1.0,,,,rapi,,,1,think,,13,idle,,,,
d_nikke_guilty_04_20,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_20,True,,black,black,1.0,,,,guilty,guilty,,1,think,,13,idle,,,,
d_nikke_guilty_04_21,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_21,True,,black,black,1.0,,,,guilty,guilty,,1,think,,13,idle,,,,
