id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,set_camera_shake,play_sound,fade,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
treasurestory_milk_02_1,treasurestory_milk_02,Narration,sugar,Locale_NikkeEpisode:treasurestory_milk_02_1,False,MaidCafe,4,2,1.3,bgm_story_tuffguys,,,,,,,frima,5,sleep_01,,sugar,3,idle,,milk,1,idle,,,,,,,,,
treasurestory_milk_02_2,treasurestory_milk_02,Speech,sugar,Locale_NikkeEpisode:treasurestory_milk_02_2,True,,2,XS_30,1.0,,sugar,,,,,,,5,sleep_01,,,3,idle,,,1,idle,,,,,,,,,
treasurestory_milk_02_3,treasurestory_milk_02,Speech,sugar,Locale_NikkeEpisode:treasurestory_milk_02_3,True,,XS_30,XS_30,1.0,,sugar,,,,,,,5,sleep_01,,,3,idle,,,1,idle,,,,,,,,,
treasurestory_milk_02_4,treasurestory_milk_02,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_02_4,True,,S_10,S_10,1.0,,milk,,,,,,,5,sleep_01,,,3,idle,,,1,idle,,,,,,,,,
treasurestory_milk_02_5,treasurestory_milk_02,Speech,frima,Locale_NikkeEpisode:treasurestory_milk_02_5,True,,50,50,1.0,,frima,,,,,,,5,sleep_01,,,3,idle,,,1,idle,,,,,,,,,
treasurestory_milk_02_6,treasurestory_milk_02,Speech,sugar,Locale_NikkeEpisode:treasurestory_milk_02_6,True,,XS_30,XS_30,1.0,,sugar,,,,,,,5,sleep_01,,,3,idle,,,1,idle,,,,,,,,,
treasurestory_milk_02_7,treasurestory_milk_02,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_02_7,True,,S_10,S_10,1.0,,milk,,,,,,,5,sleep_01,,,3,idle,,,1,idle,,,,,,,,,
treasurestory_milk_02_8,treasurestory_milk_02,Speech,frima,Locale_NikkeEpisode:treasurestory_milk_02_8,True,,50,50,1.0,,frima,,,,,,,5,sleep_01,,,3,idle,,,1,idle,,,,,,,,,
treasurestory_milk_02_9,treasurestory_milk_02,Speech,sugar,Locale_NikkeEpisode:treasurestory_milk_02_9,False,,XS_30,XS_30,1.0,,sugar,,,,,,,5,sleep_01,,,3,idle,,,1,idle,,,,,,,,,
treasurestory_milk_02_10,treasurestory_milk_02,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_02_10,False,,S_10,S_10,1.0,,milk,,,,,,,5,sleep_01,,,3,idle,,,1,idle,,,,,,,,,
