id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
treasurestory_viper_04_1,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_1,True,liter,12,idle,Workshop,XS_120,XS_1200,1.0,bgm_story_girlstalk,,,
treasurestory_viper_04_2,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_2,True,,12,idle,,XS_1200,XS_1200,1.0,,,,
treasurestory_viper_04_3,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_3,True,,12,idle,,XS_1200,XS_1200,1.0,,,,
treasurestory_viper_04_4,treasurestory_viper_04,Self,liter,,Locale_NikkeEpisode:treasurestory_viper_04_4,False,,12,idle,,XS_1200,XS_1200,1.0,,,,
treasurestory_viper_04_5,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_5,True,,12,no,,XS_1200,XS_1200,1.0,,,,
treasurestory_viper_04_6,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_6,True,,12,no,,XS_1200,XS_1200,1.0,,,,
treasurestory_viper_04_7,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_7,True,,12,no,,XS_1200,XS_1200,1.0,,,,
treasurestory_viper_04_8,treasurestory_viper_04,Self,liter,,Locale_NikkeEpisode:treasurestory_viper_04_8,False,,12,no,,XS_1200,XS_1200,1.0,,,,
treasurestory_viper_04_9,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_9,True,,12,no,,XS_1200,XS_1200,1.0,,,,
treasurestory_viper_04_10,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_10,True,,12,delight,,XS_1200,XS_120,1.0,,,,
treasurestory_viper_04_11,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_11,True,,12,delight,,XS_120,XS_120,1.0,,,,
treasurestory_viper_04_12,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_12,True,,12,delight,,XS_120,XS_120,1.0,,,,
treasurestory_viper_04_13,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_13,True,,12,idle,,XS_120,XS_120,1.0,,,,
treasurestory_viper_04_14,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_14,True,,12,idle,,XS_120,XS_120,1.0,,,,
treasurestory_viper_04_15,treasurestory_viper_04,Self,liter,,Locale_NikkeEpisode:treasurestory_viper_04_15,False,,12,idle,,XS_120,XS_120,1.0,,,,
treasurestory_viper_04_16,treasurestory_viper_04,Speech,viper,viper,Locale_NikkeEpisode:treasurestory_viper_04_16,True,,12,idle,,XS_120,20,1.0,,viper,2,delight
