id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_quiry_02_1,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_1,True,Park,1,1,1.0,bgm_story_girlstalk,,,quiry,1,surprise,,,,,,,
d_nikke_quiry_02_2,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_2,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_quiry_02_3,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_3,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_quiry_02_4,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_4,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_quiry_02_5,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_5,True,,1,1,1.0,,,,,1,delight,,,,,,,
d_nikke_quiry_02_6,d_nikke_quiry_02,Self,Self,Self,Locale_NikkeEpisode:d_nikke_quiry_02_6,False,,1,1,1.0,,,,,1,delight,,,,,,,
d_nikke_quiry_02_7,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_7,True,,1,1,1.0,,,,,1,surprise,,,,,,,
d_nikke_quiry_02_8,d_nikke_quiry_02,Self,Self,Self,Locale_NikkeEpisode:d_nikke_quiry_02_8,False,,1,1,1.0,,,,,1,surprise,,,,,,,
d_nikke_quiry_02_9,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_9,True,,1,S_10,2.0,,,,,1,special,,,,,,,
d_nikke_quiry_02_10,d_nikke_quiry_02,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_quiry_02_10,False,,S_10,S_10,1.0,,,,,1,special,,,,,,,
d_nikke_quiry_02_11,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_11,True,,S_10,S_100,0.5,,,,,1,surprise,,,,,,,
d_nikke_quiry_02_12,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_12,True,,S_100,S_10,0.5,,,,,1,surprise,,,,,,,
d_nikke_quiry_02_13,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_13,True,,S_10,S_10,1.0,,,,,1,surprise,,,,,,,
d_nikke_quiry_02_14,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_14,True,,S_10,1,1.0,,,,,1,idle,,,,,,,
d_nikke_quiry_02_15,d_nikke_quiry_02,Self,Self,Self,Locale_NikkeEpisode:d_nikke_quiry_02_15,False,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_quiry_02_16,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_16,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_quiry_02_17,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_17,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_quiry_02_18,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_18,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_quiry_02_19,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_19,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_quiry_02_20,d_nikke_quiry_02,Self,Self,Self,Locale_NikkeEpisode:d_nikke_quiry_02_20,False,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_quiry_02_21,d_nikke_quiry_02,Self,Self,Self,Locale_NikkeEpisode:d_nikke_quiry_02_21,False,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_quiry_02_22,d_nikke_quiry_02,Self,Self,Self,Locale_NikkeEpisode:d_nikke_quiry_02_22,False,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_quiry_02_23,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_23,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_quiry_02_24,d_nikke_quiry_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_quiry_02_24,True,,113,113,1.0,,Grey,black,,1,idle,miranda,13,idle,,,,
d_nikke_quiry_02_25,d_nikke_quiry_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_quiry_02_25,True,,113,113,1.0,,Grey,,,1,idle,,13,idle,,,,
d_nikke_quiry_02_26,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_26,True,,113,113,1.0,,Grey,,,1,idle,,13,idle,,,,
d_nikke_quiry_02_27,d_nikke_quiry_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_quiry_02_27,True,,113,S_130,1.0,,Grey,,,1,idle,,13,idle,,,,
d_nikke_quiry_02_28,d_nikke_quiry_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_quiry_02_28,True,,S_130,S_130,1.0,,Grey,,,1,idle,,13,idle,,,,
d_nikke_quiry_02_29,d_nikke_quiry_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_quiry_02_29,True,,S_130,S_130,1.0,,Grey,,,1,idle,,13,idle,,,,
d_nikke_quiry_02_30,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_30,True,,S_130,113,1.0,,Grey,,,1,surprise,,13,idle,,,,
d_nikke_quiry_02_31,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_31,False,,113,1,1.0,,Grey,,,1,surprise,,13,idle,miranda,,,
d_nikke_quiry_02_32,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_32,True,,1,1,1.0,,Grey,,,1,idle,,,,,,,
d_nikke_quiry_02_33,d_nikke_quiry_02,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_quiry_02_33,False,,1,1,1.0,,Grey,,,1,idle,,,,,,,
d_nikke_quiry_02_34,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_34,True,,1,1,1.0,,Grey,,,1,special,,,,,,,
d_nikke_quiry_02_35,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_35,True,,1,1,1.0,,Grey,,,1,special,,,,,,,
d_nikke_quiry_02_36,d_nikke_quiry_02,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_02_36,True,,1,1,1.0,,Grey,,,1,idle,,,,,,,
d_nikke_quiry_02_37,d_nikke_quiry_02,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_quiry_02_37,False,,1,S_10,2.0,,Grey,,,1,idle,,,,,,,
