id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,fade,jump_target
d_nikke_ludmilla_05_1,d_nikke_ludmilla_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_ludmilla_05_1,True,andersen,13,idle,Office,13,13,1.0,none,,,,,,
d_nikke_ludmilla_05_2,d_nikke_ludmilla_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_ludmilla_05_2,True,,13,idle,,13,13,1.0,,,,,,,
d_nikke_ludmilla_05_3,d_nikke_ludmilla_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_ludmilla_05_3,True,,13,idle,,13,13,1.0,,,,,,,
d_nikke_ludmilla_05_4,d_nikke_ludmilla_05,Self,andersen,,Locale_NikkeEpisode:d_nikke_ludmilla_05_4,False,,13,idle,,13,L_130,0.5,,,,,,,
d_nikke_ludmilla_05_5,d_nikke_ludmilla_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_ludmilla_05_5,True,,13,idle,,L_130,L_130,1.0,bgm_story_breakaway,,,,,,
d_nikke_ludmilla_05_6,d_nikke_ludmilla_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_ludmilla_05_6,True,,13,idle,,L_130,L_130,1.0,,,,,,,
d_nikke_ludmilla_05_7,d_nikke_ludmilla_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_ludmilla_05_7,True,,13,idle,,L_130,L_130,1.0,,,,,,,
d_nikke_ludmilla_05_8,d_nikke_ludmilla_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_ludmilla_05_8,True,,13,idle,,L_130,L_130,1.0,,,,,,,
d_nikke_ludmilla_05_9,d_nikke_ludmilla_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_ludmilla_05_9,True,,13,idle,,L_130,L_130,1.0,,,,,,,
d_nikke_ludmilla_05_10,d_nikke_ludmilla_05,Self,andersen,,Locale_NikkeEpisode:d_nikke_ludmilla_05_10,False,,13,idle,,L_130,L_130,1.0,,,,,,,
d_nikke_ludmilla_05_11,d_nikke_ludmilla_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_ludmilla_05_11,True,,13,idle,,L_130,L_130,1.0,,,,,,,
d_nikke_ludmilla_05_12,d_nikke_ludmilla_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_ludmilla_05_12,True,,13,idle,,L_130,L_130,1.0,,,,,,,
d_nikke_ludmilla_05_13,d_nikke_ludmilla_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_ludmilla_05_13,True,,13,idle,,L_130,L_130,1.0,,,,,,,
d_nikke_ludmilla_05_14,d_nikke_ludmilla_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_ludmilla_05_14,True,,13,idle,,L_130,L_1300,0.5,,,,,,,
d_nikke_ludmilla_05_15,d_nikke_ludmilla_05,Self,andersen,,Locale_NikkeEpisode:d_nikke_ludmilla_05_15,False,,13,idle,,L_1300,L_1300,1.0,,,,,,,
d_nikke_ludmilla_05_16,d_nikke_ludmilla_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_ludmilla_05_16,True,,13,idle,,L_1300,L_1300,1.0,,,,,,,
d_nikke_ludmilla_05_17,d_nikke_ludmilla_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_ludmilla_05_17,True,,13,idle,,L_1300,L_1300,1.0,,,,,,,
d_nikke_ludmilla_05_18,d_nikke_ludmilla_05,Self,,,Locale_NikkeEpisode:d_nikke_ludmilla_05_18,False,,13,idle,,L_1300,L_1300,1.0,none,,,,,,
d_nikke_ludmilla_05_19,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_19,True,,13,idle,BriefingRoom,100,100,1.0,,ludmilla,1,idle,andersen,black,
d_nikke_ludmilla_05_20,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_20,True,,,,,100,100,1.0,bgm_story_backtonormal,,1,delight,,,
d_nikke_ludmilla_05_21,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_21,True,,,,,100,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_22,d_nikke_ludmilla_05,Self,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_05_22,False,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_23,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_23,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_24,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_24,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_25,d_nikke_ludmilla_05,Choice,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_05_25,False,,,,,10,10,1.0,,,1,idle,,,d_nikke_ludmilla_05_27
d_nikke_ludmilla_05_26,d_nikke_ludmilla_05,Choice,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_05_26,False,,,,,10,10,1.0,,,1,idle,,,d_nikke_ludmilla_05_33
d_nikke_ludmilla_05_27,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_27,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_28,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_28,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_29,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_29,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_30,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_30,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_31,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_31,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_32,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_32,True,,,,,10,10,1.0,,,1,idle,,,d_nikke_ludmilla_05_41
d_nikke_ludmilla_05_33,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_33,False,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_34,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_34,True,,,,,10,10,1.0,,,1,delight,,,
d_nikke_ludmilla_05_35,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_35,True,,,,,10,10,1.0,,,1,delight,,,
d_nikke_ludmilla_05_36,d_nikke_ludmilla_05,Self,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_05_36,False,,,,,10,10,1.0,,,1,delight,,,
d_nikke_ludmilla_05_37,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_37,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_38,d_nikke_ludmilla_05,Self,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_05_38,False,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_39,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_39,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_40,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_40,True,,,,,10,10,1.0,,,1,idle,,,d_nikke_ludmilla_05_41
d_nikke_ludmilla_05_41,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_41,True,,,,,10,100,1.0,,,1,delight,,,
d_nikke_ludmilla_05_42,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_42,True,,,,,100,100,1.0,,,1,delight,,,
d_nikke_ludmilla_05_43,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_43,True,,,,,100,100,1.0,,,1,delight,,,
d_nikke_ludmilla_05_44,d_nikke_ludmilla_05,Narration,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_05_44,False,,,,,100,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_45,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_45,False,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_46,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_46,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_47,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_47,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_48,d_nikke_ludmilla_05,Self,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_05_48,False,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_49,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_49,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_50,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_50,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_51,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_51,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_52,d_nikke_ludmilla_05,Self,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_05_52,False,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_53,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_53,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_54,d_nikke_ludmilla_05,Self,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_05_54,False,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_55,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_55,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_56,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_56,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_57,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_57,False,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_58,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_58,True,,,,,10,100,0.5,none,,1,idle,,,
d_nikke_ludmilla_05_59,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_59,True,,,,,100,100,1.0,,,1,think,,,
d_nikke_ludmilla_05_60,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_60,True,,,,,100,100,1.0,,,1,think,,,
d_nikke_ludmilla_05_61,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_61,True,,,,,100,100,1.0,,,1,think,,,
d_nikke_ludmilla_05_62,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_62,True,,,,,100,100,1.0,,,1,think,,,
d_nikke_ludmilla_05_63,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_63,True,,,,,100,100,1.0,,,1,think,,,
d_nikke_ludmilla_05_64,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_64,True,,,,,100,100,1.0,,,1,think,,,
d_nikke_ludmilla_05_65,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_65,True,,,,,100,100,1.0,,,1,think,,,
d_nikke_ludmilla_05_66,d_nikke_ludmilla_05,Self,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_05_66,False,,,,,100,10,1.0,,,1,think,,,
d_nikke_ludmilla_05_67,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_67,True,,,,,10,10,1.0,,,1,think,,,
d_nikke_ludmilla_05_68,d_nikke_ludmilla_05,Self,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_05_68,False,,,,,10,10,1.0,,,1,think,,,
d_nikke_ludmilla_05_69,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_69,True,,,,,10,10,1.0,,,1,delight,,,
