id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,speaker,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,set_camera_shake,characters/1/hide_char_id,characters/2/hide_char_id,jump_target,set_filter_01
d_nikke_frima_01_1,d_nikke_frima_01,Monologue,Locale_NikkeEpisode:d_nikke_frima_01_1,False,none,black,black,1.0,bgm_story_tuffguys,,,,,,,,,,,,,,,,,
d_nikke_frima_01_2,d_nikke_frima_01,Monologue,Locale_NikkeEpisode:d_nikke_frima_01_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,
d_nikke_frima_01_3,d_nikke_frima_01,Monologue,Locale_NikkeEpisode:d_nikke_frima_01_3,False,,1,1,1.0,,frima,frima,1,idle,,,,,,,,,,,,,
d_nikke_frima_01_4,d_nikke_frima_01,Monologue,Locale_NikkeEpisode:d_nikke_frima_01_4,False,,1,1,1.0,,frima,,1,idle,,,,,,,,,,,,,
d_nikke_frima_01_5,d_nikke_frima_01,Monologue,Locale_NikkeEpisode:d_nikke_frima_01_5,False,,1,1,1.0,,frima,,1,idle,,,,,,,,,,,,,
d_nikke_frima_01_6,d_nikke_frima_01,Monologue,Locale_NikkeEpisode:d_nikke_frima_01_6,False,NikkeRoom,black,black,1.0,,frima,,1,idle,milk,3,angry,,,,,,,,,,
d_nikke_frima_01_7,d_nikke_frima_01,Speech,Locale_NikkeEpisode:d_nikke_frima_01_7,True,,2,2,1.0,,milk,,1,sleep_01,,3,angry,milk,,,,,,,,,
d_nikke_frima_01_8,d_nikke_frima_01,Speech,Locale_NikkeEpisode:d_nikke_frima_01_8,True,,2,2,1.0,,frima,,1,idle,,3,angry,frima,,,,,,,,,
d_nikke_frima_01_9,d_nikke_frima_01,Speech,Locale_NikkeEpisode:d_nikke_frima_01_9,True,,2,2,1.0,,milk,,1,idle,,3,angry,milk,,,,,,,,,
d_nikke_frima_01_10,d_nikke_frima_01,Speech,Locale_NikkeEpisode:d_nikke_frima_01_10,True,,2,2,1.0,,milk,,1,idle,,3,angry,milk,,,,,,,,,
d_nikke_frima_01_11,d_nikke_frima_01,Speech,Locale_NikkeEpisode:d_nikke_frima_01_11,False,,2,10,4.0,,frima,,1,idle,,3,idle,frima,,,,,,,,,
d_nikke_frima_01_12,d_nikke_frima_01,Speech,Locale_NikkeEpisode:d_nikke_frima_01_12,True,,2,2,1.0,,milk,,1,idle,,3,angry,milk,,,,,,,,,
d_nikke_frima_01_13,d_nikke_frima_01,Speech,Locale_NikkeEpisode:d_nikke_frima_01_13,False,,2,2,1.0,,frima,,1,"expression_0,idle",,3,angry,frima,,,,,,,,,
d_nikke_frima_01_14,d_nikke_frima_01,Monologue,Locale_NikkeEpisode:d_nikke_frima_01_14,False,OuterRim,black,black,1.0,,frima,,1,no,,3,angry,,sugar,5,idle,,,,,,
d_nikke_frima_01_15,d_nikke_frima_01,Speech,Locale_NikkeEpisode:d_nikke_frima_01_15,True,,1,10,1.0,,frima,,1,idle,,3,idle,frima,,5,idle,,,,,,
d_nikke_frima_01_16,d_nikke_frima_01,Speech,Locale_NikkeEpisode:d_nikke_frima_01_16,False,,10,10,1.0,,frima,,1,idle,,3,idle,target01,,5,idle,,,,,,
d_nikke_frima_01_17,d_nikke_frima_01,Monologue,Locale_NikkeEpisode:d_nikke_frima_01_17,False,,10,190,0.7,,frima,,1,idle,,3,idle,,,5,idle,,,,,,
d_nikke_frima_01_18,d_nikke_frima_01,Narration,Locale_NikkeEpisode:d_nikke_frima_01_18,False,,190,190,1.0,,frima,,1,idle,,3,idle,,,5,idle,sfx_scn_fireblindly,Low_2,,,,
d_nikke_frima_01_19,d_nikke_frima_01,Speech,Locale_NikkeEpisode:d_nikke_frima_01_19,False,,190,190,1.0,,frima,,1,idle,,3,idle,target01,,5,idle,,,,,,
d_nikke_frima_01_20,d_nikke_frima_01,Speech,Locale_NikkeEpisode:d_nikke_frima_01_20,True,,190,10,1.0,,frima,,1,idle,,3,idle,frima,,5,idle,,,,,,
d_nikke_frima_01_21,d_nikke_frima_01,Monologue,Locale_NikkeEpisode:d_nikke_frima_01_21,False,,10,10,1.0,,frima,,1,idle,,3,idle,,,5,idle,,,,,,
d_nikke_frima_01_22,d_nikke_frima_01,Speech,Locale_NikkeEpisode:d_nikke_frima_01_22,True,,S_50,S_50,1.0,,sugar,,1,idle,,3,idle,sugar,,5,idle,,,,,,
d_nikke_frima_01_23,d_nikke_frima_01,Speech,Locale_NikkeEpisode:d_nikke_frima_01_23,True,,S_50,2,1.0,,milk,,1,idle,,3,angry,milk,,5,idle,,,,,,
d_nikke_frima_01_24,d_nikke_frima_01,Speech,Locale_NikkeEpisode:d_nikke_frima_01_24,True,,2,2,1.0,,frima,,1,angry,,3,idle,frima,,5,idle,,,,,,
