id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker
d_nikke_ce004_03_02_1,d_nikke_ce004_03_02,Narration,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_1,False,ce004_03_s,12,idle,rei,2,idle,MaidCafe,black,black,1.0,sfx_scn_toyshopbell,none,
d_nikke_ce004_03_02_2,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_2,False,,12,idle,,2,idle,,1,1,1.0,,bgm_story_orangepop,femaleemployee
d_nikke_ce004_03_02_3,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_3,True,,12,idle,,2,idle,,1,1,1.0,,,rei
d_nikke_ce004_03_02_4,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_4,False,,12,idle,,2,idle,,1,1,1.0,,,femaleemployee
d_nikke_ce004_03_02_5,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_5,True,,12,idle,,2,idle,,1,1,1.0,,,rei
d_nikke_ce004_03_02_6,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_6,True,,12,idle,,2,idle,,1,1,1.0,,,rei
d_nikke_ce004_03_02_7,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_7,True,,12,idle,,2,idle,,1,1,1.0,,,ce004_03_s
d_nikke_ce004_03_02_8,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_8,True,,12,idle,,2,idle,,1,1,1.0,,,ce004_03_s
d_nikke_ce004_03_02_9,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_9,True,,12,idle,,2,idle,,1,1,1.0,,,rei
d_nikke_ce004_03_02_10,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_10,True,,12,idle,,2,idle,,1,120,1.0,,,ce004_03_s
d_nikke_ce004_03_02_11,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_11,True,,12,idle,,2,idle,,120,120,1.0,,,ce004_03_s
d_nikke_ce004_03_02_12,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_12,True,,12,idle,,2,idle,,120,120,1.0,,,ce004_03_s
d_nikke_ce004_03_02_13,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_13,True,,12,idle,,2,idle,,120,XS_20,1.0,,,rei
d_nikke_ce004_03_02_14,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_14,True,,12,idle,,2,idle,,XS_20,XS_20,1.0,,,rei
d_nikke_ce004_03_02_15,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_15,True,,12,idle,,2,delight,,XS_20,XS_200,1.0,,,rei
d_nikke_ce004_03_02_16,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_16,True,,12,idle,,2,delight,,XS_200,XS_200,1.0,,,rei
d_nikke_ce004_03_02_17,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_17,True,,12,idle,,2,delight,,XS_200,1,1.0,,,ce004_03_s
