id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_mori_03_1,d_nikke_mori_03,Monologue,Locale_NikkeEpisode:d_nikke_mori_03_1,False,GoodOffice,black,black,1.0,none,,,,,mori,1,idle,staff,13,idle,
d_nikke_mori_03_2,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_2,True,,S_130,S_1300,1.0,,staff,staff,,,,1,idle,,13,idle,
d_nikke_mori_03_3,d_nikke_mori_03,Self,Locale_NikkeEpisode:d_nikke_mori_03_3,False,,S_1300,S_1300,1.0,,staff,,,,,1,idle,,13,idle,
d_nikke_mori_03_4,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_4,True,,S_1300,S_1300,1.0,bgm_story_fairytalesend_if,staff,staff,,,,1,idle,,13,idle,
d_nikke_mori_03_5,d_nikke_mori_03,Self,Locale_NikkeEpisode:d_nikke_mori_03_5,False,,S_1300,S_1300,1.0,,staff,,,,,1,idle,,13,idle,
d_nikke_mori_03_6,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_6,True,,S_1300,S_1300,1.0,,staff,staff,,,,1,idle,,13,idle,
d_nikke_mori_03_7,d_nikke_mori_03,Self,Locale_NikkeEpisode:d_nikke_mori_03_7,False,,S_1300,S_1300,1.0,,staff,,,,,1,idle,,13,idle,
d_nikke_mori_03_8,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_8,True,,S_1300,S_1300,1.0,,staff,staff,,,,1,idle,,13,idle,
d_nikke_mori_03_9,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_9,True,,S_1300,S_1300,1.0,,staff,staff,,,,1,idle,,13,idle,
d_nikke_mori_03_10,d_nikke_mori_03,Self,Locale_NikkeEpisode:d_nikke_mori_03_10,False,,S_1300,S_130,1.0,,staff,,,,,1,idle,,13,idle,
d_nikke_mori_03_11,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_11,True,,S_130,S_130,1.0,,staff,staff,,,,1,idle,,13,idle,
d_nikke_mori_03_12,d_nikke_mori_03,Self,Locale_NikkeEpisode:d_nikke_mori_03_12,False,,S_130,S_130,1.0,,staff,,,,,1,idle,,13,idle,
d_nikke_mori_03_13,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_13,True,,S_130,113,1.0,,staff,staff,,,,1,idle,,13,idle,
d_nikke_mori_03_14,d_nikke_mori_03,Monologue,Locale_NikkeEpisode:d_nikke_mori_03_14,False,,113,113,1.0,,staff,,,,,1,idle,,13,idle,
d_nikke_mori_03_15,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_15,True,,113,113,1.0,,mori,mori,,,,1,idle,,13,idle,
d_nikke_mori_03_16,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_16,True,,113,113,1.0,,staff,staff,,,,1,idle,,13,idle,
d_nikke_mori_03_17,d_nikke_mori_03,Self,Locale_NikkeEpisode:d_nikke_mori_03_17,False,,113,113,1.0,,staff,,,,,1,idle,,13,idle,
d_nikke_mori_03_18,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_18,True,,113,113,1.0,,staff,staff,,,,1,idle,,13,idle,
d_nikke_mori_03_19,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_19,True,,113,113,1.0,,mori,mori,,,,1,surprise,,13,idle,
d_nikke_mori_03_20,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_20,True,,113,113,1.0,,staff,staff,,,,1,surprise,,13,idle,
d_nikke_mori_03_21,d_nikke_mori_03,Monologue,Locale_NikkeEpisode:d_nikke_mori_03_21,False,,113,113,1.0,,staff,,,,,1,surprise,,13,idle,
d_nikke_mori_03_22,d_nikke_mori_03,Self,Locale_NikkeEpisode:d_nikke_mori_03_22,False,,113,113,1.0,,staff,,,,,1,surprise,,13,idle,
d_nikke_mori_03_23,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_23,True,,113,113,1.0,,staff,staff,,,,1,surprise,,13,idle,
d_nikke_mori_03_24,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_24,True,,113,113,1.0,,staff,staff,,,,1,surprise,,13,idle,
d_nikke_mori_03_25,d_nikke_mori_03,Self,Locale_NikkeEpisode:d_nikke_mori_03_25,False,,113,113,1.0,,staff,,,,,1,surprise,,13,idle,
d_nikke_mori_03_26,d_nikke_mori_03,Narration,Locale_NikkeEpisode:d_nikke_mori_03_26,False,Corridor,black,black,1.0,,mori,,sfx_scn_autodooropen,,,1,surprise,,13,idle,staff
d_nikke_mori_03_27,d_nikke_mori_03,Monologue,Locale_NikkeEpisode:d_nikke_mori_03_27,False,,black,black,1.0,,mori,,,,,1,idle,,,,
d_nikke_mori_03_28,d_nikke_mori_03,Monologue,Locale_NikkeEpisode:d_nikke_mori_03_28,False,,black,black,1.0,,mori,,,,,1,idle,,,,
d_nikke_mori_03_29,d_nikke_mori_03,Self,Locale_NikkeEpisode:d_nikke_mori_03_29,False,,S_10,S_10,1.0,,mori,,,,,1,idle,,,,
d_nikke_mori_03_30,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_30,True,,S_10,S_10,1.0,,mori,mori,,,,1,idle,,,,
d_nikke_mori_03_31,d_nikke_mori_03,Self,Locale_NikkeEpisode:d_nikke_mori_03_31,False,,S_10,S_10,1.0,,mori,,,,,1,idle,,,,
d_nikke_mori_03_32,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_32,True,,S_10,S_100,1.0,,mori,mori,,,,1,idle,,,,
d_nikke_mori_03_33,d_nikke_mori_03,Monologue,Locale_NikkeEpisode:d_nikke_mori_03_33,False,,S_100,S_300,1.0,,mori,,,,,1,idle,,,,
d_nikke_mori_03_34,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_34,False,,S_300,S_300,1.0,,mori,rumbling,,,,1,idle,,,,
d_nikke_mori_03_35,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_35,False,,S_300,S_300,1.0,,mori,rumbling,,,,1,idle,,,,
d_nikke_mori_03_36,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_36,False,,S_300,S_300,1.0,,mori,rumbling,,,,1,idle,,,,
d_nikke_mori_03_37,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_37,False,,S_300,S_300,1.0,,mori,rumbling,,,,1,idle,,,,
d_nikke_mori_03_38,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_38,False,,S_300,S_300,1.0,,mori,rumbling,,,,1,idle,,,,
d_nikke_mori_03_39,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_39,False,,S_300,S_300,1.0,,mori,rumbling,,,,1,idle,,,,
d_nikke_mori_03_40,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_40,False,,S_300,S_100,1.0,,mori,mori,,,,1,pain,,,,
d_nikke_mori_03_41,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_41,True,,S_100,S_100,1.0,,mori,mori,,,,1,pain,,,,
d_nikke_mori_03_42,d_nikke_mori_03,Monologue,Locale_NikkeEpisode:d_nikke_mori_03_42,False,,S_100,S_10,1.0,,mori,,,,,1,pain,,,,
d_nikke_mori_03_43,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_43,False,,S_10,S_10,1.0,,mori,rumbling,,,,1,pain,,,,
d_nikke_mori_03_44,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_44,False,,S_10,S_10,1.0,,mori,rumbling,,,,1,pain,,,,
d_nikke_mori_03_45,d_nikke_mori_03,Monologue,Locale_NikkeEpisode:d_nikke_mori_03_45,False,,S_10,S_10,1.0,,mori,,,,,1,pain,,,,
d_nikke_mori_03_46,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_46,False,,S_10,S_10,1.0,,mori,mori,,,,1,idle,,,,
d_nikke_mori_03_47,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_47,True,,S_10,S_10,1.0,,mori,mori,,,,1,idle,,,,
d_nikke_mori_03_48,d_nikke_mori_03,Self,Locale_NikkeEpisode:d_nikke_mori_03_48,False,,S_10,S_10,1.0,,mori,,,,,1,idle,,,,
d_nikke_mori_03_49,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_49,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,,
d_nikke_mori_03_50,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_50,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,,
d_nikke_mori_03_51,d_nikke_mori_03,Self,Locale_NikkeEpisode:d_nikke_mori_03_51,False,,S_10,S_10,1.0,,mori,,,,,1,think,,,,
d_nikke_mori_03_52,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_52,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,,
d_nikke_mori_03_53,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_53,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,,
d_nikke_mori_03_54,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_54,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,,
d_nikke_mori_03_55,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_55,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,,
d_nikke_mori_03_56,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_56,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,,
d_nikke_mori_03_57,d_nikke_mori_03,Self,Locale_NikkeEpisode:d_nikke_mori_03_57,False,,S_10,S_10,1.0,,mori,,,,,1,think,,,,
d_nikke_mori_03_58,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_58,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,,
d_nikke_mori_03_59,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_59,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,,
d_nikke_mori_03_60,d_nikke_mori_03,Speech,Locale_NikkeEpisode:d_nikke_mori_03_60,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,,
