id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,set_filter_01,speaker,jump_target,conversation_id,set_camera_shake
d_nikke_harran_01_1,d_nikke_harran_01,Monologue,Locale_NikkeEpisode:d_nikke_harran_01_1,False,harran,1,idle,Desert_01,black,black,1.0,none,,,,,,,
d_nikke_harran_01_2,d_nikke_harran_01,Monologue,Locale_NikkeEpisode:d_nikke_harran_01_2,False,,1,idle,,black,black,1.0,,,,,,,,
d_nikke_harran_01_3,d_nikke_harran_01,Narration,Locale_NikkeEpisode:d_nikke_harran_01_3,False,,1,idle,,black,black,1.0,,sfx_scn_crow1,,,,,,
d_nikke_harran_01_4,d_nikke_harran_01,Monologue,Locale_NikkeEpisode:d_nikke_harran_01_4,False,,1,idle,,black,black,1.0,,,,,,,,
d_nikke_harran_01_5,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_5,False,,1,idle,,black,black,1.0,,,,,,,,
d_nikke_harran_01_6,d_nikke_harran_01,Monologue,Locale_NikkeEpisode:d_nikke_harran_01_6,False,,1,idle,,10,10,1.0,,,harran,Blur_High,,,,
d_nikke_harran_01_7,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_7,True,,1,idle,,10,10,1.0,bgm_recognition,,harran,,harran,,,
d_nikke_harran_01_8,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_8,False,,1,idle,,10,10,1.0,,,harran,,,,,
d_nikke_harran_01_9,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_9,True,,1,idle,,10,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_10,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_10,True,,1,idle,,100,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_11,d_nikke_harran_01,Narration,Locale_NikkeEpisode:d_nikke_harran_01_11,False,,1,idle,,100,harran_crow_02,0.5,,sfx_scn_crow2,harran,,,,,
d_nikke_harran_01_12,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_12,False,,1,idle,,harran_crow_02,harran_crow_02,1.0,,,harran,,,,,
d_nikke_harran_01_13,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_13,True,,1,idle,,harran_crow_02,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_14,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_14,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_15,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_15,False,,1,idle,,10,10,1.0,,,harran,,,,,
d_nikke_harran_01_16,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_16,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_17,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_17,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_18,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_18,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_19,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_19,False,,1,idle,,10,10,1.0,,,harran,,,,,
d_nikke_harran_01_20,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_20,True,,1,rage,,10,100,2.0,,,harran,,harran,,,
d_nikke_harran_01_21,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_21,True,,1,rage,,100,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_22,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_22,True,,1,rage,,100,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_23,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_23,False,,1,rage,,100,100,1.0,,,harran,,,,,
d_nikke_harran_01_24,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_24,True,,1,idle,,100,10,0.5,,,harran,,harran,,,
d_nikke_harran_01_25,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_25,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_26,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_26,False,,1,idle,,10,10,1.0,,,harran,,,,,
d_nikke_harran_01_27,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_27,True,,1,rage,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_28,d_nikke_harran_01,Choice,Locale_NikkeEpisode:d_nikke_harran_01_28,False,,1,rage,,10,10,1.0,,,harran,,,d_nikke_harran_01_30,,
d_nikke_harran_01_29,d_nikke_harran_01,Choice,Locale_NikkeEpisode:d_nikke_harran_01_29,False,,1,rage,,10,10,1.0,,,harran,,,d_nikke_harran_01_32,,
d_nikke_harran_01_30,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_30,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_31,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_31,True,,1,idle,,10,10,1.0,,,harran,,harran,d_nikke_harran_01_36,,
d_nikke_harran_01_32,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_32,True,,1,rage,,10,10,1.0,,,harran,,harran,,,
