id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_n102_01_1,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_1,False,Hospital,1,1,1.0,none,,,,n102,1,idle,
d_nikke_n102_01_2,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_2,True,,1,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_01_3,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_3,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_01_4,d_nikke_n102_01,Narration,n102,Narration,Locale_NikkeEpisode:d_nikke_n102_01_4,False,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_01_5,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_5,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_01_6,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_6,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_01_7,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_7,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_01_8,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_8,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_01_9,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_9,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_01_10,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_10,True,,XS_10,XS_10,1.0,,,,,,1,think,
d_nikke_n102_01_11,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_11,True,,XS_10,1,1.0,,,,,,1,delight,
d_nikke_n102_01_12,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_12,True,,1,1,1.0,,,,,,5,delight,
d_nikke_n102_01_13,d_nikke_n102_01,Narration,n102,Narration,Locale_NikkeEpisode:d_nikke_n102_01_13,False,City_d,black,black,1.0,,,,,n102,12,delight,n102
d_nikke_n102_01_14,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_14,False,,1,1,1.0,bgm_story_backtonormal,black,,,n102,12,delight,
d_nikke_n102_01_15,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_15,False,,1,1,1.0,,,,,,12,delight,
d_nikke_n102_01_16,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_16,False,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_17,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_17,False,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_18,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_18,False,,1,1,1.0,,,,,,2,delight,
d_nikke_n102_01_19,d_nikke_n102_01,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_01_19,False,,1,1,1.0,,,,,,2,delight,
d_nikke_n102_01_20,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_20,False,,1,1,1.0,,,,,,2,delight,
d_nikke_n102_01_21,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_21,False,,1,1,1.0,,,,,,3,delight,
d_nikke_n102_01_22,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_22,False,,1,1,1.0,,,,,,3,delight,
d_nikke_n102_01_23,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_23,False,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_24,d_nikke_n102_01,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_01_24,False,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_25,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_25,False,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_26,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_26,True,,1,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_27,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_27,False,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_28,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_28,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_29,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_29,False,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_30,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_30,False,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_31,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_31,False,,XS_10,XS_10,1.0,,,,,,1,think,
d_nikke_n102_01_32,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_32,False,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_01_33,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_33,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_01_34,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_34,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_01_35,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_35,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_36,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_36,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_37,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_37,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_38,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_38,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_39,d_nikke_n102_01,Choice,n102,,Locale_NikkeEpisode:d_nikke_n102_01_39,False,,XS_10,XS_10,1.0,,,d_nikke_n102_01_41,,,1,delight,
d_nikke_n102_01_40,d_nikke_n102_01,Choice,n102,,Locale_NikkeEpisode:d_nikke_n102_01_40,False,,XS_10,XS_10,1.0,,,d_nikke_n102_01_42,,,1,delight,
d_nikke_n102_01_41,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_41,True,,XS_10,XS_10,1.0,,,d_nikke_n102_01_44,,,1,delight,
d_nikke_n102_01_42,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_42,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_43,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_43,True,,XS_10,XS_10,1.0,,,d_nikke_n102_01_44,,,1,delight,
d_nikke_n102_01_44,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_44,True,,XS_10,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_01_45,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_45,True,,XS_100,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_01_46,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_46,True,,XS_100,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_01_47,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_47,True,,XS_100,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_01_48,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_48,False,,XS_100,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_01_49,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_49,True,,XS_100,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_01_50,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_50,True,,XS_100,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_01_51,d_nikke_n102_01,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_01_51,False,FastFood,black,black,1.0,,,,,,1,delight,n102
d_nikke_n102_01_52,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_52,True,,1,1,1.0,,,,,n102,1,delight,
d_nikke_n102_01_53,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_53,False,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_54,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_54,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_55,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_55,False,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_56,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_56,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_57,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_57,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_58,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_58,True,,1,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_59,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_59,False,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_60,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_60,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_61,d_nikke_n102_01,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_01_61,False,,black,black,1.0,,,,,,1,delight,n102
d_nikke_n102_01_62,d_nikke_n102_01,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_01_62,False,,black,black,1.0,,,,,n102,1,delight,
d_nikke_n102_01_63,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_63,False,,XS_10,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_01_64,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_64,True,,XS_100,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_01_65,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_65,True,,XS_100,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_01_66,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_66,False,,XS_100,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_01_67,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_67,True,,XS_100,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_01_68,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_68,True,,XS_100,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_69,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_69,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_70,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_70,False,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_71,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_71,True,Cafe,black,black,1.0,,,,,,1,delight,
d_nikke_n102_01_72,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_72,True,,1,1,1.0,,,,,,1,idle,
d_nikke_n102_01_73,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_73,True,,1,1,1.0,,,,,,1,idle,
d_nikke_n102_01_74,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_74,False,,1,1,1.0,,,,,,1,idle,
d_nikke_n102_01_75,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_75,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_76,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_76,False,,1,1,1.0,,,,,,1,delight,
