id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,fade,jump_target,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,set_camera_shake,set_filter_01,set_filter_02
d_nikke_biscuit_04_1,d_nikke_biscuit_04,Self,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_04_1,False,biscuit,1,delight,beatrice,3,idle,LivingRoom,17,17,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,,
d_nikke_biscuit_04_2,d_nikke_biscuit_04,Speech,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_04_2,True,,1,delight,,3,idle,,17,XS_10,1.0,,biscuit,,,,,,,,,,,,,,,
d_nikke_biscuit_04_3,d_nikke_biscuit_04,Monologue,beatrice,Locale_NikkeEpisode:d_nikke_biscuit_04_3,False,,1,delight,,3,idle,,beatrice_30,beatrice_30,1.0,,,,,,,,,,,,,,,,,
d_nikke_biscuit_04_4,d_nikke_biscuit_04,Speech,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_04_4,True,,1,idle,,3,idle,,beatrice_30,2,1.0,,biscuit,,,,,,,,,,,,,,,
d_nikke_biscuit_04_5,d_nikke_biscuit_04,Speech,beatrice,Locale_NikkeEpisode:d_nikke_biscuit_04_5,True,,1,idle,,3,idle,,2,2,1.0,,beatrice,sfx_scn_dogbark,,,,,,,,,,,,,,
d_nikke_biscuit_04_6,d_nikke_biscuit_04,Speech,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_04_6,True,,1,sad,,3,idle,,2,2,1.0,,biscuit,,,,,,,,,,,,,,,
d_nikke_biscuit_04_7,d_nikke_biscuit_04,Speech,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_04_7,True,,1,sad,,3,idle,,2,2,1.0,,biscuit,,,,,,,,,,,,,,,
d_nikke_biscuit_04_8,d_nikke_biscuit_04,Self,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_04_8,False,,1,sad,,3,idle,,2,2,1.0,,,,,,,,,,,,,,,,,
d_nikke_biscuit_04_9,d_nikke_biscuit_04,Speech,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_04_9,True,,1,sad,,3,idle,,XS_10,XS_10,1.0,,biscuit,,,,,,,,,,,,,,,
d_nikke_biscuit_04_10,d_nikke_biscuit_04,Speech,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_04_10,False,,1,sad,,3,idle,,XS_10,XS_10,1.0,,biscuit,,,,,,,,,,,,,,,
d_nikke_biscuit_04_11,d_nikke_biscuit_04,Speech,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_04_11,True,,1,idle,,3,idle,,XS_10,XS_10,1.0,,biscuit,,,,,,,,,,,,,,,
d_nikke_biscuit_04_12,d_nikke_biscuit_04,Monologue,beatrice,Locale_NikkeEpisode:d_nikke_biscuit_04_12,False,,1,idle,,3,idle,,beatrice_30,beatrice_30,1.0,,,,,,,,,,,,,,,,,
d_nikke_biscuit_04_13,d_nikke_biscuit_04,Speech,biscuit,Locale_NikkeEpisode:d_nikke_biscuit_04_13,True,,1,delight,,3,idle,,XS_10,2,1.0,,biscuit,,,,,,,,,,,,,,,
