id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_ce006_03_01_1,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_1,True,artcity_d,S_700,S_700,1.0,bgm_story_herecomestrouble,,,,elegg,7,special,,ce006_npc_01,1,surprise,ce006_03,13,no
d_nikke_ce006_03_01_2,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_2,True,,S_700,S_700,1.0,,,,,,7,special,,,1,surprise,,13,no
d_nikke_ce006_03_01_3,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_3,True,,S_700,S_700,1.0,,,,,,7,special,,,1,surprise,,13,no
d_nikke_ce006_03_01_4,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_4,True,,12,12,1.0,,,,,,7,special,,,1,surprise,,13,no
d_nikke_ce006_03_01_5,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_5,True,,12,12,1.0,,,,,,7,special,,,1,surprise,,13,angry
d_nikke_ce006_03_01_6,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_6,True,,S_700,S_70,1.3,,,,,,7,idle,,,1,surprise,,13,angry
d_nikke_ce006_03_01_7,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_7,True,,12,12,1.0,,,,,,7,idle,,,1,surprise,,13,no
d_nikke_ce006_03_01_8,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_8,True,,12,12,1.0,,,,,,7,idle,,,1,surprise,,13,no
d_nikke_ce006_03_01_9,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_9,True,,12,12,1.0,,,,,,7,idle,,,1,surprise,,13,no
d_nikke_ce006_03_01_10,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_10,True,,S_70,S_70,1.0,,,,,,7,idle,,,1,surprise,,13,no
d_nikke_ce006_03_01_11,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_11,True,,S_70,S_70,1.0,,,,,,7,idle,,,1,surprise,,13,no
d_nikke_ce006_03_01_12,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_12,True,,S_70,S_70,1.0,,,,,,7,idle,,,1,surprise,,13,no
d_nikke_ce006_03_01_13,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_13,True,,12,12,1.0,,,,,,7,idle,,,1,surprise,,13,no
