id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target
d_nikke_arcana_03_1,d_nikke_arcana_03,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_1,False,arcana,1,idle,Cafe_n,L_100,L_10,1.3,bgm_story_languor,,
d_nikke_arcana_03_2,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_2,False,,1,idle,,L_10,L_10,1.0,,,
d_nikke_arcana_03_3,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_3,True,,1,idle,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_4,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_4,True,,1,idle,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_5,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_5,True,,1,idle,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_6,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_6,False,,1,idle,,L_10,L_10,1.0,,,
d_nikke_arcana_03_7,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_7,True,,1,idle,,L_10,L_100,1.3,,arcana,
d_nikke_arcana_03_8,d_nikke_arcana_03,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_8,False,,1,idle,,L_100,L_100,1.0,,,
d_nikke_arcana_03_9,d_nikke_arcana_03,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_9,False,,1,idle,,L_100,L_100,1.0,,,
d_nikke_arcana_03_10,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_10,True,,1,idle,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_11,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_11,False,,1,idle,,L_100,L_100,1.0,,,
d_nikke_arcana_03_12,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_12,False,,1,idle,,L_100,L_100,1.0,,,
d_nikke_arcana_03_13,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_13,True,,1,angry,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_14,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_14,True,,1,angry,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_15,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_15,False,,1,angry,,L_100,L_100,1.0,,,
d_nikke_arcana_03_16,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_16,True,,1,idle,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_17,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_17,True,,1,delight,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_18,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_18,True,,1,delight,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_19,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_19,True,,1,idle,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_20,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_20,True,,1,idle,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_21,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_21,False,,1,idle,,L_100,L_100,1.0,,,
d_nikke_arcana_03_22,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_22,True,,1,idle,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_23,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_23,True,,1,idle,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_24,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_24,False,,1,idle,,L_100,L_100,1.0,,,
d_nikke_arcana_03_25,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_25,True,,1,idle,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_26,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_26,True,,1,idle,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_27,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_27,False,,1,idle,,L_100,L_100,1.0,,,
d_nikke_arcana_03_28,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_28,True,,1,think,,L_100,L_10,1.3,none,arcana,
d_nikke_arcana_03_29,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_29,True,,1,think,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_30,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_30,True,,1,surprise,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_31,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_31,True,,1,angry,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_32,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_32,False,,1,angry,,L_10,L_10,1.0,,,
d_nikke_arcana_03_33,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_33,True,,1,idle,,L_10,L_10,1.0,bgm_story_sunshinesorrow,arcana,
d_nikke_arcana_03_34,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_34,False,,1,idle,,L_10,L_10,1.0,,,
d_nikke_arcana_03_35,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_35,True,,1,shy,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_36,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_36,False,,1,shy,,L_10,L_10,1.0,,,
d_nikke_arcana_03_37,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_37,True,,1,idle,,L_10,L_100,1.3,,arcana,
d_nikke_arcana_03_38,d_nikke_arcana_03,Choice,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_38,False,,1,idle,,L_100,L_100,1.0,,,d_nikke_arcana_03_40
d_nikke_arcana_03_39,d_nikke_arcana_03,Choice,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_39,False,,1,idle,,L_100,L_100,1.0,,,d_nikke_arcana_03_42
d_nikke_arcana_03_40,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_40,True,,1,shy,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_41,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_41,False,,1,shy,,L_100,L_100,1.0,,,d_nikke_arcana_03_42
