id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_soda_twinklingbunny_01_1,d_nikke_soda_twinklingbunny_01,Speech,rouge,rouge,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_1,True,CoinRushGameZone,120,120,1.0,bgm_story_tuffguys,,,,rouge,12,idle,,,,,
d_nikke_soda_twinklingbunny_01_2,d_nikke_soda_twinklingbunny_01,Speech,rouge,rouge,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_2,True,,120,120,1.0,,,,,,12,idle,,,,,
d_nikke_soda_twinklingbunny_01_3,d_nikke_soda_twinklingbunny_01,Speech,rouge,rouge,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_3,True,,120,120,1.0,,,,,,12,idle,,,,,
d_nikke_soda_twinklingbunny_01_4,d_nikke_soda_twinklingbunny_01,Speech,rouge,rouge,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_4,True,,120,1200,1.0,,,,,,12,idle,,,,,
d_nikke_soda_twinklingbunny_01_5,d_nikke_soda_twinklingbunny_01,Monologue,,,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_5,False,,1200,1200,1.0,,,,,,12,idle,,,,,
d_nikke_soda_twinklingbunny_01_6,d_nikke_soda_twinklingbunny_01,Monologue,,,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_6,False,,1200,1200,1.0,,,,,,12,idle,,,,,
d_nikke_soda_twinklingbunny_01_7,d_nikke_soda_twinklingbunny_01,Monologue,,,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_7,False,,1200,1200,1.0,,,,,,12,idle,,,,,
d_nikke_soda_twinklingbunny_01_8,d_nikke_soda_twinklingbunny_01,Monologue,,,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_8,False,,black,black,1.0,,,,,,12,idle,,,,,
d_nikke_soda_twinklingbunny_01_9,d_nikke_soda_twinklingbunny_01,Speech,soda_b,soda_b,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_9,True,,2,S_20,0.7,,,,,,12,idle,,soda_b,2,idle,
d_nikke_soda_twinklingbunny_01_10,d_nikke_soda_twinklingbunny_01,Narration,soda_b,,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_10,False,,S_20,S_20,1.0,,Low_1,,,,12,idle,,,2,idle,
d_nikke_soda_twinklingbunny_01_11,d_nikke_soda_twinklingbunny_01,Narration,soda_b,,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_11,False,,S_20,S_20,1.0,,,,,,12,idle,,,2,idle,
d_nikke_soda_twinklingbunny_01_12,d_nikke_soda_twinklingbunny_01,Monologue,soda_b,,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_12,False,,S_20,S_20,1.0,,,,,,12,idle,,,2,idle,
d_nikke_soda_twinklingbunny_01_13,d_nikke_soda_twinklingbunny_01,Monologue,soda_b,,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_13,False,,S_20,S_20,1.0,,,,,,12,idle,,,2,idle,
d_nikke_soda_twinklingbunny_01_14,d_nikke_soda_twinklingbunny_01,Narration,soda_b,,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_14,False,,S_20,S_20,1.0,,,sfx_scn_heavytrip,,,12,idle,,,2,idle,
d_nikke_soda_twinklingbunny_01_15,d_nikke_soda_twinklingbunny_01,Narration,soda_b,,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_15,False,,S_20,S_20,1.0,,,sfx_scn_bottlebreak,,,12,idle,,,2,idle,
d_nikke_soda_twinklingbunny_01_16,d_nikke_soda_twinklingbunny_01,Monologue,soda_b,,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_16,False,,S_20,S_20,1.0,,,,,,12,idle,,,2,idle,
d_nikke_soda_twinklingbunny_01_17,d_nikke_soda_twinklingbunny_01,Speech,soda_b,soda_b,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_17,True,,S_20,S_20,1.0,,,,,,12,idle,,,2,worry,
d_nikke_soda_twinklingbunny_01_18,d_nikke_soda_twinklingbunny_01,Speech,soda_b,soda_b,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_18,True,,S_20,S_200,1.0,,,,,,12,idle,,,2,worry,
d_nikke_soda_twinklingbunny_01_19,d_nikke_soda_twinklingbunny_01,Self,soda_b,,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_19,False,,S_200,S_200,1.0,,,,,,12,idle,,,2,worry,
d_nikke_soda_twinklingbunny_01_20,d_nikke_soda_twinklingbunny_01,Speech,soda_b,soda_b,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_20,True,,S_200,S_200,1.0,,,,,,12,idle,,,2,surprise,
d_nikke_soda_twinklingbunny_01_21,d_nikke_soda_twinklingbunny_01,Speech,soda_b,soda_b,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_21,True,,S_200,S_200,1.0,,,,,,12,idle,,,2,surprise,
d_nikke_soda_twinklingbunny_01_22,d_nikke_soda_twinklingbunny_01,Speech,rouge,rouge,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_22,True,,S_200,1,1.0,,,,,,12,surprise,,,2,surprise,
d_nikke_soda_twinklingbunny_01_23,d_nikke_soda_twinklingbunny_01,Speech,rouge,rouge,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_23,True,,1,1,1.0,,,,,,12,idle,,,2,surprise,
d_nikke_soda_twinklingbunny_01_24,d_nikke_soda_twinklingbunny_01,Speech,rouge,rouge,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_24,True,,1,1,1.0,,,,,,12,idle,,,2,surprise,
d_nikke_soda_twinklingbunny_01_25,d_nikke_soda_twinklingbunny_01,Speech,soda_b,soda_b,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_25,True,,1,1,1.0,,,,,,12,idle,,,2,worry,
d_nikke_soda_twinklingbunny_01_26,d_nikke_soda_twinklingbunny_01,Speech,soda_b,soda_b,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_01_26,True,,1,1,1.0,,,,,,12,idle,,,2,worry,
