id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_object,set_object_position,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
treasurestory_laplace_06_1,treasurestory_laplace_06,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_06_1,True,NikkeRoom,1,S_10,1.0,bgm_story_whosdumber,,,,,laplace,1,idle,
treasurestory_laplace_06_2,treasurestory_laplace_06,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_06_2,True,,S_10,S_10,1.0,,,,,,,1,idle,
treasurestory_laplace_06_3,treasurestory_laplace_06,Monologue,laplace,,Locale_NikkeEpisode:treasurestory_laplace_06_3,False,,S_10,S_40,2.0,,,,,,,1,idle,
treasurestory_laplace_06_4,treasurestory_laplace_06,Self,laplace,,Locale_NikkeEpisode:treasurestory_laplace_06_4,False,,S_40,S_40,1.0,,,,,,,1,idle,
treasurestory_laplace_06_5,treasurestory_laplace_06,Monologue,laplace,,Locale_NikkeEpisode:treasurestory_laplace_06_5,False,,S_40,S_40,1.0,,,,,,,1,idle,
treasurestory_laplace_06_6,treasurestory_laplace_06,Self,laplace,,Locale_NikkeEpisode:treasurestory_laplace_06_6,False,,S_40,S_10,2.0,,,,,,,1,idle,
treasurestory_laplace_06_7,treasurestory_laplace_06,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_06_7,True,,S_10,S_10,1.0,,,,,,,1,shy,
treasurestory_laplace_06_8,treasurestory_laplace_06,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_06_8,True,,S_10,S_10,1.0,,,,,,,1,angry,
treasurestory_laplace_06_9,treasurestory_laplace_06,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_06_9,True,,S_10,S_10,1.0,,,,,,,1,angry,
treasurestory_laplace_06_10,treasurestory_laplace_06,Self,laplace,,Locale_NikkeEpisode:treasurestory_laplace_06_10,False,,S_10,S_10,1.0,,,,,,,1,angry,
treasurestory_laplace_06_11,treasurestory_laplace_06,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_06_11,True,,S_10,S_10,1.0,,,,,,,1,delight,
