id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_nikke_ce_003_03_03_1,d_nikke_ce_003_03_03,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_03_1,True,Park,3,XS_30,1.0,none,,,ce_003_03,5,idle,cocoa,3,idle,,,,,,
d_nikke_ce_003_03_03_2,d_nikke_ce_003_03_03,Speech,glasseswoman_02,glasseswoman_02,Locale_NikkeEpisode:d_nikke_ce_003_03_03_2,True,,XS_30,XS_30,1.0,bgm_enemyclose,,,,5,idle,,3,idle,,,,,,
d_nikke_ce_003_03_03_3,d_nikke_ce_003_03_03,Speech,glasseswoman_02,glasseswoman_02,Locale_NikkeEpisode:d_nikke_ce_003_03_03_3,True,,XS_30,XS_30,1.0,,,,,5,idle,,3,idle,,,,,,
d_nikke_ce_003_03_03_4,d_nikke_ce_003_03_03,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_03_4,True,,XS_30,3,1.0,,,,,5,idle,,3,serious,,,,,,
d_nikke_ce_003_03_03_5,d_nikke_ce_003_03_03,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_03_5,True,,3,3,1.0,,,,,5,idle,,3,serious,,,,,,
d_nikke_ce_003_03_03_6,d_nikke_ce_003_03_03,Speech,glasseswoman_02,glasseswoman_02,Locale_NikkeEpisode:d_nikke_ce_003_03_03_6,True,,3,3,1.0,,,,,5,idle,,3,serious,,,,,,
d_nikke_ce_003_03_03_7,d_nikke_ce_003_03_03,Speech,glasseswoman_02,glasseswoman_02,Locale_NikkeEpisode:d_nikke_ce_003_03_03_7,True,,3,3,1.0,,,,,5,idle,,3,serious,,,,,,
d_nikke_ce_003_03_03_8,d_nikke_ce_003_03_03,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_03_8,True,,3,3,1.0,,,,,5,idle,,3,idle,,,,,,
d_nikke_ce_003_03_03_9,d_nikke_ce_003_03_03,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_03_9,True,,3,XS_30,1.0,,,,,5,idle,,3,idle,,,,,,
d_nikke_ce_003_03_03_10,d_nikke_ce_003_03_03,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_03_10,True,,XS_30,XS_30,1.0,,,,,5,idle,,3,delight,,,,,,
d_nikke_ce_003_03_03_11,d_nikke_ce_003_03_03,Speech,ce_003_03,ce_003_03,Locale_NikkeEpisode:d_nikke_ce_003_03_03_11,True,,XS_30,50,1.0,,,,,5,idle,,3,idle,,,,,,
d_nikke_ce_003_03_03_12,d_nikke_ce_003_03_03,Speech,glasseswoman_02,glasseswoman_02,Locale_NikkeEpisode:d_nikke_ce_003_03_03_12,True,,50,50,1.0,,,,,5,idle,,3,idle,,,,,,
