id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/0/hide_char_id,set_camera_shake,fade,set_filter_01,set_filter_02,conversation_id
d_nikke_poli_05_1,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_1,False,RoyalRoad,6001,1,2.0,none,,,,,,,,,,,,,,,
d_nikke_poli_05_2,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_2,False,,1,1,1.0,,sfx_scn_radiocall,,,,,,,,,,,,,,
d_nikke_poli_05_3,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_3,True,,1,1,1.0,,,poli,poli,1,idle,,,,,,,,,,
d_nikke_poli_05_4,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_4,False,,1,1,1.0,,sfx_scn_radiocallend,,,1,idle,,,,,,,,,,
d_nikke_poli_05_5,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_5,False,,1,1,1.0,,,,,1,idle,miranda_op,OP_leftup,idle,,,,,,,
d_nikke_poli_05_6,d_nikke_poli_05,Speech,miranda_op,Locale_NikkeEpisode:d_nikke_poli_05_6,True,,1,1,1.0,,,miranda,,1,idle,,OP_leftup,idle,,,,,,,
d_nikke_poli_05_7,d_nikke_poli_05,Speech,miranda_op,Locale_NikkeEpisode:d_nikke_poli_05_7,True,,1,1,1.0,,,miranda,,1,idle,,OP_leftup,shy,,,,,,,
d_nikke_poli_05_8,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_8,True,,1,1,1.0,,sfx_scn_dogbark,dogvoice,,1,idle,,OP_leftup,shy,,,,,,,
d_nikke_poli_05_9,d_nikke_poli_05,Speech,miranda_op,Locale_NikkeEpisode:d_nikke_poli_05_9,True,,1,1,1.0,,,miranda,,1,idle,,OP_leftup,shy,,,,,,,
d_nikke_poli_05_10,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_10,True,RoyalRoad,1,XS_10,2.0,,,poli,,1,angry,,OP_leftup,shy,,,,,,,
d_nikke_poli_05_11,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_11,True,,XS_10,XS_10,1.0,,,poli,,1,angry,,OP_leftup,shy,,,,,,,
