id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_filter_01,fade,play_sound,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_centi_02_1,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_1,True,Park,1,L_10,1.0,bgm_story_whosdumber,,,,,,centi,1,angry,,,,,
d_nikke_centi_02_2,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_2,True,,L_10,L_10,1.0,,,,,,,,1,angry,,,,,
d_nikke_centi_02_3,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_3,True,,L_10,L_100,1.0,,,,,,,,1,angry,,,,,
d_nikke_centi_02_4,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_4,True,,L_100,L_100,1.0,,,,,,,,1,angry,,,,,
d_nikke_centi_02_5,d_nikke_centi_02,Choice,centi,,Locale_NikkeEpisode:d_nikke_centi_02_5,False,,L_100,L_100,1.0,,d_nikke_centi_02_8,,,,,,1,angry,,,,,
d_nikke_centi_02_6,d_nikke_centi_02,Choice,centi,,Locale_NikkeEpisode:d_nikke_centi_02_6,False,,L_100,L_100,1.0,,d_nikke_centi_02_7,,,,,,1,angry,,,,,
d_nikke_centi_02_7,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_7,True,,L_100,L_100,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_02_8,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_8,True,OutpostOut,L_100,L_100,1.0,,,Grey,,,,,1,delight,centi,,,,
d_nikke_centi_02_9,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_9,True,,L_10,L_10,1.0,,,Grey,,,,,,,,,,,
d_nikke_centi_02_10,d_nikke_centi_02,Choice,centi,,Locale_NikkeEpisode:d_nikke_centi_02_10,False,,L_10,L_10,1.0,,d_nikke_centi_02_12,Grey,,,,,,,,,,,
d_nikke_centi_02_11,d_nikke_centi_02,Choice,centi,,Locale_NikkeEpisode:d_nikke_centi_02_11,False,,L_10,L_10,1.0,,d_nikke_centi_02_13,Grey,,,,,,,,,,,
d_nikke_centi_02_12,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_12,True,Park,L_10,L_10,1.0,,d_nikke_centi_02_14,,,,,centi,1,delight,,,,,
d_nikke_centi_02_13,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_13,True,Park,L_10,L_10,1.0,,,,,,,centi,1,delight,,,,,
d_nikke_centi_02_14,d_nikke_centi_02,Monologue,centi,Monologue,Locale_NikkeEpisode:d_nikke_centi_02_14,False,,black,black,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_02_15,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_15,True,,L_10,L_100,2.0,,,,,,,,1,idle,,,,,
d_nikke_centi_02_16,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_16,False,,L_100,L_100,1.0,,,,,,,,1,"expression_0,idle",,,,,
d_nikke_centi_02_17,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_17,True,,L_100,L_100,1.0,,,,,,,,1,angry,,,,,
d_nikke_centi_02_18,d_nikke_centi_02,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_02_18,False,,L_100,L_100,1.0,,,,,,,,1,angry,,,,,
d_nikke_centi_02_19,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_19,True,,L_100,L_10,1.0,,,,,,,,1,surprise,,,,,
d_nikke_centi_02_20,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_20,True,,L_10,L_10,1.0,,,,,,,,1,surprise,,,,,
d_nikke_centi_02_21,d_nikke_centi_02,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_02_21,False,,L_10,L_10,1.0,,,,,,,,1,surprise,,,,,
d_nikke_centi_02_22,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_22,True,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,
d_nikke_centi_02_23,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_23,False,,L_10,1,2.0,,,,,,,,1,idle,,,,,
d_nikke_centi_02_24,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_24,True,,1,1,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_02_25,d_nikke_centi_02,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_02_25,False,,1,1,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_02_26,d_nikke_centi_02,Narration,centi,Narration,Locale_NikkeEpisode:d_nikke_centi_02_26,False,Storage,1,1,1.0,none,,,black,,,,1,delight,centi,,,,
d_nikke_centi_02_27,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_27,True,,1,1,1.0,bgm_story_tuffguys,,,,,,centi,1,delight,,,,,
d_nikke_centi_02_28,d_nikke_centi_02,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_02_28,True,,1,1,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_02_29,d_nikke_centi_02,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_02_29,False,,1,1,1.0,,,,,,,,1,delight,,,,,
