id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake
d_nikke_noise_04_1,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_1,True,noise,1,idle,City_d,1,1,1.0,bgm_story_orangepop,,
d_nikke_noise_04_2,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_2,True,,1,idle,,1,1,1.0,,,
d_nikke_noise_04_3,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_3,True,,1,idle,,1,1,1.0,,,
d_nikke_noise_04_4,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_4,False,,1,idle,,1,1,1.0,,,
d_nikke_noise_04_5,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_5,True,,1,idle,,1,1,1.0,,,
d_nikke_noise_04_6,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_6,False,,1,idle,,1,1,1.0,,,
d_nikke_noise_04_7,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_7,False,,1,idle,,1,1,1.0,,,
d_nikke_noise_04_8,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_8,True,,1,idle,,1,10,1.0,,,
d_nikke_noise_04_9,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_9,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_10,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_10,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_11,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_11,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_12,d_nikke_noise_04,Choice,,,Locale_NikkeEpisode:d_nikke_noise_04_12,False,,1,idle,,10,10,1.0,,d_nikke_noise_04_14,
d_nikke_noise_04_13,d_nikke_noise_04,Choice,,,Locale_NikkeEpisode:d_nikke_noise_04_13,False,,1,idle,,10,10,1.0,,d_nikke_noise_04_18,
d_nikke_noise_04_14,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_14,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_15,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_15,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_16,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_16,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_17,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_17,False,,1,idle,,10,10,1.0,,d_nikke_noise_04_18,
d_nikke_noise_04_18,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_18,True,,1,idle,,10,100,1.0,,,
d_nikke_noise_04_19,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_19,True,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_20,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_20,True,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_21,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_21,True,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_22,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_22,True,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_23,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_23,True,,1,idle,,100,100,1.0,,,
