id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_soline_01_1,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_1,True,Station,black,black,1.0,bgm_story_languor,,,,soline,1,idle,
d_nikke_soline_01_2,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_2,True,,1,S_10,1.0,,,,,,1,idle,
d_nikke_soline_01_3,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_3,True,,S_10,S_10,1.0,,,,,,1,angry,
d_nikke_soline_01_4,d_nikke_soline_01,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_01_4,False,,S_10,S_10,1.0,,,,,,1,angry,
d_nikke_soline_01_5,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_5,False,,S_10,S_100,0.5,,,,,,1,pain,
d_nikke_soline_01_6,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_6,True,,S_100,S_10,2.0,,,,,,1,angry,
d_nikke_soline_01_7,d_nikke_soline_01,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_01_7,False,,S_10,S_10,1.0,,,,,,1,angry,
d_nikke_soline_01_8,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_8,True,,S_10,S_10,1.0,,,,,,1,angry,
d_nikke_soline_01_9,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_9,True,,S_10,S_10,1.0,,,,,,1,surprise,
d_nikke_soline_01_10,d_nikke_soline_01,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_01_10,False,,S_10,S_10,1.0,,,,,,1,surprise,
d_nikke_soline_01_11,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_11,True,,S_10,S_100,1.0,,,,,,1,shy,
d_nikke_soline_01_12,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_12,True,,S_100,S_100,1.0,,,,,,1,shy,
d_nikke_soline_01_13,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_13,True,,S_100,S_100,1.0,,,,,,1,surprise,
d_nikke_soline_01_14,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_14,True,,S_100,S_100,1.0,,,,,,1,surprise,
d_nikke_soline_01_15,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_15,True,,S_100,S_100,1.0,,,,,,1,surprise,
d_nikke_soline_01_16,d_nikke_soline_01,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_01_16,False,,S_100,S_100,1.0,,,,,,1,surprise,
d_nikke_soline_01_17,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_17,True,,S_100,S_100,1.0,,,,,,1,angry,
d_nikke_soline_01_18,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_18,True,,S_100,S_10,0.5,,,,,,1,angry,
d_nikke_soline_01_19,d_nikke_soline_01,Narration,soline,,Locale_NikkeEpisode:d_nikke_soline_01_19,False,,S_10,S_10,1.0,,,,,,1,angry,
d_nikke_soline_01_20,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_20,True,,S_10,S_10,1.0,,,,,,1,pain,
d_nikke_soline_01_21,d_nikke_soline_01,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_01_21,False,,S_10,S_10,1.0,,,,,,1,pain,
d_nikke_soline_01_22,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_22,True,,S_10,S_10,1.0,,,,,,1,angry,
d_nikke_soline_01_23,d_nikke_soline_01,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_01_23,True,,S_10,S_10,1.0,,,,,,1,surprise,
