id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,set_filter_01,fade
d_nikke_tia_05_1,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_1,True,tia,2,worry,naga,12,idle,Classroom,2,2,1.0,bgm_story_orangepop,,,
d_nikke_tia_05_2,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_2,True,,2,worry,,12,idle,,2,20,1.0,,,,
d_nikke_tia_05_3,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_3,True,,2,worry,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_4,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_4,True,,2,idle,,12,worry,,20,120,1.0,,,,
d_nikke_tia_05_5,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_5,True,,2,idle,,12,worry,,120,120,1.0,,,,
d_nikke_tia_05_6,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_6,True,,2,idle,,12,worry,,120,120,1.0,,,,
d_nikke_tia_05_7,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_7,False,,2,idle,,12,idle,,black,black,1.0,,,,
d_nikke_tia_05_8,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_8,True,,2,delight,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_9,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_9,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_10,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_10,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_11,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_11,True,,2,sad,,12,idle,,1,1,1.0,,,,
