id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_rosanna_01_1,d_nikke_rosanna_01,Speech,wealthyman,wealthyman,Locale_NikkeEpisode:d_nikke_rosanna_01_1,True,GoodOffice,2,2,1.0,bgm_story_fairytalesend_if,,,rosanna,1,idle,,wealthyman,3,idle,
d_nikke_rosanna_01_2,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_2,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_3,d_nikke_rosanna_01,Speech,wealthyman,wealthyman,Locale_NikkeEpisode:d_nikke_rosanna_01_3,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_4,d_nikke_rosanna_01,Speech,wealthyman,wealthyman,Locale_NikkeEpisode:d_nikke_rosanna_01_4,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_5,d_nikke_rosanna_01,Speech,wealthyman,wealthyman,Locale_NikkeEpisode:d_nikke_rosanna_01_5,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_6,d_nikke_rosanna_01,Speech,wealthyman,wealthyman,Locale_NikkeEpisode:d_nikke_rosanna_01_6,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_7,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_7,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_8,d_nikke_rosanna_01,Speech,wealthyman,wealthyman,Locale_NikkeEpisode:d_nikke_rosanna_01_8,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_9,d_nikke_rosanna_01,Speech,wealthyman,wealthyman,Locale_NikkeEpisode:d_nikke_rosanna_01_9,True,,2,L_30,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_10,d_nikke_rosanna_01,Speech,wealthyman,wealthyman,Locale_NikkeEpisode:d_nikke_rosanna_01_10,True,,L_30,L_30,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_11,d_nikke_rosanna_01,Speech,wealthyman,wealthyman,Locale_NikkeEpisode:d_nikke_rosanna_01_11,True,,L_30,L_30,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_12,d_nikke_rosanna_01,Monologue,,,Locale_NikkeEpisode:d_nikke_rosanna_01_12,False,,L_30,L_300,1.8,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_13,d_nikke_rosanna_01,Speech,wealthyman,wealthyman,Locale_NikkeEpisode:d_nikke_rosanna_01_13,True,,L_300,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_14,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_14,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_15,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_15,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_16,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_16,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_17,d_nikke_rosanna_01,Narration,,,Locale_NikkeEpisode:d_nikke_rosanna_01_17,False,,2,L_30,1.0,,sfx_scn_autodooropen,,,1,idle,,consigliere,3,idle,wealthyman
d_nikke_rosanna_01_18,d_nikke_rosanna_01,Speech,consigliere,consigliere,Locale_NikkeEpisode:d_nikke_rosanna_01_18,True,,L_30,L_30,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_19,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_19,True,,L_30,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_20,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_20,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_21,d_nikke_rosanna_01,Speech,consigliere,consigliere,Locale_NikkeEpisode:d_nikke_rosanna_01_21,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_22,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_22,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_23,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_23,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_24,d_nikke_rosanna_01,Speech,consigliere,consigliere,Locale_NikkeEpisode:d_nikke_rosanna_01_24,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_25,d_nikke_rosanna_01,Narration,,,Locale_NikkeEpisode:d_nikke_rosanna_01_25,False,,2,5,1.0,,sfx_scn_knock,,,1,idle,,,3,idle,
d_nikke_rosanna_01_26,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_26,True,,5,5,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_27,d_nikke_rosanna_01,Narration,,,Locale_NikkeEpisode:d_nikke_rosanna_01_27,False,,5,50,1.0,,sfx_scn_autodooropen,,,1,idle,,,5,idle,
d_nikke_rosanna_01_28,d_nikke_rosanna_01,Speech,consigliere,consigliere,Locale_NikkeEpisode:d_nikke_rosanna_01_28,True,,50,50,1.0,,,,,1,idle,,,5,idle,
d_nikke_rosanna_01_29,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_29,True,,50,50,1.0,,,,,1,idle,,,5,idle,
d_nikke_rosanna_01_30,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_30,False,,50,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_31,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_31,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_32,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_32,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_33,d_nikke_rosanna_01,Speech,consigliere,consigliere,Locale_NikkeEpisode:d_nikke_rosanna_01_33,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_34,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_34,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_35,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_35,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_36,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_36,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_37,d_nikke_rosanna_01,Speech,consigliere,consigliere,Locale_NikkeEpisode:d_nikke_rosanna_01_37,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_38,d_nikke_rosanna_01,Speech,consigliere,consigliere,Locale_NikkeEpisode:d_nikke_rosanna_01_38,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_39,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_39,True,,2,2,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_40,d_nikke_rosanna_01,Speech,consigliere,consigliere,Locale_NikkeEpisode:d_nikke_rosanna_01_40,True,,2,30,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_41,d_nikke_rosanna_01,Speech,consigliere,consigliere,Locale_NikkeEpisode:d_nikke_rosanna_01_41,True,,30,30,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_42,d_nikke_rosanna_01,Speech,consigliere,consigliere,Locale_NikkeEpisode:d_nikke_rosanna_01_42,True,,30,30,1.0,,,,,1,idle,,,3,idle,
d_nikke_rosanna_01_43,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_43,True,,30,2,1.0,,,,,1,angry,,,3,idle,
d_nikke_rosanna_01_44,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_44,True,,2,10,1.0,,,,,1,angry,,,3,idle,
d_nikke_rosanna_01_45,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_45,True,,10,10,1.0,,,,,1,angry,,,3,idle,
d_nikke_rosanna_01_46,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_46,True,,10,10,1.0,,,,,1,angry,,,3,idle,
d_nikke_rosanna_01_47,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_47,True,,10,10,1.0,,,,,1,angry,,,3,idle,
d_nikke_rosanna_01_48,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_48,True,,10,100,2.0,none,,,,1,angry,,,3,idle,
d_nikke_rosanna_01_49,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_49,True,,100,100,1.0,,,,,1,angry,,,3,idle,
d_nikke_rosanna_01_50,d_nikke_rosanna_01,Speech,rosanna,rosanna,Locale_NikkeEpisode:d_nikke_rosanna_01_50,True,,100,1,1.0,bgm_story_crawlinganxiety,,,,1,delight,,,3,idle,
