id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_sound,conversation_id,set_camera_shake
d_nikke_pepper_05_1,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_1,False,pepper,7,idle,Hospital,black,black,1.0,bgm_story_languor,,,,
d_nikke_pepper_05_2,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_2,False,,7,idle,,black,black,1.0,,,,,
d_nikke_pepper_05_3,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_3,False,,7,idle,,black,black,1.0,,,,,
d_nikke_pepper_05_4,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_4,False,,7,idle,,black,black,1.0,,,,,
d_nikke_pepper_05_5,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_5,True,,7,idle,,XS_70,XS_70,1.0,,,,,
d_nikke_pepper_05_6,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_6,False,,7,idle,,XS_70,XS_70,1.0,,,,,
d_nikke_pepper_05_7,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_7,False,,7,idle,,XS_70,XS_70,1.0,,,,,
d_nikke_pepper_05_8,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_8,True,,7,idle,,XS_70,XS_70,1.0,,,,,
d_nikke_pepper_05_9,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_9,False,,7,idle,,XS_70,XS_70,1.0,,,,,
d_nikke_pepper_05_10,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_10,False,,7,shy,,XS_70,XS_700,1.0,,,,,
d_nikke_pepper_05_11,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_11,False,,7,shy,,XS_700,XS_700,1.0,,,,,
d_nikke_pepper_05_12,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_12,True,,7,special,,XS_700,XS_700,1.0,,,,,
d_nikke_pepper_05_13,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_13,False,,7,special,,XS_700,XS_700,1.0,,,,,
