id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_cinderella_03_1,d_nikke_cinderella_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_cinderella_03_1,False,ArkCleanIndoor,17,170,1.0,sfx_scn_soup,none,,,cinderella,3,idle,,,,
d_nikke_cinderella_03_2,d_nikke_cinderella_03,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_03_2,True,,S_30,S_30,1.0,,bgm_story_languor,cinderella,,,3,angry,,,,
d_nikke_cinderella_03_3,d_nikke_cinderella_03,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_03_3,True,,S_30,S_30,1.0,,,cinderella,,,3,angry,,,,
d_nikke_cinderella_03_4,d_nikke_cinderella_03,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_03_4,True,,S_30,S_30,1.0,,,cinderella,,,3,angry,,,,
d_nikke_cinderella_03_5,d_nikke_cinderella_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_cinderella_03_5,False,,17,170,1.0,sfx_scn_cake_powderfalls,,,,,3,idle,,,,
d_nikke_cinderella_03_6,d_nikke_cinderella_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_cinderella_03_6,False,,170,170,1.0,,,,,,3,idle,,,,
d_nikke_cinderella_03_7,d_nikke_cinderella_03,Self,Self,Locale_NikkeEpisode:d_nikke_cinderella_03_7,False,,170,17,1.0,,,,,,3,idle,,,,
d_nikke_cinderella_03_8,d_nikke_cinderella_03,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_03_8,True,,S_30,S_30,1.0,,,cinderella,,,3,surprise,,,,
d_nikke_cinderella_03_9,d_nikke_cinderella_03,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_03_9,True,,S_30,S_30,1.0,,,cinderella,,,3,surprise,,,,
d_nikke_cinderella_03_10,d_nikke_cinderella_03,Self,Self,Locale_NikkeEpisode:d_nikke_cinderella_03_10,False,,S_30,S_30,1.0,,,,,,3,surprise,,,,
d_nikke_cinderella_03_11,d_nikke_cinderella_03,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_03_11,True,,S_30,S_30,1.0,,,cinderella,,,3,angry,,,,
d_nikke_cinderella_03_12,d_nikke_cinderella_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_cinderella_03_12,False,,S_30,S_300,1.0,sfx_scn_swallow,,,,,3,angry,,,,
