id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,characters/0/hide_char_id,effects/0/stop_effect_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,conversation_id,set_camera_shake,set_filter_01
d_nikke_miranda_02_1,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_1,False,none,S_10,S_10,1.0,none,,,,,,,,,,,,,,,,
d_nikke_miranda_02_2,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_2,True,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,
d_nikke_miranda_02_3,d_nikke_miranda_02,Narration,miranda,,Locale_NikkeEpisode:d_nikke_miranda_02_3,False,Police,S_10,S_10,1.0,bgm_story_leisuretime,miranda,1,idle,fx_Eventscene_camera_recording,rec,True,,,,,,,,,,
d_nikke_miranda_02_4,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_4,True,,S_10,S_10,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_5,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_5,True,,S_10,S_10,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_6,d_nikke_miranda_02,Self,miranda,,Locale_NikkeEpisode:d_nikke_miranda_02_6,False,,S_10,S_10,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_7,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_7,True,,S_10,S_100,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_8,d_nikke_miranda_02,Narration,miranda,,Locale_NikkeEpisode:d_nikke_miranda_02_8,False,none,black,black,1.0,,,1,idle,,,,miranda,fx_Eventscene_camera_recording,,,,,,,,
d_nikke_miranda_02_9,d_nikke_miranda_02,Narration,miranda,,Locale_NikkeEpisode:d_nikke_miranda_02_9,False,City_d,S_10,S_10,1.0,,miranda,1,idle,fx_Eventscene_camera_recording,rec,True,,,,,,,,,,
d_nikke_miranda_02_10,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_10,True,,S_10,S_10,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_11,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_11,True,,S_10,S_10,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_12,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_12,True,,S_10,S_100,0.5,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_13,d_nikke_miranda_02,Speech,miranda,staff,Locale_NikkeEpisode:d_nikke_miranda_02_13,False,,S_100,S_100,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_14,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_14,True,,S_100,S_10,0.5,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_15,d_nikke_miranda_02,Narration,miranda,,Locale_NikkeEpisode:d_nikke_miranda_02_15,False,,black,black,1.0,none,,1,idle,,,,,fx_Eventscene_camera_recording,sfx_scn_whistle,,,,,,,
d_nikke_miranda_02_16,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_16,True,,S_10,S_10,1.0,,,1,idle,fx_Eventscene_camera_recording,rec,True,,,,,,,,,,
d_nikke_miranda_02_17,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_17,True,,S_10,S_100,0.5,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_18,d_nikke_miranda_02,Narration,miranda,,Locale_NikkeEpisode:d_nikke_miranda_02_18,False,,S_100,S_10,0.5,bgm_story_whosdumber,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_19,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_19,True,,S_10,S_10,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_20,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_20,True,,S_10,S_10,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_21,d_nikke_miranda_02,Narration,miranda,,Locale_NikkeEpisode:d_nikke_miranda_02_21,False,,S_10,1,0.5,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_22,d_nikke_miranda_02,Self,miranda,,Locale_NikkeEpisode:d_nikke_miranda_02_22,False,,1,1,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_23,d_nikke_miranda_02,Narration,miranda,,Locale_NikkeEpisode:d_nikke_miranda_02_23,False,none,black,black,1.0,,,1,idle,,,,miranda,fx_Eventscene_camera_recording,,,,,,,,
d_nikke_miranda_02_24,d_nikke_miranda_02,Narration,miranda,,Locale_NikkeEpisode:d_nikke_miranda_02_24,False,Park,S_10,S_10,1.0,,miranda,1,idle,fx_Eventscene_camera_recording,rec,True,,,,,,,,,,
d_nikke_miranda_02_25,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_25,True,,S_10,S_100,0.5,,,1,angry,,,,,,,,,,,,,
d_nikke_miranda_02_26,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_26,True,,S_100,S_100,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_27,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_27,True,,S_100,S_100,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_28,d_nikke_miranda_02,Speech,miranda,child01,Locale_NikkeEpisode:d_nikke_miranda_02_28,False,,S_100,S_100,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_29,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_29,True,,S_100,S_10,2.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_30,d_nikke_miranda_02,Speech,miranda,child01,Locale_NikkeEpisode:d_nikke_miranda_02_30,False,,S_10,S_10,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_31,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_31,True,,S_10,S_10,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_32,d_nikke_miranda_02,Speech,miranda,child01,Locale_NikkeEpisode:d_nikke_miranda_02_32,False,,S_10,S_10,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_33,d_nikke_miranda_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_miranda_02_33,True,,S_10,S_10,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_miranda_02_34,d_nikke_miranda_02,Speech,miranda,child01,Locale_NikkeEpisode:d_nikke_miranda_02_34,False,,S_10,1,0.5,,,1,idle,,,,,,,,,,,,,
