id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,fade
d_nikke_d_killerwife_04_1,d_nikke_d_killerwife_04,Narration,Locale_NikkeEpisode:d_nikke_d_killerwife_04_1,True,Hotel,black,black,1.0,sfx_scn_smallalarm,none,,,,,,,
d_nikke_d_killerwife_04_2,d_nikke_d_killerwife_04,Monologue,Locale_NikkeEpisode:d_nikke_d_killerwife_04_2,True,,black,black,1.0,,,,,,,,,
d_nikke_d_killerwife_04_3,d_nikke_d_killerwife_04,Monologue,Locale_NikkeEpisode:d_nikke_d_killerwife_04_3,True,,13,13,1.0,,,,,,,,,
d_nikke_d_killerwife_04_4,d_nikke_d_killerwife_04,Self,Locale_NikkeEpisode:d_nikke_d_killerwife_04_4,True,,13,13,1.0,,,,,,,,,
d_nikke_d_killerwife_04_5,d_nikke_d_killerwife_04,Monologue,Locale_NikkeEpisode:d_nikke_d_killerwife_04_5,True,,13,130,2.0,,,,,,,,,
d_nikke_d_killerwife_04_6,d_nikke_d_killerwife_04,Monologue,Locale_NikkeEpisode:d_nikke_d_killerwife_04_6,True,,130,130,1.0,,,,,,,,,
d_nikke_d_killerwife_04_7,d_nikke_d_killerwife_04,Speech,Locale_NikkeEpisode:d_nikke_d_killerwife_04_7,True,,black,black,1.0,,,d_w,d_w,d_w,1,good,,
d_nikke_d_killerwife_04_8,d_nikke_d_killerwife_04,Speech,Locale_NikkeEpisode:d_nikke_d_killerwife_04_8,True,,130,10,1.0,,,d_w,d_w,,1,good,,
d_nikke_d_killerwife_04_9,d_nikke_d_killerwife_04,Monologue,Locale_NikkeEpisode:d_nikke_d_killerwife_04_9,True,,10,10,1.0,,,d_w,,,1,good,,
d_nikke_d_killerwife_04_10,d_nikke_d_killerwife_04,Speech,Locale_NikkeEpisode:d_nikke_d_killerwife_04_10,True,,10,10,1.0,,,d_w,d_w,,1,idle,,
d_nikke_d_killerwife_04_11,d_nikke_d_killerwife_04,Monologue,Locale_NikkeEpisode:d_nikke_d_killerwife_04_11,True,,10,10,1.0,,,d_w,,,1,idle,,
d_nikke_d_killerwife_04_12,d_nikke_d_killerwife_04,Monologue,Locale_NikkeEpisode:d_nikke_d_killerwife_04_12,True,,10,10,1.0,,,d_w,,,1,idle,,
d_nikke_d_killerwife_04_13,d_nikke_d_killerwife_04,Speech,Locale_NikkeEpisode:d_nikke_d_killerwife_04_13,True,,10,10,1.0,,,d_w,d_w,,1,idle,,
d_nikke_d_killerwife_04_14,d_nikke_d_killerwife_04,Speech,Locale_NikkeEpisode:d_nikke_d_killerwife_04_14,True,,10,10,1.0,,,d_w,d_w,,1,good,,
d_nikke_d_killerwife_04_15,d_nikke_d_killerwife_04,Monologue,Locale_NikkeEpisode:d_nikke_d_killerwife_04_15,True,,10,10,1.0,,,d_w,,,1,good,,
d_nikke_d_killerwife_04_16,d_nikke_d_killerwife_04,Self,Locale_NikkeEpisode:d_nikke_d_killerwife_04_16,True,,10,10,1.0,,,d_w,,,1,good,,
d_nikke_d_killerwife_04_17,d_nikke_d_killerwife_04,Monologue,Locale_NikkeEpisode:d_nikke_d_killerwife_04_17,True,,black,black,1.0,,bgm_story_orangepop,d_w,,,1,idle,,
d_nikke_d_killerwife_04_18,d_nikke_d_killerwife_04,Choice,Locale_NikkeEpisode:d_nikke_d_killerwife_04_18,True,,10,10,1.0,,,d_w,,,1,idle,d_nikke_d_killerwife_04_20,
d_nikke_d_killerwife_04_19,d_nikke_d_killerwife_04,Choice,Locale_NikkeEpisode:d_nikke_d_killerwife_04_19,True,,10,10,1.0,,,d_w,,,1,idle,d_nikke_d_killerwife_04_20,
