id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01
d_nikke_crown_03_1,d_nikke_crown_03,Speech,chime,chime,Locale_NikkeEpisode:d_nikke_crown_03_1,True,anis,7,idle,neon,5,idle,chime,3,idle,crown,1,idle,Desert_02,XXS_30,XXS_30,1.0,none,
d_nikke_crown_03_2,d_nikke_crown_03,Speech,chime,chime,Locale_NikkeEpisode:d_nikke_crown_03_2,True,,7,idle,,5,idle,,3,idle,,1,idle,,XXS_30,XXS_30,1.0,bgm_story_backtonormal,
d_nikke_crown_03_3,d_nikke_crown_03,Speech,chime,chime,Locale_NikkeEpisode:d_nikke_crown_03_3,True,,7,idle,,5,idle,,3,idle,,1,idle,,XXS_30,XXS_30,1.0,,
d_nikke_crown_03_4,d_nikke_crown_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_crown_03_4,True,,7,idle,,5,idle,,3,idle,,1,idle,,6,6,1.0,,
d_nikke_crown_03_5,d_nikke_crown_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_crown_03_5,True,,7,void,,5,idle,,3,idle,,1,idle,,6,6,1.0,,
d_nikke_crown_03_6,d_nikke_crown_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_crown_03_6,True,,7,void,,5,idle,,3,idle,,1,idle,,6,6,1.0,,
d_nikke_crown_03_7,d_nikke_crown_03,Speech,chime,chime,Locale_NikkeEpisode:d_nikke_crown_03_7,True,,7,void,,5,idle,,3,angry,,1,idle,,XXS_30,XXS_30,1.0,,
d_nikke_crown_03_8,d_nikke_crown_03,Self,chime,,Locale_NikkeEpisode:d_nikke_crown_03_8,False,,7,idle,,5,idle,,3,angry,,1,idle,,XXS_30,XXS_30,1.0,,
d_nikke_crown_03_9,d_nikke_crown_03,Speech,crown,crown,Locale_NikkeEpisode:d_nikke_crown_03_9,True,,7,idle,,5,idle,,3,idle,,1,idle,,10,10,1.0,,
d_nikke_crown_03_10,d_nikke_crown_03,Speech,crown,crown,Locale_NikkeEpisode:d_nikke_crown_03_10,True,,7,idle,,5,idle,,3,idle,,1,idle,,10,10,1.0,,
d_nikke_crown_03_11,d_nikke_crown_03,Speech,crown,crown,Locale_NikkeEpisode:d_nikke_crown_03_11,True,,7,idle,,5,idle,,3,idle,,1,idle,,10,10,1.0,,
d_nikke_crown_03_12,d_nikke_crown_03,Self,crown,,Locale_NikkeEpisode:d_nikke_crown_03_12,False,,7,idle,,5,idle,,3,idle,,1,idle,,10,10,1.0,,
d_nikke_crown_03_13,d_nikke_crown_03,Speech,chime,chime,Locale_NikkeEpisode:d_nikke_crown_03_13,True,,7,idle,,5,idle,,3,smile,,1,idle,,XXS_30,XXS_30,1.0,,
d_nikke_crown_03_14,d_nikke_crown_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_crown_03_14,True,,7,idle,,5,idle,,3,smile,,1,idle,,XXS_30,XXS_30,1.0,,
d_nikke_crown_03_15,d_nikke_crown_03,Speech,chime,chime,Locale_NikkeEpisode:d_nikke_crown_03_15,True,,7,idle,,5,idle,,3,angry,,1,idle,,XXS_30,XXS_30,1.0,,
d_nikke_crown_03_16,d_nikke_crown_03,Speech,chime,chime,Locale_NikkeEpisode:d_nikke_crown_03_16,True,,7,idle,,5,idle,,3,idle,,1,idle,,XXS_30,2,1.0,,
d_nikke_crown_03_17,d_nikke_crown_03,Self,chime,,Locale_NikkeEpisode:d_nikke_crown_03_17,False,,7,idle,,5,idle,,3,idle,,1,idle,,2,2,1.0,,
d_nikke_crown_03_18,d_nikke_crown_03,Speech,crown,crown,Locale_NikkeEpisode:d_nikke_crown_03_18,True,,7,idle,,5,idle,,3,idle,,1,idle,,2,2,1.0,,
d_nikke_crown_03_19,d_nikke_crown_03,Speech,crown,crown,Locale_NikkeEpisode:d_nikke_crown_03_19,True,,7,idle,,5,idle,,3,idle,,1,idle,CrownCastleFrontYard_d,2,17,1.0,,Vignetting
d_nikke_crown_03_20,d_nikke_crown_03,Speech,crown,crown,Locale_NikkeEpisode:d_nikke_crown_03_20,True,,7,idle,,5,idle,,3,idle,,1,idle,,17,17,1.0,,Vignetting
d_nikke_crown_03_21,d_nikke_crown_03,Speech,crown,crown,Locale_NikkeEpisode:d_nikke_crown_03_21,True,,7,idle,,5,idle,,3,idle,,1,idle,,17,17,1.0,,Vignetting
d_nikke_crown_03_22,d_nikke_crown_03,Speech,crown,crown,Locale_NikkeEpisode:d_nikke_crown_03_22,True,,7,idle,,5,idle,,3,idle,,1,idle,,17,17,1.0,,Vignetting
d_nikke_crown_03_23,d_nikke_crown_03,Speech,crown,crown,Locale_NikkeEpisode:d_nikke_crown_03_23,True,,7,idle,,5,idle,,3,idle,,1,idle,,17,17,1.0,,Vignetting
d_nikke_crown_03_24,d_nikke_crown_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_crown_03_24,True,,7,idle,,5,surprise,,3,idle,,1,idle,,17,17,1.0,,Vignetting
d_nikke_crown_03_25,d_nikke_crown_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_crown_03_25,True,,7,idle,,5,surprise,,3,idle,,1,idle,,17,17,1.0,,Vignetting
d_nikke_crown_03_26,d_nikke_crown_03,Speech,chime,chime,Locale_NikkeEpisode:d_nikke_crown_03_26,True,,7,idle,,5,surprise,,3,idle,,1,idle,,17,17,1.0,,Vignetting
d_nikke_crown_03_27,d_nikke_crown_03,Speech,chime,chime,Locale_NikkeEpisode:d_nikke_crown_03_27,True,,7,idle,,5,surprise,,3,idle,,1,idle,,17,17,1.0,,Vignetting
d_nikke_crown_03_28,d_nikke_crown_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_crown_03_28,True,,7,idle,,5,surprise,,3,idle,,1,idle,,17,17,1.0,,Vignetting
d_nikke_crown_03_29,d_nikke_crown_03,Speech,crown,crown,Locale_NikkeEpisode:d_nikke_crown_03_29,True,,7,idle,,5,surprise,,3,idle,,1,idle,CrownCastleDiningRoom_d,17,19,1.0,,Vignetting
d_nikke_crown_03_30,d_nikke_crown_03,Speech,crown,crown,Locale_NikkeEpisode:d_nikke_crown_03_30,True,,7,idle,,5,surprise,,3,idle,,1,idle,,19,19,1.0,,Vignetting
d_nikke_crown_03_31,d_nikke_crown_03,Speech,crown,crown,Locale_NikkeEpisode:d_nikke_crown_03_31,True,,7,idle,,5,surprise,,3,idle,,1,idle,,19,19,1.0,,Vignetting
d_nikke_crown_03_32,d_nikke_crown_03,Self,crown,,Locale_NikkeEpisode:d_nikke_crown_03_32,False,,7,void,,5,surprise,,3,idle,,1,idle,,19,19,1.0,,Vignetting
d_nikke_crown_03_33,d_nikke_crown_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_crown_03_33,True,,7,void,,5,surprise,,3,idle,,1,idle,,19,19,1.0,,Vignetting
