id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/0/hide_char_id,set_camera_shake
d_nikke_tia_02_1,d_nikke_tia_02,Narration,Narration,Locale_NikkeEpisode:d_nikke_tia_02_1,False,MaidCafe,black,black,1.0,sfx_scn_toyshopbell,none,,,,,,,,,,,,,,,,,,,,,,
d_nikke_tia_02_2,d_nikke_tia_02,Speech,ade,Locale_NikkeEpisode:d_nikke_tia_02_2,True,,14,14,1.0,,bgm_story_orangepop,ade,tia,3,idle,ade,13,idle,soda,15,idle,,,,,,,,,,,,
d_nikke_tia_02_3,d_nikke_tia_02,Speech,soda,Locale_NikkeEpisode:d_nikke_tia_02_3,True,,14,14,1.0,,,soda,,3,idle,,13,idle,,15,idle,,,,,,,,,,,,
d_nikke_tia_02_4,d_nikke_tia_02,Narration,Narration,Locale_NikkeEpisode:d_nikke_tia_02_4,False,,black,black,1.0,,,,,3,idle,,13,idle,,15,idle,cocoa,14,idle,,,,,,,,,
d_nikke_tia_02_5,d_nikke_tia_02,Speech,cocoa,Locale_NikkeEpisode:d_nikke_tia_02_5,True,,2,2,1.0,,,cocoa,,3,idle,,13,idle,,15,idle,,1,delight,,,,,,,,,
d_nikke_tia_02_6,d_nikke_tia_02,Speech,cocoa,Locale_NikkeEpisode:d_nikke_tia_02_6,True,,2,2,1.0,,,cocoa,,3,idle,,13,idle,,15,idle,,1,delight,,,,,,,,,
d_nikke_tia_02_7,d_nikke_tia_02,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_02_7,True,,2,2,1.0,,,tia,,3,delight,,13,idle,,15,idle,,1,delight,,,,,,,,,
d_nikke_tia_02_8,d_nikke_tia_02,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_02_8,True,,2,2,1.0,,,tia,,3,idle,,13,idle,,15,idle,,1,idle,,,,,,,,,
d_nikke_tia_02_9,d_nikke_tia_02,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_02_9,True,,2,2,1.0,,,tia,,3,idle,,13,idle,,15,idle,,1,idle,,,,,,,,,
d_nikke_tia_02_10,d_nikke_tia_02,Self,Self,Locale_NikkeEpisode:d_nikke_tia_02_10,False,,2,2,1.0,,,,,3,idle,,13,idle,,15,idle,,1,idle,,,,,,,,,
d_nikke_tia_02_11,d_nikke_tia_02,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_02_11,True,,2,3,1.0,,,tia,,3,idle,,13,idle,,15,idle,,1,idle,,,,,,,,,
d_nikke_tia_02_12,d_nikke_tia_02,Self,Self,Locale_NikkeEpisode:d_nikke_tia_02_12,False,,3,3,1.0,,,,,3,idle,,13,idle,,15,idle,,1,idle,,,,,,,,,
d_nikke_tia_02_13,d_nikke_tia_02,Self,Self,Locale_NikkeEpisode:d_nikke_tia_02_13,False,,3,3,1.0,,,,,3,idle,,13,idle,,15,idle,,1,idle,,,,,,,,,
d_nikke_tia_02_14,d_nikke_tia_02,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_02_14,True,,3,30,1.0,,,tia,,3,delight,,13,idle,,15,idle,,1,idle,,,,,,,,,
d_nikke_tia_02_15,d_nikke_tia_02,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_02_15,True,,30,30,1.0,,,tia,,3,delight,,13,idle,,15,idle,,1,idle,,,,,,,,,
d_nikke_tia_02_16,d_nikke_tia_02,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_02_16,True,,30,30,1.0,,,tia,,3,delight,,13,idle,,15,idle,,1,idle,,,,,,,,,
d_nikke_tia_02_17,d_nikke_tia_02,Speech,ade,Locale_NikkeEpisode:d_nikke_tia_02_17,True,,12,12,1.0,,,ade,,3,idle,,13,idle,,15,idle,,1,idle,,,,,,,,,
d_nikke_tia_02_18,d_nikke_tia_02,Speech,cocoa,Locale_NikkeEpisode:d_nikke_tia_02_18,True,,12,12,1.0,,,cocoa,,3,idle,,13,idle,,15,idle,,1,serious,,,,,,,,,
d_nikke_tia_02_19,d_nikke_tia_02,Speech,cocoa,Locale_NikkeEpisode:d_nikke_tia_02_19,True,,12,12,1.0,,,cocoa,,3,idle,,13,idle,,15,idle,,1,serious,,,,,,,,,
d_nikke_tia_02_20,d_nikke_tia_02,Speech,ade,Locale_NikkeEpisode:d_nikke_tia_02_20,True,,12,12,1.0,,,ade,,3,idle,,13,idle,,15,idle,,1,serious,,,,,,,,,
d_nikke_tia_02_21,d_nikke_tia_02,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_02_21,True,,12,2,1.0,,,tia,,3,idle,,13,idle,,15,idle,,1,idle,,,,,,,,,
d_nikke_tia_02_22,d_nikke_tia_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_02_22,False,,black,black,1.0,,,,,3,idle,,13,idle,,15,idle,,1,idle,,,,,,,,,
d_nikke_tia_02_23,d_nikke_tia_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_02_23,False,,black,black,1.0,,,,,3,idle,,13,idle,,15,idle,,1,idle,,,,,,,,,
d_nikke_tia_02_24,d_nikke_tia_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_02_24,False,,3,30,1.0,,,,,3,idle,,13,idle,,15,idle,,1,idle,,,,,,,,,
