id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,conversation_id,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,set_filter_01,set_camera_shake,jump_target,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
d_nikke_vesti_05_1,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_1,False,CommanderRoom,m_nikke_vesti_05,1,1,1.0,sfx_scn_phonevibration,bgm_story_breakaway,,,,,,,,,,,,,,,,,
d_nikke_vesti_05_2,d_nikke_vesti_05,Monologue,Locale_NikkeEpisode:d_nikke_vesti_05_2,False,,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_vesti_05_3,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_3,False,NikkeCorridor,,black,black,1.0,,none,,,,,,,,,,,,,,,,,
d_nikke_vesti_05_4,d_nikke_vesti_05,Speech,Locale_NikkeEpisode:d_nikke_vesti_05_4,True,,,1,1,1.0,,bgm_story_epicjazzymoods,eunhwa,eunhwa,eunhwa,1,angry,,,,,,,,,,,,
d_nikke_vesti_05_5,d_nikke_vesti_05,Speech,Locale_NikkeEpisode:d_nikke_vesti_05_5,True,,,1,1,1.0,,,eunhwa,eunhwa,,1,angry,,,,,,,,,,,,
d_nikke_vesti_05_6,d_nikke_vesti_05,Speech,Locale_NikkeEpisode:d_nikke_vesti_05_6,True,,,1,1,1.0,,,eunhwa,eunhwa,,1,idle,,,,,,,,,,,,
d_nikke_vesti_05_7,d_nikke_vesti_05,Speech,Locale_NikkeEpisode:d_nikke_vesti_05_7,True,,,1,1,1.0,,,eunhwa,eunhwa,,1,idle,,,,,,,,,,,,
d_nikke_vesti_05_8,d_nikke_vesti_05,Speech,Locale_NikkeEpisode:d_nikke_vesti_05_8,True,,,1,1,1.0,,,eunhwa,eunhwa,,1,idle,,,,,,,,,,,,
d_nikke_vesti_05_9,d_nikke_vesti_05,Speech,Locale_NikkeEpisode:d_nikke_vesti_05_9,True,,,1,1,1.0,,,eunhwa,eunhwa,,1,idle,,,,,,,,,,,,
d_nikke_vesti_05_10,d_nikke_vesti_05,Self,Locale_NikkeEpisode:d_nikke_vesti_05_10,False,,,1,1,1.0,,,eunhwa,,,1,idle,,,,,,,,,,,,
d_nikke_vesti_05_11,d_nikke_vesti_05,Speech,Locale_NikkeEpisode:d_nikke_vesti_05_11,True,,,1,1,0.5,,,eunhwa,eunhwa,,1,idle,,,,,,,,,,,,
d_nikke_vesti_05_12,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_12,False,,,1,15,1.0,,,eunhwa,,,1,idle,eunhwa,,,,,,,,,,,
d_nikke_vesti_05_13,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_13,False,,,15,15,1.0,,,eunhwa,,,,,,,,,,,,,,,,
d_nikke_vesti_05_14,d_nikke_vesti_05,Self,Locale_NikkeEpisode:d_nikke_vesti_05_14,False,,,15,150,1.0,sfx_scn_knock,,eunhwa,,,,,,,,,,,,,,,,
d_nikke_vesti_05_15,d_nikke_vesti_05,Speech,Locale_NikkeEpisode:d_nikke_vesti_05_15,True,,,150,15,1.0,,,vesti,vesti,,,,,,,,,,,,,,,
d_nikke_vesti_05_16,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_16,False,NikkeRoom,,15,17,1.0,sfx_scn_autodooropen,,vesti,,,,,,,,,,,,,,,,
d_nikke_vesti_05_17,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_17,False,,,17,17,1.5,,,vesti,,,,,,,,,,,,,,,,
d_nikke_vesti_05_18,d_nikke_vesti_05,Speech,Locale_NikkeEpisode:d_nikke_vesti_05_18,True,,,17,17,1.0,,,vesti,vesti,,,,,,,,,,,,,,,
d_nikke_vesti_05_19,d_nikke_vesti_05,Speech,Locale_NikkeEpisode:d_nikke_vesti_05_19,True,,,17,17,1.0,,,vesti,vesti,,,,,,,,,,,,,,,
d_nikke_vesti_05_20,d_nikke_vesti_05,Speech,Locale_NikkeEpisode:d_nikke_vesti_05_20,True,,,17,17,1.0,,,vesti,vesti,,,,,,,,,,,,,,,
d_nikke_vesti_05_21,d_nikke_vesti_05,Self,Locale_NikkeEpisode:d_nikke_vesti_05_21,False,,,17,17,1.0,,,vesti,,,,,,,,,,,,,,,,
d_nikke_vesti_05_22,d_nikke_vesti_05,Monologue,Locale_NikkeEpisode:d_nikke_vesti_05_22,False,,,17,170,0.5,,,vesti,,,,,,,,,,,,,,,,
d_nikke_vesti_05_23,d_nikke_vesti_05,Monologue,Locale_NikkeEpisode:d_nikke_vesti_05_23,False,,,170,170,1.0,,none,vesti,,,,,,,,,,,,,,,,
d_nikke_vesti_05_24,d_nikke_vesti_05,Monologue,Locale_NikkeEpisode:d_nikke_vesti_05_24,False,,,170,170,1.0,,,vesti,,,,,,,,,,,,,,,,
d_nikke_vesti_05_25,d_nikke_vesti_05,Self,Locale_NikkeEpisode:d_nikke_vesti_05_25,False,,,170,170,1.0,,,vesti,,,,,,,,,,,,,,,,
d_nikke_vesti_05_26,d_nikke_vesti_05,Monologue,Locale_NikkeEpisode:d_nikke_vesti_05_26,False,,,170,1700,0.5,,,vesti,,,,,,,,,,,,,,,,
d_nikke_vesti_05_27,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_27,False,,,1700,1700,1.0,,bgm_story_shapeofhope,vesti,,,,,,,,,,,,,,,,
d_nikke_vesti_05_28,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_28,False,RoyalRoad,,1700,1700,1.0,,,vesti,,,,,,Grey,,,,,,,,,,
d_nikke_vesti_05_29,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_29,False,,,1700,1700,1.0,,,vesti,,,,,,Grey,,,,,,,,,,
d_nikke_vesti_05_30,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_30,False,,,1700,1700,1.0,,,vesti,,,,,,Grey,,,,,,,,,,
d_nikke_vesti_05_31,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_31,False,,,1700,170,1.0,,,vesti,,,,,,Grey,,,,,,,,,,
d_nikke_vesti_05_32,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_32,False,,,170,170,1.0,,,vesti,,,,,,Grey,,,,,,,,,,
d_nikke_vesti_05_33,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_33,False,,,170,170,1.0,,,vesti,,,,,,Grey,,,,,,,,,,
d_nikke_vesti_05_34,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_34,False,,,170,170,1.0,,,vesti,,,,,,Grey,,,,,,,,,,
d_nikke_vesti_05_35,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_35,False,,,170,170,1.0,,,vesti,,,,,,Grey,,,,,,,,,,
d_nikke_vesti_05_36,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_36,False,,,170,170,1.0,,,vesti,,,,,,Grey,,,,,,,,,,
d_nikke_vesti_05_37,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_37,False,,,170,170,1.0,,,vesti,,,,,,Grey,,,,,,,,,,
d_nikke_vesti_05_38,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_38,False,,,170,170,1.0,,,vesti,,,,,,Grey,,,,,,,,,,
d_nikke_vesti_05_39,d_nikke_vesti_05,Narration,Locale_NikkeEpisode:d_nikke_vesti_05_39,False,,,170,170,1.0,,,vesti,,,,,,Grey,,,,,,,,,,
