id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_rei_04_1,d_nikke_rei_04,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_04_1,True,SchoolCorridor,1,1,1.0,bgm_story_orangepop,,,,rei,1,idle,,,,,,,
d_nikke_rei_04_2,d_nikke_rei_04,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_04_2,True,,1,XS_10,1.0,,,,,,1,idle,,,,,,,
d_nikke_rei_04_3,d_nikke_rei_04,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_04_3,True,,XS_10,XS_10,1.0,,,,,,1,idle,,,,,,,
d_nikke_rei_04_4,d_nikke_rei_04,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_04_4,True,,XS_10,XS_100,1.0,,,,,,1,idle,,,,,,,
d_nikke_rei_04_5,d_nikke_rei_04,Choice,rei,,Locale_NikkeEpisode:d_nikke_rei_04_5,False,,XS_100,XS_100,1.0,,d_nikke_rei_04_7,,,,1,idle,,,,,,,
d_nikke_rei_04_6,d_nikke_rei_04,Choice,rei,,Locale_NikkeEpisode:d_nikke_rei_04_6,False,,XS_100,XS_100,1.0,,d_nikke_rei_04_14,,,,1,idle,,,,,,,
d_nikke_rei_04_7,d_nikke_rei_04,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_04_7,False,,XS_100,XS_100,1.0,,,,,,1,surprise,,,,,,,
d_nikke_rei_04_8,d_nikke_rei_04,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_04_8,False,,XS_100,1,1.0,,,,,,1,surprise,rei,,,,,,
d_nikke_rei_04_9,d_nikke_rei_04,Monologue,,,Locale_NikkeEpisode:d_nikke_rei_04_9,False,,1,1,1.0,,,,,,1,,,,,,,,
d_nikke_rei_04_10,d_nikke_rei_04,Monologue,,,Locale_NikkeEpisode:d_nikke_rei_04_10,False,,1,1,1.0,,,,,rei,1,idle,,,,,,,
d_nikke_rei_04_11,d_nikke_rei_04,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_04_11,True,,1,XS_10,1.0,,,,,,1,idle,,,,,,,
d_nikke_rei_04_12,d_nikke_rei_04,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_04_12,True,,XS_10,XS_100,1.0,,,,,,1,idle,,,,,,,
d_nikke_rei_04_13,d_nikke_rei_04,Self,rei,,Locale_NikkeEpisode:d_nikke_rei_04_13,False,,XS_100,XS_100,1.0,,d_nikke_rei_04_14,,,,1,idle,,,,,,,
d_nikke_rei_04_14,d_nikke_rei_04,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_04_14,True,,XS_100,XS_100,1.0,,,,,,1,idle,,,,,,,
d_nikke_rei_04_15,d_nikke_rei_04,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_04_15,True,,XS_100,XS_100,1.0,,,,,,1,idle,,,,,,,
d_nikke_rei_04_16,d_nikke_rei_04,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_04_16,True,,XS_100,XS_100,1.0,,,,,,1,idle,,,,,,,
d_nikke_rei_04_17,d_nikke_rei_04,Self,rei,,Locale_NikkeEpisode:d_nikke_rei_04_17,False,,XS_100,XS_100,1.0,,,,,,1,idle,,,,,,,
