id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_noise_01_1,d_nikke_noise_01,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_noise_01_1,False,Office,5,5,1.0,bgm_story_backtonormal,Grey,,,noise,5,idle,,,,,,,
d_nikke_noise_01_2,d_nikke_noise_01,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_01_2,True,,5,5,1.0,,Grey,,,,5,idle,,,,,,,
d_nikke_noise_01_3,d_nikke_noise_01,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_noise_01_3,False,,5,5,1.0,,Grey,,,,5,idle,,,,,,,
d_nikke_noise_01_4,d_nikke_noise_01,Narration,,Narration,Locale_NikkeEpisode:d_nikke_noise_01_4,False,,5,5,1.0,,Grey,sfx_scn_crowdlaugh,,,5,smile,,,,,,,
d_nikke_noise_01_5,d_nikke_noise_01,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_noise_01_5,True,,5,5,1.0,,Grey,,,,5,idle,,,,,,,
d_nikke_noise_01_6,d_nikke_noise_01,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_noise_01_6,True,,5,5,1.0,,Grey,,,,5,idle,,,,,,,
d_nikke_noise_01_7,d_nikke_noise_01,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_01_7,True,,5,50,0.5,,Grey,,,,5,idle,,,,,,,
d_nikke_noise_01_8,d_nikke_noise_01,Narration,,Narration,Locale_NikkeEpisode:d_nikke_noise_01_8,False,,50,50,1.0,,Grey,sfx_scn_crowdlaugh,,,5,smile,,,,,,,
d_nikke_noise_01_9,d_nikke_noise_01,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_noise_01_9,True,,50,50,1.0,,Grey,,,,5,smile,,,,,,,
d_nikke_noise_01_10,d_nikke_noise_01,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_noise_01_10,True,,50,50,1.0,,Grey,,,,5,idle,,,,,,,
d_nikke_noise_01_11,d_nikke_noise_01,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_noise_01_11,True,,50,50,1.0,,Grey,,,,5,idle,,,,,,,
d_nikke_noise_01_12,d_nikke_noise_01,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_01_12,True,,50,5,1.0,,Grey,,,,5,think,,,,,,,
d_nikke_noise_01_13,d_nikke_noise_01,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_noise_01_13,True,,5,5,1.0,,Grey,,,,5,think,,,,,,,
d_nikke_noise_01_14,d_nikke_noise_01,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_noise_01_14,True,,5,5,1.0,,Grey,,,,5,idle,,,,,,,
d_nikke_noise_01_15,d_nikke_noise_01,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_noise_01_15,True,,5,5,1.0,,Grey,,,,5,idle,,,,,,,
d_nikke_noise_01_16,d_nikke_noise_01,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_noise_01_16,True,,5,5,1.0,,Grey,,,,5,idle,,,,,,,
d_nikke_noise_01_17,d_nikke_noise_01,Narration,,Narration,Locale_NikkeEpisode:d_nikke_noise_01_17,False,,5,5,1.0,,Grey,sfx_scn_crowdcheer,,,5,idle,,,,,,,
d_nikke_noise_01_18,d_nikke_noise_01,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_01_18,True,,5,50,0.5,,Grey,,,,5,idle,,,,,,,
d_nikke_noise_01_19,d_nikke_noise_01,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_01_19,True,,50,50,1.0,,Grey,,,,5,idle,,,,,,,
d_nikke_noise_01_20,d_nikke_noise_01,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_noise_01_20,True,,50,50,1.0,,Grey,,,,5,idle,,,,,,,
