id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,play_sound,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade
d_nikke_neon_01_1,d_nikke_neon_01,Speech,neon,Locale_NikkeEpisode:d_nikke_neon_01_1,False,none,black,black,1.0,none,,,,,,,,,,,,,,,
d_nikke_neon_01_2,d_nikke_neon_01,Speech,neon,Locale_NikkeEpisode:d_nikke_neon_01_2,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_neon_01_3,d_nikke_neon_01,Monologue,,Locale_NikkeEpisode:d_nikke_neon_01_3,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_neon_01_4,d_nikke_neon_01,Speech,neon,Locale_NikkeEpisode:d_nikke_neon_01_4,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_neon_01_5,d_nikke_neon_01,Speech,neon,Locale_NikkeEpisode:d_nikke_neon_01_5,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_neon_01_6,d_nikke_neon_01,Speech,neon,Locale_NikkeEpisode:d_nikke_neon_01_6,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_neon_01_7,d_nikke_neon_01,Speech,neon,Locale_NikkeEpisode:d_nikke_neon_01_7,False,CommanderRoom,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_neon_01_8,d_nikke_neon_01,Monologue,,Locale_NikkeEpisode:d_nikke_neon_01_8,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_neon_01_9,d_nikke_neon_01,Self,,Locale_NikkeEpisode:d_nikke_neon_01_9,False,,19,19,1.0,bgm_story_orangepop,neon,,,,,,,,,,,,,,
d_nikke_neon_01_10,d_nikke_neon_01,Speech,neon,Locale_NikkeEpisode:d_nikke_neon_01_10,True,,19,19,1.0,,neon,neon,19,idle,,,,,,,,,,,
d_nikke_neon_01_11,d_nikke_neon_01,Monologue,,Locale_NikkeEpisode:d_nikke_neon_01_11,False,,19,9,1.0,,neon,,19,idle,,,,,,,,,,,
d_nikke_neon_01_12,d_nikke_neon_01,Monologue,,Locale_NikkeEpisode:d_nikke_neon_01_12,False,,9,9,1.0,,neon,,19,idle,,,,,,,,,,,
d_nikke_neon_01_13,d_nikke_neon_01,Self,,Locale_NikkeEpisode:d_nikke_neon_01_13,False,,9,19,1.0,,neon,,19,idle,,,,,,,,,,,
d_nikke_neon_01_14,d_nikke_neon_01,Speech,neon,Locale_NikkeEpisode:d_nikke_neon_01_14,True,,19,19,1.0,,neon,,19,surprise,,,,,,,,,,,
d_nikke_neon_01_15,d_nikke_neon_01,Self,,Locale_NikkeEpisode:d_nikke_neon_01_15,False,,19,19,1.0,,neon,,19,surprise,,,,,,,,,,,
d_nikke_neon_01_16,d_nikke_neon_01,Speech,neon,Locale_NikkeEpisode:d_nikke_neon_01_16,True,,19,19,1.0,,neon,,19,surprise,,,,,,,,,,,
d_nikke_neon_01_17,d_nikke_neon_01,Speech,neon,Locale_NikkeEpisode:d_nikke_neon_01_17,True,,19,19,1.0,,neon,,19,idle,,,,,,,,,,,
d_nikke_neon_01_18,d_nikke_neon_01,Self,,Locale_NikkeEpisode:d_nikke_neon_01_18,False,,19,19,1.0,,neon,,19,idle,,,,,,,,,,,
d_nikke_neon_01_19,d_nikke_neon_01,Speech,neon,Locale_NikkeEpisode:d_nikke_neon_01_19,True,,19,S_190,1.0,,neon,,19,surprise,,,,,,,,,,,
d_nikke_neon_01_20,d_nikke_neon_01,Speech,neon,Locale_NikkeEpisode:d_nikke_neon_01_20,True,,S_190,S_190,1.0,,neon,,19,surprise,,,,,,,,,,,
d_nikke_neon_01_21,d_nikke_neon_01,Monologue,,Locale_NikkeEpisode:d_nikke_neon_01_21,False,,S_190,S_190,1.0,,neon,,19,surprise,,,,,,,,,,,
d_nikke_neon_01_22,d_nikke_neon_01,Monologue,,Locale_NikkeEpisode:d_nikke_neon_01_22,False,,S_190,S_190,1.0,,neon,,19,surprise,,,,,,,,,,,
d_nikke_neon_01_23,d_nikke_neon_01,Monologue,,Locale_NikkeEpisode:d_nikke_neon_01_23,False,,S_190,S_190,1.0,,neon,,19,surprise,,,,,,,,,,,
