id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_jackal_05_1,d_nikke_jackal_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_jackal_05_1,True,CommanderRoom,53,53,1.0,bgm_story_whosdumber,,,,jackal,1,idle,,neon,3,idle,,anis,5,void,,rapi,7,idle,
d_nikke_jackal_05_2,d_nikke_jackal_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_jackal_05_2,True,,53,53,1.0,,,,,,1,idle,,,3,idle,,,5,void,,,7,idle,
d_nikke_jackal_05_3,d_nikke_jackal_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_jackal_05_3,True,,53,53,1.0,,,,,,1,idle,,,3,idle,,,5,void,,,7,idle,
d_nikke_jackal_05_4,d_nikke_jackal_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_jackal_05_4,True,,53,75,1.0,,,,,,1,idle,,,3,idle,,,5,void,,,7,idle,
d_nikke_jackal_05_5,d_nikke_jackal_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_jackal_05_5,True,,75,53,1.0,,,,,,1,idle,,,3,idle,,,5,void,,,7,idle,
d_nikke_jackal_05_6,d_nikke_jackal_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_jackal_05_6,True,,53,53,1.0,,,,,,1,idle,,,3,idle,,,5,void,,,7,idle,
d_nikke_jackal_05_7,d_nikke_jackal_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_jackal_05_7,True,,53,53,1.0,,,,,,1,idle,,,3,idle,,,5,void,,,7,idle,
d_nikke_jackal_05_8,d_nikke_jackal_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_jackal_05_8,True,,53,53,1.0,,,,,,1,idle,,,3,idle,,,5,void,,,7,idle,
d_nikke_jackal_05_9,d_nikke_jackal_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_jackal_05_9,True,,53,1,1.0,,,,,,1,idle,,,3,idle,,,5,void,,,7,idle,
d_nikke_jackal_05_10,d_nikke_jackal_05,Self,,,Locale_NikkeEpisode:d_nikke_jackal_05_10,False,,1,1,1.0,,,,,,1,idle,,,3,idle,,,5,void,,,7,idle,
d_nikke_jackal_05_11,d_nikke_jackal_05,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_05_11,True,,1,S_10,1.0,,,,,,1,idle,,,3,idle,,,5,void,,,7,idle,
