id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_nikke_yan_03_01,d_nikke_yan_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_03_01,True,CommanderRoom,16,160,2.0,bgm_story_orangepop,,,,,,,,,neon,14,idle,,anis,16,worry,,rapi,18,idle,,,,,
d_nikke_yan_03_02,d_nikke_yan_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_03_02,True,,160,160,1.0,,,,,,,,,,,14,idle,,,16,worry,,,18,idle,,,,,
d_nikke_yan_03_03,d_nikke_yan_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_03_03,True,,160,S_140,1.0,,,,,,,,,,,14,angry,,,16,worry,,,18,idle,,,,,
d_nikke_yan_03_04,d_nikke_yan_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_03_04,True,,S_140,S_140,1.0,,,,,,,,,,,14,angry,,,16,no,,,18,idle,,,,,
d_nikke_yan_03_05,d_nikke_yan_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_03_05,True,,S_140,S_1400,1.0,,,,,,,,,,,14,no,,,16,no,,,18,idle,,,,,
d_nikke_yan_03_06,d_nikke_yan_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_03_06,True,,15,15,1.0,,,,,,,,,,,14,no,,,16,no,,,18,idle,,,,,
d_nikke_yan_03_07,d_nikke_yan_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_yan_03_07,False,,15,15,1.0,,,,,,,,,,,14,no,,,16,no,,,18,idle,,,,,
d_nikke_yan_03_08,d_nikke_yan_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_03_08,True,,15,15,1.0,,,,,,,,,,,14,idle,,,16,worry,,,18,idle,,,,,
d_nikke_yan_03_09,d_nikke_yan_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_03_09,True,,15,15,1.0,,,,,,,,,,,14,idle,,,16,sad,,,18,idle,,,,,
d_nikke_yan_03_10,d_nikke_yan_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_03_10,True,,15,15,1.0,,,,,,,,,,,14,worry,,,16,worry,,,18,idle,,,,,
d_nikke_yan_03_11,d_nikke_yan_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_03_11,True,,15,15,1.0,,,,,,,,,,,14,worry,,,16,worry,,,18,idle,,,,,
d_nikke_yan_03_12,d_nikke_yan_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_03_12,True,,15,15,1.0,,,,,,,,,,,14,worry,,,16,worry,,,18,idle,,,,,
d_nikke_yan_03_13,d_nikke_yan_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_03_13,False,,15,160,0.5,,,,,,,,,,,14,worry,,,16,void,,,18,idle,,,,,
d_nikke_yan_03_14,d_nikke_yan_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_03_14,False,,180,180,1.0,,,,,,,,,,,14,worry,,,16,void,,,18,worry,,,,,
d_nikke_yan_03_15,d_nikke_yan_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_03_15,True,,180,160,1.0,,,,,,,,,,,14,idle,,,16,worry,,,18,worry,,,,,
d_nikke_yan_03_16,d_nikke_yan_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_03_16,True,,160,160,1.0,,,,,,,,,,,14,idle,,,16,worry,,,18,worry,,,,,
d_nikke_yan_03_17,d_nikke_yan_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_03_17,True,,160,160,1.0,,,,,,,,,,,14,idle,,,16,worry,,,18,worry,,,,,
d_nikke_yan_03_18,d_nikke_yan_03,Choice,anis,,Locale_NikkeEpisode:d_nikke_yan_03_18,False,,160,160,1.0,,d_nikke_yan_03_25,,,,,,,,,14,idle,,,16,worry,,,18,idle,,,,,
d_nikke_yan_03_19,d_nikke_yan_03,Choice,anis,,Locale_NikkeEpisode:d_nikke_yan_03_19,False,,160,160,1.0,,d_nikke_yan_03_20,,,,,,,,,14,idle,,,16,worry,,,18,idle,,,,,
d_nikke_yan_03_20,d_nikke_yan_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_03_20,True,,160,180,1.0,,,,,,,,,,,14,idle,,,16,worry,,,18,think,,,,,
d_nikke_yan_03_21,d_nikke_yan_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_03_21,True,,180,180,1.0,,,,,,,,,,,14,idle,,,16,idle,,,18,think,,,,,
d_nikke_yan_03_22,d_nikke_yan_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_03_22,True,,180,180,1.0,,,,,,,,,,,14,idle,,,16,idle,,,18,think,,,,,
d_nikke_yan_03_23,d_nikke_yan_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_03_23,True,,180,160,0.5,,,,,,,,,,,14,idle,,,16,worry,,,18,think,,,,,
d_nikke_yan_03_24,d_nikke_yan_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_yan_03_24,False,,160,160,1.0,,,,,,,,,,,14,idle,,,16,worry,,,18,think,,,,,
d_nikke_yan_03_25,d_nikke_yan_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_03_25,True,,160,160,1.0,,,,,,,,,,,14,idle,,,16,no,,,18,idle,,,,,
d_nikke_yan_03_26,d_nikke_yan_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_03_26,True,,160,15,1.0,,,,,,,,,,,14,idle,,,16,no,,,18,idle,,,,,
d_nikke_yan_03_27,d_nikke_yan_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_03_27,False,,15,15,1.0,,,,,,,,,,,14,idle,,,16,worry,,,18,idle,,,,,
d_nikke_yan_03_28,d_nikke_yan_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_03_28,True,,15,17,1.0,,,,,,,,,,,14,idle,,,16,worry,,,18,idle,,,,,
d_nikke_yan_03_29,d_nikke_yan_03,Narration,,Narration,Locale_NikkeEpisode:d_nikke_yan_03_29,False,ShoppingMall,5,1,2.0,bgm_story_whosdumber,,black,,,,,,,,14,idle,,,16,idle,,,18,idle,,,,,
d_nikke_yan_03_30,d_nikke_yan_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_03_30,True,,1,1,1.0,,,,,,yan,1,no,,,14,idle,,,16,idle,,,18,idle,,,,,
d_nikke_yan_03_31,d_nikke_yan_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_03_31,True,,1,1,1.0,,,,,,,1,no,,,14,idle,,,16,idle,,,18,idle,,,,,
