id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/hide_char_id,play_sound,characters/1/set_char_anim
d_nikke_d_03_1,d_nikke_d_03,Narration,Locale_NikkeEpisode:d_nikke_d_03_1,False,d,1,idle,CommanderRoom,black,black,1.0,none,,,,,,,,,
d_nikke_d_03_2,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_2,True,,1,idle,,1,1,1.0,,d,d,,,,,,,
d_nikke_d_03_3,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_3,False,,1,idle,,1,1,1.0,bgm_story_orangepop,d,,,,,,,,
d_nikke_d_03_4,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_4,True,,1,idle,,1,1,1.0,,d,d,,,,,,,
d_nikke_d_03_5,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_5,True,,1,idle,,1,1,1.0,,d,d,,,,,,,
d_nikke_d_03_6,d_nikke_d_03,Choice,Locale_NikkeEpisode:d_nikke_d_03_6,False,,1,idle,,1,1,1.0,,d,,d_nikke_d_03_8,,,,,,
d_nikke_d_03_7,d_nikke_d_03,Choice,Locale_NikkeEpisode:d_nikke_d_03_7,False,,1,idle,,1,1,1.0,,d,,d_nikke_d_03_8,,,,,,
d_nikke_d_03_8,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_8,True,,1,idle,,1,10,1.0,,d,d,,,,,,,
d_nikke_d_03_9,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_9,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_10,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_10,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_11,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_11,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_12,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_12,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_13,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_13,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_14,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_14,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_15,d_nikke_d_03,Monologue,Locale_NikkeEpisode:d_nikke_d_03_15,False,,1,idle,,10,10,1.0,,d,,,,,,,,
d_nikke_d_03_16,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_16,False,,1,idle,,10,10,1.0,,d,,,,,,,,
d_nikke_d_03_17,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_17,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_18,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_18,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_19,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_19,True,,1,idle,ShoppingMall,10,10,1.0,,d,d,,black,,,,,
d_nikke_d_03_20,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_20,False,,1,idle,,10,10,1.0,,,,,,,,,,
d_nikke_d_03_21,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_21,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_22,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_22,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_23,d_nikke_d_03,Choice,Locale_NikkeEpisode:d_nikke_d_03_23,False,,1,idle,,10,10,1.0,,d,,d_nikke_d_03_25,,,,,,
d_nikke_d_03_24,d_nikke_d_03,Choice,Locale_NikkeEpisode:d_nikke_d_03_24,False,,1,idle,,10,10,1.0,,d,,d_nikke_d_03_25,,,,,,
d_nikke_d_03_25,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_25,True,,1,idle,,10,1,1.0,,d,d,,,,,,,
d_nikke_d_03_26,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_26,True,,1,idle,,1,1,1.0,,d,d,,,,,,,
d_nikke_d_03_27,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_27,True,,1,idle,,1,1,1.0,,d,d,,,,,,,
d_nikke_d_03_28,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_28,True,,1,idle,,1,1,1.0,,d,d,,,,,,,
d_nikke_d_03_29,d_nikke_d_03,Choice,Locale_NikkeEpisode:d_nikke_d_03_29,False,,1,idle,,1,1,1.0,,d,,d_nikke_d_03_31,,,,,,
d_nikke_d_03_30,d_nikke_d_03,Choice,Locale_NikkeEpisode:d_nikke_d_03_30,False,,1,idle,,1,1,1.0,,d,,d_nikke_d_03_40,,,,,,
d_nikke_d_03_31,d_nikke_d_03,Narration,Locale_NikkeEpisode:d_nikke_d_03_31,False,,1,idle,,black,black,1.0,,d,,,,,,,,
d_nikke_d_03_32,d_nikke_d_03,Monologue,Locale_NikkeEpisode:d_nikke_d_03_32,False,,1,idle,,black,black,1.0,,d,,,,,,,,
d_nikke_d_03_33,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_33,True,,1,idle,,1,1,1.0,,d,d,,,,,,,
d_nikke_d_03_34,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_34,True,,1,idle,,1,1,1.0,,d,d,,,,,,,
d_nikke_d_03_35,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_35,False,,1,idle,,1,1,1.0,,d,,,,,,,,
d_nikke_d_03_36,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_36,True,,1,idle,,1,10,1.0,,d,d,,,,,,,
d_nikke_d_03_37,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_37,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_38,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_38,False,,1,idle,,10,10,1.0,,d,,,,,,,,
d_nikke_d_03_39,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_39,True,,1,idle,,10,10,1.0,,d,d,d_nikke_d_03_50,,,,,,
d_nikke_d_03_40,d_nikke_d_03,Narration,Locale_NikkeEpisode:d_nikke_d_03_40,False,,1,idle,,black,black,1.0,,d,,,,,,,,
d_nikke_d_03_41,d_nikke_d_03,Monologue,Locale_NikkeEpisode:d_nikke_d_03_41,False,,1,idle,,black,black,1.0,,d,,,,,,,,
d_nikke_d_03_42,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_42,True,,1,idle,,1,1,1.0,,d,d,,,,,,,
d_nikke_d_03_43,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_43,True,,1,idle,,1,1,1.0,,d,d,,,,,,,
d_nikke_d_03_44,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_44,False,,1,idle,,1,1,1.0,,d,,,,,,,,
d_nikke_d_03_45,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_45,True,,1,idle,,1,10,1.0,,d,d,,,,,,,
d_nikke_d_03_46,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_46,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_47,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_47,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_48,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_48,False,,1,idle,,10,10,1.0,,d,,,,,,,,
d_nikke_d_03_49,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_49,True,,1,idle,,10,10,1.0,,d,d,d_nikke_d_03_50,,,,,,
d_nikke_d_03_50,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_50,False,,1,idle,,10,10,1.0,,d,,,,,,,,
d_nikke_d_03_51,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_51,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
