id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,set_camera_shake,characters/0/hide_char_id
d_nikke_nihilister_04_1,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_1,True,nihilister,5,idle,anis,13,angry,rapi,15,idle,neon,17,idle,Volcano_04,5,5,1.0,bgm_story_exiter,,,,
d_nikke_nihilister_04_2,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_2,True,,5,idle,,13,angry,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_3,d_nikke_nihilister_04,Self,,,Locale_NikkeEpisode:d_nikke_nihilister_04_3,False,,5,idle,,13,angry,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_4,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_4,True,,5,angry2,,13,angry,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_5,d_nikke_nihilister_04,Monologue,,,Locale_NikkeEpisode:d_nikke_nihilister_04_5,False,,5,angry2,,13,angry,,15,idle,,17,idle,,5,50,0.5,,,,,
d_nikke_nihilister_04_6,d_nikke_nihilister_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_nihilister_04_6,True,,5,angry2,,13,angry,,15,idle,,17,idle,,13,130,0.3,,,,,
d_nikke_nihilister_04_7,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_7,True,,5,idle,,13,angry,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_8,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_8,True,,5,idle,,13,angry,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_9,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_9,True,,5,idle,,13,angry,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_10,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_10,True,,5,idle,,13,angry,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_11,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_11,True,,5,idle,,13,angry,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_12,d_nikke_nihilister_04,Self,,,Locale_NikkeEpisode:d_nikke_nihilister_04_12,False,,5,idle,,13,angry,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_13,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_13,True,,5,idle,,13,angry,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_14,d_nikke_nihilister_04,Monologue,,,Locale_NikkeEpisode:d_nikke_nihilister_04_14,False,,5,idle,,13,angry,,15,idle,,17,idle,,50,500,2.0,,,,,
d_nikke_nihilister_04_15,d_nikke_nihilister_04,Monologue,,,Locale_NikkeEpisode:d_nikke_nihilister_04_15,False,,5,idle,,13,angry,,15,idle,,17,idle,,black,black,1.0,,,,,
d_nikke_nihilister_04_16,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_16,True,,5,idle,,13,angry,,15,idle,,17,idle,,500,50,1.0,,,,,
d_nikke_nihilister_04_17,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_17,True,,5,idle,,13,angry,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_18,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_18,True,,5,idle,,13,angry,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_19,d_nikke_nihilister_04,Self,,,Locale_NikkeEpisode:d_nikke_nihilister_04_19,False,,5,idle,,13,angry,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_20,d_nikke_nihilister_04,Narration,,,Locale_NikkeEpisode:d_nikke_nihilister_04_20,False,,5,idle,,13,angry,,15,idle,,17,idle,,50,5,1.0,,sfx_scn_aim,,,
d_nikke_nihilister_04_21,d_nikke_nihilister_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_nihilister_04_21,True,,5,idle,,13,sad,,15,idle,,17,idle,,5,13,1.0,,,,,
d_nikke_nihilister_04_22,d_nikke_nihilister_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_nihilister_04_22,True,,5,idle,,13,angry,,15,idle,,17,idle,,13,13,1.0,,,,,
d_nikke_nihilister_04_23,d_nikke_nihilister_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_nihilister_04_23,True,,5,idle,,13,angry,,15,idle,,17,idle,,13,13,1.0,,,,,
d_nikke_nihilister_04_24,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_24,True,,5,smile,,13,angry,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_25,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_25,True,,5,smile,,13,void,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_26,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_26,True,,5,smile,,13,void,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_27,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_27,True,,5,smile,,13,void,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_28,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_28,True,,5,smile,,13,void,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_29,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_29,True,,5,idle,,13,void,,15,idle,,17,idle,,5,50,2.0,,,,,
d_nikke_nihilister_04_30,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_30,True,,5,idle,,13,void,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_31,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_31,True,,5,idle,,13,void,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_32,d_nikke_nihilister_04,Choice,,,Locale_NikkeEpisode:d_nikke_nihilister_04_32,False,,5,idle,,13,void,,15,idle,,17,idle,,50,50,1.0,,,d_nikke_nihilister_04_34,,
d_nikke_nihilister_04_33,d_nikke_nihilister_04,Choice,,,Locale_NikkeEpisode:d_nikke_nihilister_04_33,False,,5,idle,,13,void,,15,idle,,17,idle,,50,50,1.0,,,d_nikke_nihilister_04_38,,
d_nikke_nihilister_04_34,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_34,True,,5,shy,,13,void,,15,idle,,17,idle,,50,5,2.0,,,,,
d_nikke_nihilister_04_35,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_35,True,,5,smile,,13,void,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_36,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_36,True,,5,smile,,13,void,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_37,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_37,True,,5,smile,,13,void,,15,idle,,17,idle,,5,5,1.0,,,d_nikke_nihilister_04_45,,
d_nikke_nihilister_04_38,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_38,True,,5,idle,,13,void,,15,idle,,17,idle,,50,5,2.0,,,,,
d_nikke_nihilister_04_39,d_nikke_nihilister_04,Self,,,Locale_NikkeEpisode:d_nikke_nihilister_04_39,False,,5,idle,,13,void,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_40,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_40,True,,5,idle,,13,void,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_41,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_41,True,,5,idle,,13,void,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_42,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_42,True,,5,smile,,13,void,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_43,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_43,True,,5,smile,,13,void,,15,idle,,17,idle,,5,5,1.0,,,,,
d_nikke_nihilister_04_44,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_44,True,,5,smile,,13,void,,15,idle,,17,idle,,5,5,1.0,,,d_nikke_nihilister_04_45,,
d_nikke_nihilister_04_45,d_nikke_nihilister_04,Monologue,,,Locale_NikkeEpisode:d_nikke_nihilister_04_45,False,,5,smile,,13,void,,15,idle,,17,idle,,5,500,2.0,,,,,
d_nikke_nihilister_04_46,d_nikke_nihilister_04,Self,,,Locale_NikkeEpisode:d_nikke_nihilister_04_46,False,,5,smile,,13,void,,15,idle,,17,idle,,500,500,1.0,,,,,
d_nikke_nihilister_04_47,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_47,True,,5,idle,,13,void,,15,idle,,17,idle,,500,500,1.0,,,,,
d_nikke_nihilister_04_48,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_48,True,,5,idle,,13,void,,15,idle,,17,idle,,500,500,1.0,,,,,
d_nikke_nihilister_04_49,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_49,True,,5,idle,,13,void,,15,idle,,17,idle,,500,500,1.0,,,,,
d_nikke_nihilister_04_50,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_50,True,,5,idle,,13,void,,15,idle,,17,idle,,500,500,1.0,,,,,
d_nikke_nihilister_04_51,d_nikke_nihilister_04,Choice,nihilister,,Locale_NikkeEpisode:d_nikke_nihilister_04_51,False,,5,idle,,13,void,,15,idle,,17,idle,,500,500,1.0,,,d_nikke_nihilister_04_53,,
d_nikke_nihilister_04_52,d_nikke_nihilister_04,Choice,nihilister,,Locale_NikkeEpisode:d_nikke_nihilister_04_52,False,,5,idle,,13,void,,15,idle,,17,idle,,500,500,1.0,,,d_nikke_nihilister_04_57,,
d_nikke_nihilister_04_53,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_53,True,,5,smile,,13,void,,15,idle,,17,idle,,500,50,1.0,,,,,
d_nikke_nihilister_04_54,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_54,True,,5,smile,,13,void,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_55,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_55,True,,5,smile,,13,void,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_56,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_56,True,,5,smile,,13,void,,15,idle,,17,idle,,50,50,1.0,,,d_nikke_nihilister_04_67,,
d_nikke_nihilister_04_57,d_nikke_nihilister_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_nihilister_04_57,True,,5,idle,,13,void,,15,angry,,17,idle,,150,150,1.0,,,,,
d_nikke_nihilister_04_58,d_nikke_nihilister_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_nihilister_04_58,True,,5,idle,,13,void,,15,angry,,17,idle,,150,150,1.0,,,,,
d_nikke_nihilister_04_59,d_nikke_nihilister_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_nihilister_04_59,True,,5,idle,,13,void,,15,angry,,17,idle,,150,150,1.0,,,,,
d_nikke_nihilister_04_60,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_60,True,,5,idle,,13,void,,15,idle,,17,idle,,50,50,2.0,,,,,
d_nikke_nihilister_04_61,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_61,True,,5,idle,,13,void,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_62,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_62,True,,5,shy,,13,void,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_63,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_63,True,,5,shy,,13,void,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_64,d_nikke_nihilister_04,Self,nihilister,,Locale_NikkeEpisode:d_nikke_nihilister_04_64,False,,5,shy,,13,void,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_65,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_65,True,,5,smile,,13,void,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_66,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_66,True,,5,smile,,13,void,,15,idle,,17,idle,,50,50,1.0,,,d_nikke_nihilister_04_67,,
d_nikke_nihilister_04_67,d_nikke_nihilister_04,Self,nihilister,,Locale_NikkeEpisode:d_nikke_nihilister_04_67,False,,5,smile,,13,void,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_68,d_nikke_nihilister_04,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_04_68,True,,5,shy,,13,void,,15,idle,,17,idle,,50,50,1.0,,,,,
d_nikke_nihilister_04_69,d_nikke_nihilister_04,Self,nihilister,,Locale_NikkeEpisode:d_nikke_nihilister_04_69,False,,5,shy,,13,void,,15,idle,,17,idle,,50,50,1.0,,,,,
