id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_yuni_03_1,d_nikke_yuni_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_03_1,True,NikkeCorridor,113,113,1.0,bgm_story_whosdumber,,,neon,1,idle,,anis,13,idle,
d_nikke_yuni_03_2,d_nikke_yuni_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_03_2,True,,113,113,1.0,,,,,1,idle,,,13,idle,
d_nikke_yuni_03_3,d_nikke_yuni_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_03_3,True,,113,S_10,1.0,,,,,1,no,,,13,idle,
d_nikke_yuni_03_4,d_nikke_yuni_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_03_4,True,,S_10,130,1.0,,,,,1,no,,,13,worry,
d_nikke_yuni_03_5,d_nikke_yuni_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_03_5,True,,130,113,1.0,,,,,1,no,,,13,worry,
d_nikke_yuni_03_6,d_nikke_yuni_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_03_6,True,,113,113,1.0,,,,,1,no,,,13,worry,
d_nikke_yuni_03_7,d_nikke_yuni_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_03_7,True,,113,113,1.0,,,,,1,no,,,13,worry,
d_nikke_yuni_03_8,d_nikke_yuni_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_03_8,True,,113,113,1.0,,,,,1,no,,,13,worry,
d_nikke_yuni_03_9,d_nikke_yuni_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_03_9,False,,113,130,3.0,,,,,1,no,,,13,angry,
d_nikke_yuni_03_10,d_nikke_yuni_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_03_10,True,,130,S_10,1.0,,,,,1,no,,,13,angry,
d_nikke_yuni_03_11,d_nikke_yuni_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_03_11,True,,S_10,130,1.0,,,,,1,no,,,13,angry,
d_nikke_yuni_03_12,d_nikke_yuni_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_03_12,True,,130,S_10,1.0,,,,,1,no,,,13,angry,
d_nikke_yuni_03_13,d_nikke_yuni_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_03_13,True,,S_10,130,1.0,,,,,1,no,,,13,angry,
d_nikke_yuni_03_14,d_nikke_yuni_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_03_14,True,,130,S_100,1.0,,,,,1,no,,,13,angry,
d_nikke_yuni_03_15,d_nikke_yuni_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_03_15,True,,S_100,1300,1.0,,,,,1,no,,,13,angry,
d_nikke_yuni_03_16,d_nikke_yuni_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_03_16,True,,1300,113,1.0,,,,,1,no,,,13,angry,
d_nikke_yuni_03_17,d_nikke_yuni_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_03_17,True,,113,113,1.0,,,,,1,no,,,13,angry,
d_nikke_yuni_03_18,d_nikke_yuni_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_03_18,True,,113,113,1.0,,,,,1,no,,,13,angry,
d_nikke_yuni_03_19,d_nikke_yuni_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_03_19,True,,113,113,1.0,,,,,1,idle,,,13,angry,
d_nikke_yuni_03_20,d_nikke_yuni_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_03_20,True,,113,113,1.0,,,,,1,idle,,,13,worry,
d_nikke_yuni_03_21,d_nikke_yuni_03,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_yuni_03_21,False,,113,113,1.0,,sfx_scn_autodooropen,,,1,idle,,,13,worry,
d_nikke_yuni_03_22,d_nikke_yuni_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_03_22,True,,113,113,1.0,,,,,1,idle,,,13,idle,
