id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade
d_nikke_ce005_02_02_1,d_nikke_ce005_02_02,Narration,Locale_NikkeEpisode:d_nikke_ce005_02_02_1,False,RoyalRoad,10,10,1.0,bgm_story_heynewbie,,,,,,,,,,,,,
d_nikke_ce005_02_02_2,d_nikke_ce005_02_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_02_2,True,,10,1,1.0,,ce005_02,ce004_01,ce005_02,1,idle,,,,,,,,
d_nikke_ce005_02_02_3,d_nikke_ce005_02_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_02_3,True,,1,1,1.0,,ce005_02,ce004_01,,1,idle,,,,,,,,
d_nikke_ce005_02_02_4,d_nikke_ce005_02_02,Narration,Locale_NikkeEpisode:d_nikke_ce005_02_02_4,False,,1,1,1.0,,ce005_02,,,1,idle,,,,,,,,
d_nikke_ce005_02_02_5,d_nikke_ce005_02_02,Self,Locale_NikkeEpisode:d_nikke_ce005_02_02_5,False,,1,1,1.0,,ce005_02,,,1,idle,,,,,,,,
d_nikke_ce005_02_02_6,d_nikke_ce005_02_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_02_6,True,,1,1,1.0,,ce005_02,ce004_01,,1,idle,,,,,,,,
d_nikke_ce005_02_02_7,d_nikke_ce005_02_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_02_7,True,,1,1,1.0,,ce005_02,ce004_01,,1,idle,,,,,,,,
d_nikke_ce005_02_02_8,d_nikke_ce005_02_02,Choice,Locale_NikkeEpisode:d_nikke_ce005_02_02_8,False,,1,1,1.0,,ce005_02,,,1,idle,d_nikke_ce005_02_02_10,,,,,,,
d_nikke_ce005_02_02_9,d_nikke_ce005_02_02,Choice,Locale_NikkeEpisode:d_nikke_ce005_02_02_9,False,,1,1,1.0,,ce005_02,,,1,idle,d_nikke_ce005_02_02_10,,,,,,,
d_nikke_ce005_02_02_10,d_nikke_ce005_02_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_02_10,True,,1,1,1.0,,ce005_02,ce004_01,,1,idle,,,,,,,,
d_nikke_ce005_02_02_11,d_nikke_ce005_02_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_02_11,True,,1,10,1.0,,ce005_02,ce004_01,,1,idle,,,,,,,,
d_nikke_ce005_02_02_12,d_nikke_ce005_02_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_02_12,True,,10,10,1.0,,ce005_02,ce004_01,,1,idle,,elegg,14,idle,,,,
