id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,set_camera_shake,fade,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/4/hide_char_id,characters/5/hide_char_id,jump_target
d_nikke_laplace_02_1,d_nikke_laplace_02,Narration,Locale_NikkeEpisode:d_nikke_laplace_02_1,False,CommanderRoom,97,97,1.0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_laplace_02_2,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_2,True,,97,97,1.0,bgm_story_breakaway,laplace,laplace,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_laplace_02_3,d_nikke_laplace_02,Narration,Locale_NikkeEpisode:d_nikke_laplace_02_3,False,,97,97,1.0,,,,laplace,1,idle,sfx_scn_autodooropen,,,,,,,,,,,,,,,,,,,,,,
d_nikke_laplace_02_4,d_nikke_laplace_02,Self,Locale_NikkeEpisode:d_nikke_laplace_02_4,False,,97,1,1.0,,,,,1,idle,,anis,13,void,neon,15,surprise,,,,,,,,,,,,,,,,
d_nikke_laplace_02_5,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_5,True,,1,1315,1.0,,neon,neon,,1,idle,,,13,void,,15,surprise,,,,,,,,,,,,,,,,
d_nikke_laplace_02_6,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_6,True,,1315,1315,1.0,,anis,anis,,1,idle,,,13,void,,15,surprise,,,,,,,,,,,,,,,,
d_nikke_laplace_02_7,d_nikke_laplace_02,Self,Locale_NikkeEpisode:d_nikke_laplace_02_7,False,,1315,1,1.0,,,,,1,idle,,,13,void,,15,surprise,,,,,,,,,,,,,,,,
d_nikke_laplace_02_8,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_8,True,,1,S_10,1.0,,laplace,laplace,,1,idle,,,13,void,,15,surprise,,,,,,,,,,,,,,,,
d_nikke_laplace_02_9,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_9,True,,S_10,1315,1.0,,neon,neon,,1,idle,,,13,no,,15,surprise,,,,,,,,,,,,,,,,
d_nikke_laplace_02_10,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_10,True,,1315,1315,1.0,,anis,anis,,1,idle,,,13,no,,15,surprise,,,,,,,,,,,,,,,,
d_nikke_laplace_02_11,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_11,True,,1315,113,1.0,,laplace,laplace,,1,angry,,,13,no,,15,surprise,,,,,,,,,,,,,,,,
d_nikke_laplace_02_12,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_12,False,ArkRuinIndoor,black,black,1.0,,anis,anis,,1,angry,,,13,void,,15,surprise,,,,,,,,,,,,,,,,
d_nikke_laplace_02_13,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_13,True,,113,113,1.0,,laplace,laplace,,1,idle,,,13,void,,15,surprise,Grey,,,,,,,,,,,,,,,
d_nikke_laplace_02_14,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_14,True,,113,113,1.0,,laplace,laplace,,1,idle,,,13,void,,15,surprise,Grey,,,,,,,,,,,,,,,
d_nikke_laplace_02_15,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_15,True,,113,113,1.0,,anis,anis,,1,idle,,,13,no,,15,surprise,Grey,,,,,,,,,,,,,,,
d_nikke_laplace_02_16,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_16,False,,113,113,1.0,,laplace,laplace,,1,"expression_0,idle_alt",,,13,no,,15,surprise,Grey,,,,,,,,,,,,,,,
d_nikke_laplace_02_17,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_17,True,CommanderRoom,black,black,1.0,,anis,anis,,1,idle,,,13,no,,15,surprise,Grey,,,,,,,,,,,,,,,
d_nikke_laplace_02_18,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_18,True,,113,113,1.0,,laplace,laplace,,1,idle,,,13,no,,15,surprise,,,,,,,,,,,,,,,,
d_nikke_laplace_02_19,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_19,True,,113,113,1.0,,anis,anis,,1,idle,,,13,void,,15,surprise,,,,,,,,,,,,,,,,
d_nikke_laplace_02_20,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_20,True,,113,113,1.0,,laplace,laplace,,1,idle,,,13,void,,15,surprise,,,,,,,,,,,,,,,,
d_nikke_laplace_02_21,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_21,True,,113,113,1.0,,anis,anis,,1,idle,,,13,no,,15,surprise,,,,,,,,,,,,,,,,
d_nikke_laplace_02_22,d_nikke_laplace_02,Speech,Locale_NikkeEpisode:d_nikke_laplace_02_22,True,,113,113,1.0,,laplace,laplace,,1,idle,,,13,no,,15,surprise,,,,,,,,,,,,,,,,
