id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,conversation_id,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,characters/1/hide_char_id,characters/2/hide_char_id
d_nikke_dolla_01_1,d_nikke_dolla_01,Narration,Locale_NikkeEpisode:d_nikke_dolla_01_1,False,CommanderRoom,m_nikke_dolla_01_01,1,1,1.0,sfx_scn_phonevibration,bgm_story_mustang,,,,,,,,,,,,,,,,,
d_nikke_dolla_01_2,d_nikke_dolla_01,Monologue,Locale_NikkeEpisode:d_nikke_dolla_01_2,False,,,10,10,1.0,,none,,,,,,,,,,,,,,,,,
d_nikke_dolla_01_3,d_nikke_dolla_01,Monologue,Locale_NikkeEpisode:d_nikke_dolla_01_3,False,,m_nikke_dolla_01_02,10,10,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_dolla_01_4,d_nikke_dolla_01,Monologue,Locale_NikkeEpisode:d_nikke_dolla_01_4,False,,,10,10,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_dolla_01_5,d_nikke_dolla_01,Monologue,Locale_NikkeEpisode:d_nikke_dolla_01_5,False,,,10,10,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_dolla_01_6,d_nikke_dolla_01,Narration,Locale_NikkeEpisode:d_nikke_dolla_01_6,False,City_d,m_nikke_dolla_01_03,1,1,1.0,,,black,,,,,,,,,,,,,,,,
d_nikke_dolla_01_7,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_7,True,Cafe,,1,1,1.0,,bgm_story_epicjazzymoods,black,dolla,dolla,dolla,1,surprise,,,,,,,,,,,
d_nikke_dolla_01_8,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_8,True,,,1,1,1.0,,,,dolla,dolla,,1,idle,,,,,,,,,,,
d_nikke_dolla_01_9,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_9,True,,,1,1,1.0,,,,dolla,dolla,,1,idle,,,,,,,,,,,
d_nikke_dolla_01_10,d_nikke_dolla_01,Choice,Locale_NikkeEpisode:d_nikke_dolla_01_10,False,,,1,1,1.0,,,,dolla,,,1,idle,d_nikke_dolla_01_12,,,,,,,,,,
d_nikke_dolla_01_11,d_nikke_dolla_01,Choice,Locale_NikkeEpisode:d_nikke_dolla_01_11,False,,,1,1,1.0,,,,dolla,,,1,idle,d_nikke_dolla_01_17,,,,,,,,,,
d_nikke_dolla_01_12,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_12,True,,,1,S_10,2.0,,,,dolla,dolla,,1,no,,,,,,,,,,,
d_nikke_dolla_01_13,d_nikke_dolla_01,Monologue,Locale_NikkeEpisode:d_nikke_dolla_01_13,False,,,S_10,S_10,1.0,,,,dolla,dolla,,1,no,,,,,,,,,,,
d_nikke_dolla_01_14,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_14,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,no,,,,,,,,,,,
d_nikke_dolla_01_15,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_15,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,no,,,,,,,,,,,
d_nikke_dolla_01_16,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_16,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,no,d_nikke_dolla_01_21,,,,,,,,,,
d_nikke_dolla_01_17,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_17,True,,,1,S_10,2.0,,,,dolla,dolla,,1,surprise,,,,,,,,,,,
d_nikke_dolla_01_18,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_18,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,no,,,,,,,,,,,
d_nikke_dolla_01_19,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_19,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,no,,,,,,,,,,,
d_nikke_dolla_01_20,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_20,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,no,,,,,,,,,,,
d_nikke_dolla_01_20_1,d_nikke_dolla_01,Monologue,Locale_NikkeEpisode:d_nikke_dolla_04_41,False,,,S_10,S_10,1.0,,,,dolla,,,1,idle,,,,,,,,,,,
d_nikke_dolla_01_21,d_nikke_dolla_01,Choice,Locale_NikkeEpisode:d_nikke_dolla_01_21,False,,,S_10,S_10,1.0,,,,dolla,,,1,idle,d_nikke_dolla_01_23,,,,,,,,,,
d_nikke_dolla_01_22,d_nikke_dolla_01,Choice,Locale_NikkeEpisode:d_nikke_dolla_01_22,False,,,S_10,S_10,1.0,,,,dolla,,,1,idle,d_nikke_dolla_01_38,,,,,,,,,,
d_nikke_dolla_01_23,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_23,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,idle,,,,,,,,,,,
d_nikke_dolla_01_24,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_24,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,idle,,,,,,,,,,,
d_nikke_dolla_01_25,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_25,True,,,S_10,1,2.0,,,,dolla,dolla,,1,no,,,,,,,,,,,
d_nikke_dolla_01_26,d_nikke_dolla_01,Self,Locale_NikkeEpisode:d_nikke_dolla_01_26,True,,,1,1,1.0,,,,dolla,dolla,,1,no,,,,,,,,,,,
d_nikke_dolla_01_27,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_27,True,,,1,1,1.0,,,,dolla,dolla,,1,angry,,dolla,yan,2,idle,rupee,12,idle,Grey,,
d_nikke_dolla_01_28,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_28,True,,,1,1,1.0,,,,dolla,dolla,,1,angry,,,,2,idle,,12,idle,Grey,,
d_nikke_dolla_01_29,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_29,True,,,1,1,1.0,,,,dolla,dolla,dolla,1,angry,,,,2,idle,,12,idle,,yan,rupee
d_nikke_dolla_01_30,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_30,True,,,1,S_10,2.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_31,d_nikke_dolla_01,Monologue,Locale_NikkeEpisode:d_nikke_dolla_01_31,False,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_32,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_32,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_33,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_33,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_34,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_34,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_35,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_35,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_36,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_36,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_37,d_nikke_dolla_01,Self,Locale_NikkeEpisode:d_nikke_dolla_01_37,False,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_38,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_38,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,surprise,,,,,,,,,,,
d_nikke_dolla_01_39,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_39,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,no,,,,,,,,,,,
d_nikke_dolla_01_40,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_40,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,no,,,,,,,,,,,
d_nikke_dolla_01_41,d_nikke_dolla_01,Monologue,Locale_NikkeEpisode:d_nikke_dolla_01_41,False,,,S_10,S_10,1.0,,,,dolla,dolla,,1,no,,,,,,,,,,,
d_nikke_dolla_01_42,d_nikke_dolla_01,Choice,Locale_NikkeEpisode:d_nikke_dolla_01_42,False,,,S_10,S_10,1.0,,,,dolla,,,1,no,d_nikke_dolla_01_44,,,,,,,,,,
d_nikke_dolla_01_43,d_nikke_dolla_01,Choice,Locale_NikkeEpisode:d_nikke_dolla_01_43,False,,,S_10,S_10,1.0,,,,dolla,,,1,no,d_nikke_dolla_01_50,,,,,,,,,,
d_nikke_dolla_01_44,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_44,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,angry,,,,,,,,,,,
d_nikke_dolla_01_45,d_nikke_dolla_01,Self,Locale_NikkeEpisode:d_nikke_dolla_01_45,False,,,S_10,S_10,1.0,,,,dolla,dolla,,1,angry,,,,,,,,,,,
d_nikke_dolla_01_46,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_46,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,angry,,,,,,,,,,,
d_nikke_dolla_01_47,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_47,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,angry,,,,,,,,,,,
d_nikke_dolla_01_48,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_48,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,angry,,,,,,,,,,,
d_nikke_dolla_01_49,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_49,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,angry,,,,,,,,,,,
d_nikke_dolla_01_50,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_50,False,,,S_10,S_10,2.5,,,,dolla,dolla,,1,"expression_0,good",,,,,,,,,,,
d_nikke_dolla_01_51,d_nikke_dolla_01,Choice,Locale_NikkeEpisode:d_nikke_dolla_01_51,False,,,S_10,S_10,1.0,,,,dolla,,,1,good,d_nikke_dolla_01_53,,,,,,,,,,
d_nikke_dolla_01_52,d_nikke_dolla_01,Choice,Locale_NikkeEpisode:d_nikke_dolla_01_52,False,,,S_10,S_10,1.0,,,,dolla,,,1,good,d_nikke_dolla_01_54,,,,,,,,,,
d_nikke_dolla_01_53,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_53,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,d_nikke_dolla_01_55,,,,,,,,,,
d_nikke_dolla_01_54,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_54,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,d_nikke_dolla_01_55,,,,,,,,,,
d_nikke_dolla_01_55,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_55,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_56,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_56,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_57,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_57,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_58,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_58,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_59,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_59,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_60,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_60,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_61,d_nikke_dolla_01,Narration,Locale_NikkeEpisode:d_nikke_dolla_01_61,False,,,S_10,S_10,,sfx_scn_phonevibration,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_62,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_62,True,,,S_10,S_10,1.0,,,,dolla,dolla,,1,surprise,,,,,,,,,,,
d_nikke_dolla_01_63,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_63,True,,,S_10,1,2.0,,,,dolla,dolla,,1,idle,,,,,,,,,,,
d_nikke_dolla_01_64,d_nikke_dolla_01,Speech,Locale_NikkeEpisode:d_nikke_dolla_01_64,True,,,1,1,1.0,,,,dolla,dolla,,1,good,,,,,,,,,,,
d_nikke_dolla_01_65,d_nikke_dolla_01,Monologue,Locale_NikkeEpisode:d_nikke_dolla_01_65,False,,,1,1,1.0,sfx_scn_chimebell,none,,dolla,dolla,,3,good,,dolla,,,,,,,,,
d_nikke_dolla_01_66,d_nikke_dolla_01,Monologue,Locale_NikkeEpisode:d_nikke_dolla_01_66,False,,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_dolla_01_67,d_nikke_dolla_01,Self,Locale_NikkeEpisode:d_nikke_dolla_01_67,False,,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_dolla_01_68,d_nikke_dolla_01,Monologue,Locale_NikkeEpisode:d_nikke_dolla_01_68,False,,,1,15,2.0,sfx_scn_noisily,,,,,,,,,,,,,,,,,,
d_nikke_dolla_01_69,d_nikke_dolla_01,Monologue,Locale_NikkeEpisode:d_nikke_dolla_01_69,False,,,15,1,1.0,,,,,,,,,,,,,,,,,,,
