id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,characters/1/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,play_sound,set_camera_shake,set_filter_02
d_nikke_crow_03_1,d_nikke_crow_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_crow_03_1,False,Jail,5,1,2.0,none,,,,,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_2,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_2,False,,1,1,1.0,bgm_risk,crow,crow,1,"expression_0,idle",,,,,,,,,,,,,,,,,,
d_nikke_crow_03_3,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_3,True,,1,1,1.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_4,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_4,True,,1,10,2.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_5,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_5,True,,10,10,1.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_6,d_nikke_crow_03,Self,Self,Locale_NikkeEpisode:d_nikke_crow_03_6,False,,10,10,1.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_7,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_7,True,,10,10,1.0,,crow,,1,angry,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_8,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_8,True,,10,10,1.0,,crow,,1,angry,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_9,d_nikke_crow_03,Self,Self,Locale_NikkeEpisode:d_nikke_crow_03_9,False,,10,10,1.0,,crow,,1,angry,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_10,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_10,False,,10,1,2.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_11,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_11,True,,1,1,1.0,,crow,,1,smile,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_12,d_nikke_crow_03,Self,Self,Locale_NikkeEpisode:d_nikke_crow_03_12,False,,1,1,1.0,,crow,,1,smile,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_13,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_13,True,,1,1,1.0,,crow,,1,smile,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_14,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_14,True,,1,1,1.0,,crow,,1,smile,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_15,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_15,True,EnikkRoom,1,1,1.0,,crow,,1,smile,crow,enikk,1,special,Grey,,,,,,,,,,,,,
d_nikke_crow_03_16,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_16,True,Ark,1,1,1.0,,crow,,,,,,1,special,Grey,enikk,,,,,,,,,,,,
d_nikke_crow_03_17,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_17,True,Jail,1,1,1.0,,crow,crow,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_18,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_18,True,,1,1,1.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_19,d_nikke_crow_03,Self,Self,Locale_NikkeEpisode:d_nikke_crow_03_19,False,,1,1,1.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_20,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_20,True,,1,10,2.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_21,d_nikke_crow_03,Self,Self,Locale_NikkeEpisode:d_nikke_crow_03_21,False,,10,10,1.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_22,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_22,False,,10,10,1.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_23,d_nikke_crow_03,Self,Self,Locale_NikkeEpisode:d_nikke_crow_03_23,False,,10,10,1.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_24,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_24,True,,10,10,1.0,,crow,,1,angry,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_25,d_nikke_crow_03,Self,Self,Locale_NikkeEpisode:d_nikke_crow_03_25,False,,10,10,1.0,,crow,,1,angry,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_26,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_26,True,,10,10,1.0,,crow,,1,angry,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_27,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_27,True,,10,10,1.0,,crow,,1,smile,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_28,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_28,True,,10,1,2.0,,crow,,1,smile,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_29,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_29,True,,1,1,1.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_30,d_nikke_crow_03,Self,Self,Locale_NikkeEpisode:d_nikke_crow_03_30,False,,1,1,1.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_31,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_31,True,,1,1,1.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_32,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_32,True,,1,1,1.0,,crow,,1,idle,,,,,,,,,,,,,,,,,,
d_nikke_crow_03_33,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_33,False,Backstreet,7,7,1.0,none,crow,,1,idle,crow,,,,Grey,,black,,,,,,,,,,,
d_nikke_crow_03_34,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_34,False,,7,7,1.0,,crow,,,,,,,,Grey,,,viper,7,idle,,,,,,,,
d_nikke_crow_03_35,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_35,False,,7,6,2.0,,crow,,,,,,,,Grey,,,,7,idle,jackal,5,idle,,,,,
d_nikke_crow_03_36,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_36,False,,6,1,2.0,,crow,crow,1,idle,,,,,Grey,,,,7,idle,,5,idle,,,,,
d_nikke_crow_03_37,d_nikke_crow_03,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_03_37,False,Bar,1,1,1.0,,crow,,1,idle,crow,,,,Grey,,,,7,idle,,5,idle,viper,jackal,,,
