id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_elegg_03_1,d_nikke_elegg_03,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_elegg_03_1,True,Park,S_10,S_10,1.0,bgm_story_orangepop,,,elegg,1,think,,,,,,,,,,,,,
d_nikke_elegg_03_2,d_nikke_elegg_03,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_elegg_03_2,True,,S_10,S_10,1.0,,,,,1,think,,,,,,,,,,,,,
d_nikke_elegg_03_3,d_nikke_elegg_03,Self,elegg,,Locale_NikkeEpisode:d_nikke_elegg_03_3,False,,S_10,S_10,1.0,,,,,1,think,,,,,,,,,,,,,
d_nikke_elegg_03_4,d_nikke_elegg_03,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_elegg_03_4,True,,S_10,S_100,1.0,,,,,1,delight,,,,,,,,,,,,,
d_nikke_elegg_03_5,d_nikke_elegg_03,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_elegg_03_5,True,,S_100,S_100,1.0,,,,,1,delight,,,,,,,,,,,,,
d_nikke_elegg_03_6,d_nikke_elegg_03,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_elegg_03_6,True,,S_100,S_100,1.0,,,,,1,delight,,,,,,,,,,,,,
d_nikke_elegg_03_7,d_nikke_elegg_03,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_elegg_03_7,True,,S_100,S_100,1.0,,,,,1,delight,,,,,,,,,,,,,
d_nikke_elegg_03_8,d_nikke_elegg_03,Monologue,elegg,,Locale_NikkeEpisode:d_nikke_elegg_03_8,False,,S_100,S_100,1.0,,,,,1,idle,,,,,,,,,,,,,
d_nikke_elegg_03_9,d_nikke_elegg_03,Monologue,elegg,,Locale_NikkeEpisode:d_nikke_elegg_03_9,False,,S_100,S_100,1.0,,,,,1,idle,,,,,,,,,,,,,
d_nikke_elegg_03_10,d_nikke_elegg_03,Self,elegg,,Locale_NikkeEpisode:d_nikke_elegg_03_10,False,,S_100,S_100,1.0,,,,,1,idle,,,,,,,,,,,,,
d_nikke_elegg_03_11,d_nikke_elegg_03,Self,elegg,,Locale_NikkeEpisode:d_nikke_elegg_03_11,False,,S_100,S_100,1.0,,,,,1,idle,,,,,,,,,,,,,
d_nikke_elegg_03_12,d_nikke_elegg_03,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_elegg_03_12,True,,S_100,S_100,1.0,,,,,1,delight,,,,,,,,,,,,,
