id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_folkwang_02_1,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_1,True,NikkeRoom,6001,10,2.0,bgm_story_herecomestrouble,,,,folkwang,1,pain,,,
d_nikke_folkwang_02_2,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_2,True,,10,10,1.0,,,,,,1,idle,,,
d_nikke_folkwang_02_3,d_nikke_folkwang_02,Monologue,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_02_3,False,,10,10,1.0,,,,,,1,idle,,,
d_nikke_folkwang_02_4,d_nikke_folkwang_02,Self,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_02_4,False,,10,10,1.0,,,,,,1,idle,,,
d_nikke_folkwang_02_5,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_5,True,,10,10,1.0,,,,,,1,surprise,,,
d_nikke_folkwang_02_6,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_6,True,,10,10,1.0,,,,,,1,idle,,,
d_nikke_folkwang_02_7,d_nikke_folkwang_02,Self,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_02_7,False,,10,10,1.0,,,,,,1,idle,,,
d_nikke_folkwang_02_8,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_8,True,,10,100,2.0,,,,,,1,pain,,,
d_nikke_folkwang_02_9,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_9,True,,100,100,1.0,,,,,,1,pain,,,
d_nikke_folkwang_02_10,d_nikke_folkwang_02,Monologue,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_02_10,False,,100,100,1.0,,,,,,1,pain,,,
d_nikke_folkwang_02_11,d_nikke_folkwang_02,Self,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_02_11,False,,100,100,1.0,,,,,,1,pain,,,
d_nikke_folkwang_02_12,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_12,True,,100,100,1.0,,,,,,1,idle,,,
d_nikke_folkwang_02_13,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_13,True,,100,100,1.0,,,,,,1,idle,,,
d_nikke_folkwang_02_14,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_14,True,,100,10,0.5,,,,,,1,pain,,,
d_nikke_folkwang_02_15,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_15,True,,10,10,1.0,,,,,,1,pain,,,
d_nikke_folkwang_02_16,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_16,True,,10,10,1.0,,,,,,1,pain,,,
d_nikke_folkwang_02_17,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_17,True,,10,10,1.0,,,,,,1,idle,,,
d_nikke_folkwang_02_18,d_nikke_folkwang_02,Self,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_02_18,False,,10,10,1.0,,,,,,1,idle,,,
d_nikke_folkwang_02_19,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_19,True,,10,10,1.0,,,,,,1,surprise,,,
d_nikke_folkwang_02_20,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_20,True,,10,10,1.0,,,,,,1,surprise,,,
d_nikke_folkwang_02_21,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_21,True,,10,10,1.0,,,,,,1,delight,,,
d_nikke_folkwang_02_22,d_nikke_folkwang_02,Monologue,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_02_22,False,,10,10,1.0,,,,,,1,idle,,,
d_nikke_folkwang_02_23,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_23,True,,10,10,1.0,,,,,,1,idle,,,
d_nikke_folkwang_02_24,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_24,True,,10,10,1.0,,,,,,1,pain,,,
d_nikke_folkwang_02_25,d_nikke_folkwang_02,Self,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_02_25,False,,10,10,1.0,,,,,,1,pain,,,
d_nikke_folkwang_02_26,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_26,True,,10,10,1.0,,,,,,1,delight,,,
d_nikke_folkwang_02_27,d_nikke_folkwang_02,Narration,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_02_27,False,,10,10,1.0,,m_nikke_folkwang_02,sfx_scn_phonevibration,,,1,delight,,,
d_nikke_folkwang_02_28,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_28,True,,10,100,2.0,,,,,,1,idle,,,
d_nikke_folkwang_02_29,d_nikke_folkwang_02,Self,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_02_29,False,,100,100,1.0,,,,,,1,idle,,,
d_nikke_folkwang_02_30,d_nikke_folkwang_02,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_02_30,True,,100,100,1.0,none,,,,,1,idle,,,
d_nikke_folkwang_02_31,d_nikke_folkwang_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_folkwang_02_31,False,Hospital,S_130,S_130,1.0,bgm_story_orangepop,,,black,,1,idle,mary,13,idle
d_nikke_folkwang_02_32,d_nikke_folkwang_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_folkwang_02_32,True,,S_130,S_130,1.0,,,,,,1,idle,,13,idle
