id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,play_sound
treasurestory_viper_05_1,treasurestory_viper_05,Monologue,Locale_NikkeEpisode:treasurestory_viper_05_1,False,NikkeCorridor,12,12,1.0,bgm_story_cosmos,,,,,,,,,,
treasurestory_viper_05_2,treasurestory_viper_05,Monologue,Locale_NikkeEpisode:treasurestory_viper_05_2,False,,12,S_120,1.0,,elegg,elegg,12,idle,,,,,,
treasurestory_viper_05_3,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_3,True,,S_120,S_120,1.0,,elegg,,12,idle,elegg,,,,,
treasurestory_viper_05_4,treasurestory_viper_05,Self,Locale_NikkeEpisode:treasurestory_viper_05_4,False,,S_120,S_120,1.0,,elegg,,12,idle,,,,,,
treasurestory_viper_05_5,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_5,True,,S_120,S_1200,1.0,,elegg,,12,delight,elegg,,,,,
treasurestory_viper_05_6,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_6,True,,S_1200,S_1200,1.0,,elegg,,12,idle,elegg,,,,,
treasurestory_viper_05_7,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_7,True,,S_1200,S_1200,1.0,,elegg,,12,idle,elegg,,,,,
treasurestory_viper_05_8,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_8,True,,S_1200,S_1200,1.0,,elegg,,12,idle,elegg,,,,,
treasurestory_viper_05_9,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_9,True,,S_1200,S_120,1.0,,elegg,,12,idle,elegg,,,,,
treasurestory_viper_05_10,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_10,True,,S_120,1,1.0,,viper,,12,idle,viper,viper,2,delight,,
treasurestory_viper_05_11,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_11,True,,1,1,1.0,,elegg,,12,idle,elegg,,2,delight,,
treasurestory_viper_05_12,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_12,True,,1,1,1.0,,viper,,12,idle,viper,,2,idle,,
treasurestory_viper_05_13,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_13,True,,1,1,1.0,,viper,,12,idle,viper,,2,idle,,
treasurestory_viper_05_14,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_14,True,,1,1,1.0,,viper,,12,idle,viper,,2,idle,,
treasurestory_viper_05_15,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_15,True,,1,S_120,1.0,,elegg,,12,idle,elegg,,2,idle,,
treasurestory_viper_05_16,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_16,True,,S_120,S_120,1.0,,elegg,,12,idle,elegg,,2,idle,,
treasurestory_viper_05_17,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_17,True,,S_120,S_120,1.0,,elegg,,12,idle,elegg,,2,idle,,
