id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_elegg_02_1,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_1,False,CommanderRoom,S_10,S_10,1.0,bgm_story_orangepop,,,,elegg,1,idle,
d_nikke_elegg_02_2,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_2,True,,S_10,S_100,1.0,,elegg,,,,1,delight,
d_nikke_elegg_02_3,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_3,False,,S_100,S_100,1.0,,,,,,1,idle,
d_nikke_elegg_02_4,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_4,True,,S_100,S_100,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_5,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_5,True,,S_100,S_100,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_6,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_6,True,,S_100,S_100,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_7,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_7,True,,S_100,S_100,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_8,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_8,False,,S_100,S_100,1.0,,,,,,1,idle,
d_nikke_elegg_02_9,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_9,True,,S_100,S_100,1.0,,elegg,,,,1,surprise,
d_nikke_elegg_02_10,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_10,True,,S_100,S_100,1.0,,elegg,,,,1,surprise,
d_nikke_elegg_02_11,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_11,True,,S_100,S_100,1.0,,elegg,,,,1,surprise,
d_nikke_elegg_02_12,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_12,True,,S_100,S_100,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_13,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_13,True,,S_100,S_100,0.7,,elegg,,,,1,idle,
d_nikke_elegg_02_14,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_14,False,,S_100,S_100,1.0,,,,,,1,idle,
d_nikke_elegg_02_15,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_15,True,,S_100,S_10,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_16,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_16,True,,S_10,S_10,1.0,,elegg,,,,1,delight,
d_nikke_elegg_02_17,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_17,False,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_elegg_02_18,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_18,False,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_elegg_02_19,d_nikke_elegg_02,Monologue,,Locale_NikkeEpisode:d_nikke_elegg_02_19,False,ShoppingMall,black,black,1.0,,,,,,1,idle,elegg
d_nikke_elegg_02_20,d_nikke_elegg_02,Monologue,,Locale_NikkeEpisode:d_nikke_elegg_02_20,False,,1,3,1.0,,,,,,1,idle,
d_nikke_elegg_02_21,d_nikke_elegg_02,Monologue,,Locale_NikkeEpisode:d_nikke_elegg_02_21,False,Station,3,1,1.0,,,,,,1,idle,
d_nikke_elegg_02_22,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_22,True,BriefingRoom,S_10,S_10,1.0,,elegg,black,,elegg,1,idle,
d_nikke_elegg_02_23,d_nikke_elegg_02,Monologue,,Locale_NikkeEpisode:d_nikke_elegg_02_23,False,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_elegg_02_24,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_24,True,,S_10,S_10,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_25,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_25,True,,S_10,S_10,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_26,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_26,False,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_elegg_02_27,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_27,True,,S_10,S_100,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_28,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_28,False,,S_100,S_100,1.0,,,,,,1,idle,
d_nikke_elegg_02_29,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_29,True,,S_100,S_100,0.7,,elegg,,,,1,surprise,
d_nikke_elegg_02_30,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_30,True,,S_100,S_100,1.0,,elegg,,,,1,idle,
