id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,jump_target,characters/1/hide_char_id,characters/2/hide_char_id,set_camera_shake
d_nikke_soda_05_1,d_nikke_soda_05,Narration,Locale_NikkeEpisode:d_nikke_soda_05_1,False,Cafe,5,7,2.5,sfx_scn_chimebell,none,,,,,,,,,,,,,,,,,
d_nikke_soda_05_2,d_nikke_soda_05,Monologue,Locale_NikkeEpisode:d_nikke_soda_05_2,False,,7,7,1.0,,,soda,1,idle,,,,,,,,,,,,,,
d_nikke_soda_05_3,d_nikke_soda_05,Speech,Locale_NikkeEpisode:d_nikke_soda_05_3,True,,S_10,S_10,1.0,,bgm_story_orangepop,,1,idle,soda,soda,,,,,,,,,,,,
d_nikke_soda_05_4,d_nikke_soda_05,Speech,Locale_NikkeEpisode:d_nikke_soda_05_4,True,,S_10,S_10,1.0,,,,1,idle,soda,soda,,,,,,,,,,,,
d_nikke_soda_05_5,d_nikke_soda_05,Self,Locale_NikkeEpisode:d_nikke_soda_05_5,False,,S_10,S_10,1.0,,,,1,idle,soda,,,,,,,,,,,,,
d_nikke_soda_05_6,d_nikke_soda_05,Speech,Locale_NikkeEpisode:d_nikke_soda_05_6,True,,S_10,S_50,1.5,,,,1,idle,soda,soda,,,,,,,,,,,,
d_nikke_soda_05_7,d_nikke_soda_05,Self,Locale_NikkeEpisode:d_nikke_soda_05_7,False,,S_50,S_50,1.0,,,,1,idle,,,,,,,,,,,,,,
d_nikke_soda_05_8,d_nikke_soda_05,Monologue,Locale_NikkeEpisode:d_nikke_soda_05_8,False,,S_50,S_50,1.0,,,,1,idle,,,cocoa,15,idle,,,,,,,,,
d_nikke_soda_05_9,d_nikke_soda_05,Speech,Locale_NikkeEpisode:d_nikke_soda_05_9,True,,S_140,S_140,1.0,,,,1,idle,cocoa,cocoa,,15,idle,,,,,,,,,
d_nikke_soda_05_10,d_nikke_soda_05,Monologue,Locale_NikkeEpisode:d_nikke_soda_05_10,False,,S_140,S_140,1.0,,,,1,idle,,,,15,idle,,,,,,,,,
d_nikke_soda_05_11,d_nikke_soda_05,Speech,Locale_NikkeEpisode:d_nikke_soda_05_11,True,,16,16,1.0,,,,1,idle,ade,ade,,15,idle,soda,ade,17,delight,black,,,,
d_nikke_soda_05_12,d_nikke_soda_05,Speech,Locale_NikkeEpisode:d_nikke_soda_05_12,True,,16,16,1.0,,,,,,cocoa,cocoa,,15,idle,,,17,delight,,,,,
d_nikke_soda_05_13,d_nikke_soda_05,Self,Locale_NikkeEpisode:d_nikke_soda_05_13,False,,16,16,1.0,,,,,,cocoa,,,15,idle,,,17,delight,,,,,
d_nikke_soda_05_14,d_nikke_soda_05,Speech,Locale_NikkeEpisode:d_nikke_soda_05_14,True,,XS_150,XS_150,1.0,,,,,,cocoa,cocoa,,15,idle,,,17,delight,,,,,
d_nikke_soda_05_15,d_nikke_soda_05,Speech,Locale_NikkeEpisode:d_nikke_soda_05_15,True,,XS_150,XS_150,1.0,,,,,,cocoa,cocoa,,15,idle,,,17,delight,,,,,
d_nikke_soda_05_16,d_nikke_soda_05,Speech,Locale_NikkeEpisode:d_nikke_soda_05_16,True,,170,170,1.0,,,,,,ade,ade,,15,idle,,,17,idle,,,,,
d_nikke_soda_05_17,d_nikke_soda_05,Self,Locale_NikkeEpisode:d_nikke_soda_05_17,False,,170,170,1.0,,,,,,ade,,,15,idle,,,17,idle,,,,,
