id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade
d_nikke_julia_03_1,d_nikke_julia_03,Narration,Locale_NikkeEpisode:d_nikke_julia_03_1,False,black,black,black,1.0,bgm_story_herecomestrouble,,,,,,,,,,,,,,,,,,,,,
d_nikke_julia_03_2,d_nikke_julia_03,Speech,Locale_NikkeEpisode:d_nikke_julia_03_2,True,CommanderRoom,50,50,1.0,,anis,anis,rapi,3,idle,anis,5,idle,neon,7,idle,,,,,,,,,,
d_nikke_julia_03_3,d_nikke_julia_03,Speech,Locale_NikkeEpisode:d_nikke_julia_03_3,True,,50,6,1.0,,neon,neon,,3,idle,,5,idle,,7,idle,,,,,,,,,,
d_nikke_julia_03_4,d_nikke_julia_03,Speech,Locale_NikkeEpisode:d_nikke_julia_03_4,True,,6,6,1.0,,neon,neon,,3,idle,,5,idle,,7,no,,,,,,,,,,
d_nikke_julia_03_5,d_nikke_julia_03,Speech,Locale_NikkeEpisode:d_nikke_julia_03_5,True,,6,4,2.0,,rapi,rapi,,3,idle,,5,idle,,7,no,,,,,,,,,,
d_nikke_julia_03_6,d_nikke_julia_03,Self,Locale_NikkeEpisode:d_nikke_julia_03_6,False,,4,4,1.0,,rapi,,,3,idle,,5,idle,,7,idle,,,,,,,,,,
d_nikke_julia_03_7,d_nikke_julia_03,Narration,Locale_NikkeEpisode:d_nikke_julia_03_7,False,,4,4,1.0,,rapi,,,3,idle,,5,idle,,7,idle,sfx_scn_knock,,,,,,,,,
d_nikke_julia_03_8,d_nikke_julia_03,Speech,Locale_NikkeEpisode:d_nikke_julia_03_8,True,,4,S_10,1.0,,julia,julia,,3,idle,,5,idle,,7,idle,,julia,1,idle,,,,,,
d_nikke_julia_03_9,d_nikke_julia_03,Self,Locale_NikkeEpisode:d_nikke_julia_03_9,False,,S_10,S_10,1.0,,julia,,,3,idle,,5,idle,,7,idle,,,1,idle,,,,,,
d_nikke_julia_03_10,d_nikke_julia_03,Speech,Locale_NikkeEpisode:d_nikke_julia_03_10,True,,S_10,S_10,1.0,,julia,julia,,3,idle,,5,idle,,7,idle,,,1,idle,,,,,,
d_nikke_julia_03_11,d_nikke_julia_03,Self,Locale_NikkeEpisode:d_nikke_julia_03_11,False,,S_10,S_10,1.0,,julia,,,3,idle,,5,idle,,7,idle,,,1,idle,,,,,,
d_nikke_julia_03_12,d_nikke_julia_03,Speech,Locale_NikkeEpisode:d_nikke_julia_03_12,True,,S_10,S_10,1.0,,julia,julia,,3,idle,,5,idle,,7,idle,,,1,idle,,,,,,
d_nikke_julia_03_13,d_nikke_julia_03,Speech,Locale_NikkeEpisode:d_nikke_julia_03_13,True,,S_10,S_10,1.0,,julia,julia,,3,idle,,5,idle,,7,idle,,,1,idle,,,,,,
d_nikke_julia_03_14,d_nikke_julia_03,Speech,Locale_NikkeEpisode:d_nikke_julia_03_14,True,,S_10,S_10,1.0,,julia,julia,,3,idle,,5,idle,,7,idle,,,1,idle,,,,,,
d_nikke_julia_03_15,d_nikke_julia_03,Narration,Locale_NikkeEpisode:d_nikke_julia_03_15,False,,S_10,S_10,1.0,,julia,,,3,idle,,5,idle,,7,surprise,,,1,idle,Low_2,,,,,
d_nikke_julia_03_16,d_nikke_julia_03,Self,Locale_NikkeEpisode:d_nikke_julia_03_16,False,,S_10,S_10,1.0,,julia,,,3,idle,,5,idle,,7,surprise,,,1,idle,,,,,,
